#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_B,2016-02-05,0.000000,177178.16,0.00,177178.16,-177178.16,177178.16,177178.16
CPTY_B,2016-05-06,0.248634,179880.15,0.00,236245.47,0.00,179776.92,179776.92
CPTY_B,2016-08-05,0.497268,182454.50,0.00,277179.73,0.00,182218.20,182218.20
CPTY_B,2016-11-07,0.754098,183630.87,0.00,294143.97,0.00,183205.94,183205.94
CPTY_B,2017-02-06,1.003002,184120.88,0.00,308441.88,0.00,183536.57,183536.57
CPTY_B,2017-05-05,1.244098,184038.80,0.00,376593.34,0.00,183274.25,183536.57
CPTY_B,2017-08-07,1.501632,187328.28,0.00,366519.66,0.00,186383.63,186383.63
CPTY_B,2017-11-06,1.750947,185139.24,0.00,356712.09,0.00,184041.21,186383.63
CPTY_B,2018-02-05,2.000262,185334.18,0.00,339457.84,0.00,184039.05,186383.63
CPTY_B,2018-05-08,2.252317,185596.32,0.00,323594.00,0.00,184182.01,186383.63
CPTY_B,2018-08-06,2.498892,187243.20,0.00,393176.63,0.00,185707.27,186383.63
CPTY_B,2018-11-05,2.748207,187580.46,0.00,389049.00,0.00,185931.35,186383.63
CPTY_B,2019-02-05,3.000262,188128.53,0.00,439472.50,0.00,186362.71,186383.63
CPTY_B,2019-05-07,3.249577,187859.93,0.00,445207.69,0.00,186060.57,186383.63
CPTY_B,2019-08-05,3.496152,185475.29,0.00,473159.81,0.00,183669.62,186383.63
CPTY_B,2019-11-05,3.748207,186368.67,0.00,464061.34,0.00,184524.36,186383.63
CPTY_B,2020-02-05,4.000000,188198.96,0.00,462094.09,0.00,186306.30,186383.63
CPTY_B,2020-05-05,4.245902,189080.77,0.00,460341.91,0.00,187229.99,187229.99
CPTY_B,2020-08-05,4.497268,190495.86,0.00,482484.00,0.00,188689.43,188689.43
CPTY_B,2020-11-05,4.748634,185045.79,0.00,446695.66,0.00,183347.60,188689.43
CPTY_B,2021-02-05,5.000262,184088.63,0.00,429146.95,0.00,182455.50,188689.43
CPTY_B,2021-05-05,5.244098,178925.93,0.00,473982.27,0.00,177539.13,188689.43
CPTY_B,2021-08-05,5.496152,177976.59,0.00,471321.09,0.00,176812.60,188689.43
CPTY_B,2021-11-05,5.748207,179963.74,0.00,475758.59,0.00,179004.88,188689.43
CPTY_B,2022-02-07,6.005741,177283.77,0.00,431397.47,0.00,176559.03,188689.43
CPTY_B,2022-05-05,6.244098,171833.08,0.00,407567.80,0.00,171440.41,188689.43
CPTY_B,2022-08-05,6.496152,167900.50,0.00,414399.19,0.00,167841.68,188689.43
CPTY_B,2022-11-07,6.753687,163105.47,0.00,424200.91,0.00,163371.40,188689.43
CPTY_B,2023-02-06,7.003002,160932.99,0.00,411870.84,0.00,161504.57,188689.43
CPTY_B,2023-05-05,7.244098,156249.48,0.00,375235.67,0.00,157181.17,188689.43
CPTY_B,2023-08-07,7.501632,157460.81,0.00,405497.39,0.00,158810.71,188689.43
CPTY_B,2023-11-06,7.750947,152408.08,0.00,403801.83,0.00,154100.75,188689.43
CPTY_B,2024-02-05,8.000000,149328.57,0.00,487146.20,0.00,151366.27,188689.43
CPTY_B,2024-05-07,8.251366,143544.59,0.00,477307.36,0.00,145942.61,188689.43
CPTY_B,2024-08-05,8.497268,142943.18,0.00,455783.94,0.00,145765.93,188689.43
CPTY_B,2024-11-05,8.748634,131217.39,0.00,404329.72,0.00,134217.81,188689.43
CPTY_B,2025-02-05,9.000262,127631.98,0.00,410766.27,0.00,130949.68,188689.43
CPTY_B,2025-05-06,9.246837,122487.28,0.00,378744.48,0.00,126109.63,188689.43
CPTY_B,2025-08-05,9.496152,121110.46,0.00,334938.87,0.00,125136.36,188689.43
CPTY_B,2025-11-05,9.748207,118172.82,0.00,325891.49,0.00,122540.92,188689.43
CPTY_B,2026-02-05,10.000262,116218.58,0.00,337430.29,0.00,120948.57,188689.43
CPTY_B,2026-05-05,10.244098,114512.12,0.00,358377.39,0.00,119590.80,188689.43
CPTY_B,2026-08-05,10.496152,114550.68,0.00,394443.70,0.00,120065.19,188689.43
CPTY_B,2026-11-05,10.748207,102574.44,0.00,317360.97,0.00,107902.54,188689.43
CPTY_B,2027-02-05,11.000262,99396.95,0.00,264674.95,0.00,104939.42,188689.43
CPTY_B,2027-05-05,11.244098,93482.44,0.00,318349.20,0.00,99041.56,188689.43
CPTY_B,2027-08-05,11.496152,93186.29,0.00,303293.16,0.00,99086.06,188689.43
CPTY_B,2027-11-05,11.748207,83205.40,0.00,285173.23,0.00,88794.31,188689.43
CPTY_B,2028-02-07,12.005464,84505.41,0.00,298862.11,0.00,90516.01,188689.43
CPTY_B,2028-05-05,12.245902,76271.27,0.00,244244.83,0.00,81999.97,188689.43
CPTY_B,2028-08-07,12.502732,74319.31,0.00,233964.49,0.00,80219.53,188689.43
