#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
cap_02,2016-02-05,0.000000,289667,0,0,0,289667,289667,289667
cap_02,2016-05-06,0.248634,294171,0,0,0,413004,294002,294002
cap_02,2016-08-05,0.497268,300525,0,0,0,498310,300136,300136
cap_02,2016-11-07,0.754098,303879,0,0,0,556730,303176,303176
cap_02,2017-02-06,1.003002,303804,0,0,0,580444,302840,303176
cap_02,2017-05-05,1.244098,304965,0,0,0,749993,303698,303698
cap_02,2017-08-07,1.501632,312579,0,0,0,664578,311003,311003
cap_02,2017-11-06,1.750947,304032,0,0,0,706156,302229,311003
cap_02,2018-02-05,2.000262,304336,0,0,0,620247,302210,311003
cap_02,2018-05-08,2.252317,302422,0,0,0,568403,300118,311003
cap_02,2018-08-06,2.498892,306129,0,0,0,792577,303618,311003
cap_02,2018-11-05,2.748207,303945,0,0,0,689674,301273,311003
cap_02,2019-02-05,3.000262,303466,0,0,0,782073,300617,311003
cap_02,2019-05-07,3.249577,299812,0,0,0,755045,296940,311003
cap_02,2019-08-05,3.496152,296497,0,0,0,907190,293610,311003
cap_02,2019-11-05,3.748207,296166,0,0,0,858597,293235,311003
cap_02,2020-02-05,4.000000,299453,0,0,0,846837,296441,311003
cap_02,2020-05-05,4.245902,296504,0,0,0,805668,293602,311003
cap_02,2020-08-05,4.497268,299606,0,0,0,842686,296765,311003
cap_02,2020-11-05,4.748634,284560,0,0,0,758323,281949,311003
cap_02,2021-02-05,5.000262,281486,0,0,0,726255,278989,311003
cap_02,2021-05-05,5.244098,269159,0,0,0,753256,267072,311003
cap_02,2021-08-05,5.496152,266797,0,0,0,784874,265053,311003
cap_02,2021-11-05,5.748207,265999,0,0,0,705796,264582,311003
cap_02,2022-02-07,6.005741,260811,0,0,0,696230,259744,311003
cap_02,2022-05-05,6.244098,248641,0,0,0,636387,248072,311003
cap_02,2022-08-05,6.496152,242319,0,0,0,648294,242234,311003
cap_02,2022-11-07,6.753687,230811,0,0,0,627929,231188,311003
cap_02,2023-02-06,7.003002,227304,0,0,0,627107,228111,311003
cap_02,2023-05-05,7.244098,217438,0,0,0,534201,218734,311003
cap_02,2023-08-07,7.501632,218921,0,0,0,579200,220798,311003
cap_02,2023-11-06,7.750947,207365,0,0,0,580102,209668,311003
cap_02,2024-02-05,8.000000,203045,0,0,0,705050,205816,311003
cap_02,2024-05-07,8.251366,190996,0,0,0,679066,194186,311003
cap_02,2024-08-05,8.497268,190128,0,0,0,646324,193883,311003
cap_02,2024-11-05,8.748634,170737,0,0,0,558076,174641,311003
cap_02,2025-02-05,9.000262,165928,0,0,0,566996,170241,311003
cap_02,2025-05-06,9.246837,156629,0,0,0,509102,161261,311003
cap_02,2025-08-05,9.496152,154935,0,0,0,450100,160085,311003
cap_02,2025-11-05,9.748207,148388,0,0,0,424096,153873,311003
cap_02,2026-02-05,10.000262,145803,0,0,0,438662,151737,311003
cap_02,2026-05-05,10.244098,141284,0,0,0,450736,147550,311003
cap_02,2026-08-05,10.496152,141520,0,0,0,502756,148333,311003
cap_02,2026-11-05,10.748207,124154,0,0,0,392795,130603,311003
cap_02,2027-02-05,11.000262,120097,0,0,0,324708,126793,311003
cap_02,2027-05-05,11.244098,110775,0,0,0,386372,117363,311003
cap_02,2027-08-05,11.496152,110463,0,0,0,363897,117457,311003
cap_02,2027-11-05,11.748207,96969,0,0,0,338045,103483,311003
cap_02,2028-02-07,12.005464,98597,0,0,0,353826,105609,311003
cap_02,2028-05-05,12.245902,87456,0,0,0,281797,94024,311003
cap_02,2028-08-07,12.502732,85284,0,0,0,270687,92055,311003
cap_02,2028-11-06,12.751366,72145,0,0,0,226463,78173,311003
cap_02,2029-02-05,13.000262,74151,0,0,0,270755,80656,311003
cap_02,2029-05-08,13.252317,60004,0,0,0,203869,65523,311003
cap_02,2029-08-06,13.498892,57776,0,0,0,224880,63330,311003
cap_02,2029-11-05,13.748207,46915,0,0,0,188795,51623,311003
cap_02,2030-02-05,14.000262,45835,0,0,0,191604,50631,311003
cap_02,2030-05-07,14.249577,32820,0,0,0,137593,36394,311003
cap_02,2030-08-05,14.496152,31912,0,0,0,130945,35522,311003
cap_02,2030-11-05,14.748207,23284,0,0,0,92756,26019,311003
cap_02,2031-02-05,15.000262,22786,0,0,0,91867,25562,311003
cap_02,2031-05-06,15.246837,11784,0,0,0,42841,13266,311003
cap_02,2031-08-05,15.496152,11852,0,0,0,40750,13390,311003
cap_02,2031-11-05,15.748207,0,0,0,0,0,0,311003
cap_02,2032-02-05,16.000000,0,0,0,0,0,0,311003
cap_02,2032-05-05,16.245902,0,0,0,0,0,0,311003
cap_02,2032-08-05,16.497268,0,0,0,0,0,0,311003
cap_02,2032-11-05,16.748634,0,0,0,0,0,0,311003
cap_02,2033-02-07,17.005741,0,0,0,0,0,0,311003
cap_02,2033-05-05,17.244098,0,0,0,0,0,0,311003
cap_02,2033-08-05,17.496152,0,0,0,0,0,0,311003
cap_02,2033-11-07,17.753687,0,0,0,0,0,0,311003
cap_02,2034-02-06,18.003002,0,0,0,0,0,0,311003
cap_02,2034-05-05,18.244098,0,0,0,0,0,0,311003
cap_02,2034-08-07,18.501632,0,0,0,0,0,0,311003
cap_02,2034-11-06,18.750947,0,0,0,0,0,0,311003
cap_02,2035-02-05,19.000262,0,0,0,0,0,0,311003
cap_02,2035-05-08,19.252317,0,0,0,0,0,0,311003
cap_02,2035-08-06,19.498892,0,0,0,0,0,0,311003
cap_02,2035-11-05,19.748207,0,0,0,0,0,0,311003
cap_02,2036-02-05,20.000000,0,0,0,0,0,0,311003
