#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,661364.44,0.00,661364.44,-661364.44,661364.44,661364.44
CPTY_A,2016-05-06,0.248634,657550.56,0.00,937947.13,0.00,657173.20,661364.44
CPTY_A,2016-08-05,0.497268,656063.89,0.00,1000814.06,0.00,655214.22,661364.44
CPTY_A,2016-11-07,0.754098,666221.73,0.00,1233714.75,0.00,664680.07,664680.07
CPTY_A,2017-02-06,1.003002,660791.72,0.00,1174491.25,0.00,658694.70,664680.07
CPTY_A,2017-05-05,1.244098,698511.23,0.00,1275354.88,0.00,695609.42,695609.42
CPTY_A,2017-08-07,1.501632,695863.40,0.00,1228102.38,0.00,692354.35,695609.42
CPTY_A,2017-11-06,1.750947,568898.67,0.00,1086021.38,0.00,565524.62,695609.42
CPTY_A,2018-02-05,2.000262,586822.31,0.00,1237320.38,0.00,582721.58,695609.42
CPTY_A,2018-05-08,2.252317,617912.76,0.00,1525181.63,0.00,613204.04,695609.42
CPTY_A,2018-08-06,2.498892,616607.54,0.00,1598639.63,0.00,611549.59,695609.42
CPTY_A,2018-11-05,2.748207,500311.07,0.00,1259476.63,0.00,495912.59,695609.42
CPTY_A,2019-02-05,3.000262,505001.57,0.00,1433081.13,0.00,500261.51,695609.42
CPTY_A,2019-05-07,3.249577,536133.18,0.00,1464692.00,0.00,530997.99,695609.42
CPTY_A,2019-08-05,3.496152,534849.89,0.00,1349920.25,0.00,529642.92,695609.42
CPTY_A,2019-11-05,3.748207,440876.81,0.00,1448084.38,0.00,436513.87,695609.42
CPTY_A,2020-02-05,4.000000,439957.05,0.00,1505368.50,0.00,435532.54,695609.42
CPTY_A,2020-05-05,4.245902,431098.85,0.00,1088742.88,0.00,426879.14,695609.42
CPTY_A,2020-08-05,4.497268,438407.36,0.00,1185924.25,0.00,434250.05,695609.42
CPTY_A,2020-11-05,4.748634,316470.04,0.00,852292.63,0.00,313565.75,695609.42
