#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue
swap,Swap,1,0,2017-10-19,Interest,120000.0000,GBP,0.0400000000,1.0000000000,2016-10-19,2017-10-19,0.0000,#N/A,#N/A,3000000.0000,0.9940480883,119285.7705958160
swap,Swap,2,0,2018-10-19,Interest,112000.0000,GBP,0.0400000000,1.0000000000,2017-10-19,2018-10-19,0.0000,#N/A,#N/A,2800000.0000,0.9922951759,111137.0596997369
swap,Swap,3,0,2019-10-21,Interest,104569.8630,GBP,0.0400000000,1.0054794521,2018-10-19,2019-10-21,0.0000,#N/A,#N/A,2600000.0000,0.9883185624,103348.3366806096
swap,Swap,4,0,2020-10-19,Interest,95736.9863,GBP,0.0400000000,0.9972602740,2019-10-21,2020-10-19,0.0000,#N/A,#N/A,2400000.0000,0.9825016085,94061.7430302674
swap,Swap,5,0,2021-10-19,Interest,88000.0000,GBP,0.0400000000,1.0000000000,2020-10-19,2021-10-19,0.0000,#N/A,#N/A,2200000.0000,0.9730545832,85628.8033228294
swap,Swap,6,0,2022-10-19,Interest,80000.0000,GBP,0.0400000000,1.0000000000,2021-10-19,2022-10-19,0.0000,#N/A,#N/A,2000000.0000,0.9623816722,76990.5337794766
swap,Swap,7,0,2023-10-19,Interest,72000.0000,GBP,0.0400000000,1.0000000000,2022-10-19,2023-10-19,0.0000,#N/A,#N/A,1800000.0000,0.9479099095,68249.5134809199
swap,Swap,8,0,2024-10-21,Interest,64526.0274,GBP,0.0400000000,1.0082191781,2023-10-19,2024-10-21,0.0000,#N/A,#N/A,1600000.0000,0.9318011719,60125.4279452490
swap,Swap,9,0,2025-10-20,Interest,55846.5753,GBP,0.0400000000,0.9972602740,2024-10-21,2025-10-20,0.0000,#N/A,#N/A,1400000.0000,0.9161368499,51163.1056123600
swap,Swap,10,0,2026-10-19,Interest,47868.4932,GBP,0.0400000000,0.9972602740,2025-10-20,2026-10-19,0.0000,#N/A,#N/A,1200000.0000,0.8998528559,43074.6002685447
swap,Swap,11,0,2027-10-19,Interest,40000.0000,GBP,0.0400000000,1.0000000000,2026-10-19,2027-10-19,0.0000,#N/A,#N/A,1000000.0000,0.8834285210,35337.1408398828
swap,Swap,12,0,2028-10-19,Interest,32087.6712,GBP,0.0400000000,1.0027397260,2027-10-19,2028-10-19,0.0000,#N/A,#N/A,800000.0000,0.8672601970,27828.3600740200
swap,Swap,13,0,2029-10-19,Interest,24000.0000,GBP,0.0400000000,1.0000000000,2028-10-19,2029-10-19,0.0000,#N/A,#N/A,600000.0000,0.8514307513,20434.3380309680
swap,Swap,14,0,2030-10-21,Interest,16087.6712,GBP,0.0400000000,1.0054794521,2029-10-19,2030-10-21,0.0000,#N/A,#N/A,400000.0000,0.8358058611,13446.1699083120
swap,Swap,15,0,2031-10-20,Interest,7978.0822,GBP,0.0400000000,0.9972602740,2030-10-21,2031-10-20,0.0000,#N/A,#N/A,200000.0000,0.8192644335,6536.1589871136
swap,Swap,1,1,2017-04-19,InterestProjected,-26934.0866,GBP,0.0180053875,0.4986301370,2016-10-19,2017-04-19,0.0000,2016-10-19,0.0093369250,3000000.0000,0.9933411605,-26754.7368011468
swap,Swap,2,1,2017-10-19,InterestProjected,-24043.9290,GBP,0.0159854901,0.5013698630,2017-04-19,2017-10-19,0.0000,2017-04-19,0.0079903267,3000000.0000,0.9940480883,-23900.8216219760
swap,Swap,3,1,2018-04-19,InterestProjected,-23382.0964,GBP,0.0167473806,0.4986301370,2017-10-19,2018-04-19,0.0000,2017-10-19,0.0084982538,2800000.0000,0.9938848221,-23239.1106968416
swap,Swap,4,1,2018-10-19,InterestProjected,-25690.6450,GBP,0.0183003228,0.5013698630,2018-04-19,2018-10-19,0.0000,2018-04-19,0.0095335486,2800000.0000,0.9922951759,-25492.7030740721
swap,Swap,5,1,2019-04-23,InterestProjected,-25669.1193,GBP,0.0193739217,0.5095890411,2018-10-19,2019-04-23,0.0000,2018-10-19,0.0102492812,2600000.0000,0.9904573025,-25424.1666753665
swap,Swap,6,1,2019-10-21,InterestProjected,-26936.7117,GBP,0.0208922647,0.4958904110,2019-04-23,2019-10-21,0.0000,2019-04-23,0.0112618566,2600000.0000,0.9883185624,-26622.0522048874
swap,Swap,7,1,2020-04-20,InterestProjected,-26185.5091,GBP,0.0218812061,0.4986301370,2019-10-21,2020-04-20,0.0000,2019-10-21,0.0119261378,2400000.0000,0.9857465504,-25812.2752185578
swap,Swap,8,1,2020-10-19,InterestProjected,-27874.1634,GBP,0.0232922840,0.4986301370,2020-04-20,2020-10-19,0.0000,2020-04-20,0.0128617488,2400000.0000,0.9825016085,-27386.4103452707
swap,Swap,9,1,2021-04-19,InterestProjected,-27475.0044,GBP,0.0250458957,0.4986301370,2020-10-19,2021-04-19,0.0000,2020-10-19,0.0140305971,2200000.0000,0.9784501260,-26882.9215530392
swap,Swap,10,1,2021-10-19,InterestProjected,-30516.7525,GBP,0.0276667031,0.5013698630,2021-04-19,2021-10-19,0.0000,2021-04-19,0.0157778021,2200000.0000,0.9730545832,-29694.4659178573
swap,Swap,11,1,2022-04-19,InterestProjected,-30006.0450,GBP,0.0300884792,0.4986301370,2021-10-19,2022-04-19,0.0000,2021-10-19,0.0167256528,2000000.0000,0.9677180342,-29037.3909094050
swap,Swap,12,1,2022-10-19,InterestProjected,-32402.6015,GBP,0.0323140698,0.5013698630,2022-04-19,2022-10-19,0.0000,2022-04-19,0.0182093799,2000000.0000,0.9623816722,-31183.6698353814
swap,Swap,13,1,2023-04-19,InterestProjected,-29938.6391,GBP,0.0333565424,0.4986301370,2022-10-19,2023-04-19,0.0000,2022-10-19,0.0189043616,1800000.0000,0.9560238818,-28622.0540082038
swap,Swap,14,1,2023-10-19,InterestProjected,-31542.7622,GBP,0.0349517553,0.5013698630,2023-04-19,2023-10-19,0.0000,2023-04-19,0.0199678369,1800000.0000,0.9479099095,-29899.6968799151
swap,Swap,15,1,2024-04-19,InterestProjected,-28559.4706,GBP,0.0356017990,0.5013698630,2023-10-19,2024-04-19,0.0000,2023-10-19,0.0204011994,1600000.0000,0.9398648021,-26842.0411573016
swap,Swap,16,1,2024-10-21,InterestProjected,-38181.4194,GBP,0.0470818179,0.5068493151,2024-04-19,2024-10-21,0.0000,2024-04-19,0.0210409089,1600000.0000,0.9318011719,-35577.4913847270
swap,Swap,17,1,2025-04-22,InterestProjected,-33167.9817,GBP,0.0472533697,0.5013698630,2024-10-21,2025-04-22,0.0000,2024-10-21,0.0211266848,1400000.0000,0.9238927827,-30643.6588987913
swap,Swap,18,1,2025-10-20,InterestProjected,-32973.8292,GBP,0.0474958472,0.4958904110,2025-04-22,2025-10-20,0.0000,2025-04-22,0.0212491562,1400000.0000,0.9161368499,-30208.5400442819
swap,Swap,19,1,2026-04-20,InterestProjected,-28196.2990,GBP,0.0471229357,0.4986301370,2025-10-20,2026-04-20,0.0000,2025-10-20,0.0210614678,1200000.0000,0.9081562621,-25606.6455394012
swap,Swap,20,1,2026-10-19,InterestProjected,-27869.6048,GBP,0.0465769495,0.4986301370,2026-04-20,2026-10-19,0.0000,2026-04-20,0.0207890647,1200000.0000,0.8998528559,-25078.5435042705
swap,Swap,21,1,2027-04-19,InterestProjected,-23723.3008,GBP,0.0475769495,0.4986301370,2026-10-19,2027-04-19,0.0000,2026-10-19,0.0207884747,1000000.0000,0.8916253689,-21152.2968584784
swap,Swap,22,1,2027-10-19,InterestProjected,-23854.2402,GBP,0.0475781294,0.5013698630,2027-04-19,2027-10-19,0.0000,2027-04-19,0.0207890647,1000000.0000,0.8834285210,-21073.5161695352
swap,Swap,23,1,2028-04-19,InterestProjected,-18964.7337,GBP,0.0472822937,0.5013698630,2027-10-19,2028-04-19,0.0000,2027-10-19,0.0206411469,800000.0000,0.8753070279,-16599.9646955746
swap,Swap,24,1,2028-10-19,InterestProjected,-18781.8189,GBP,0.0468262562,0.5013698630,2028-04-19,2028-10-19,0.0000,2028-04-19,0.0204131281,800000.0000,0.8672601970,-16288.7239963662
swap,Swap,25,1,2029-04-19,InterestProjected,-14009.0492,GBP,0.0468251185,0.4986301370,2028-10-19,2029-04-19,0.0000,2028-10-19,0.0204125593,600000.0000,0.8593307095,-12038.4061489190
swap,Swap,26,1,2029-10-19,InterestProjected,-14086.3642,GBP,0.0468262562,0.5013698630,2029-04-19,2029-10-19,0.0000,2029-04-19,0.0204131281,600000.0000,0.8514307513,-11993.5636601026
swap,Swap,27,1,2030-04-23,InterestProjected,-9545.5546,GBP,0.0468296697,0.5095890411,2029-10-19,2030-04-23,0.0000,2029-10-19,0.0204148349,400000.0000,0.8434757030,-8051.4433700892
swap,Swap,28,1,2030-10-21,InterestProjected,-9287.8252,GBP,0.0468239808,0.4958904110,2030-04-23,2030-10-21,0.0000,2030-04-23,0.0204131281,400000.0000,0.8358058611,-7762.8187690204
swap,Swap,29,1,2031-04-21,InterestProjected,-4571.7222,GBP,0.0458428188,0.4986301370,2030-10-21,2031-04-21,0.0000,2030-10-21,0.0199214094,200000.0000,0.8277915931,-3784.4332053795
swap,Swap,30,1,2031-10-20,InterestProjected,-4432.0058,GBP,0.0444418167,0.4986301370,2031-04-21,2031-10-20,0.0000,2031-04-21,0.0192214129,200000.0000,0.8192644335,-3630.9847491471
capped_swap,Swap,1,0,2017-10-19,Interest,120000.0000,GBP,0.0400000000,1.0000000000,2016-10-19,2017-10-19,0.0000,#N/A,#N/A,3000000.0000,0.9940480883,119285.7705958160
capped_swap,Swap,2,0,2018-10-19,Interest,112000.0000,GBP,0.0400000000,1.0000000000,2017-10-19,2018-10-19,0.0000,#N/A,#N/A,2800000.0000,0.9922951759,111137.0596997369
capped_swap,Swap,3,0,2019-10-21,Interest,104569.8630,GBP,0.0400000000,1.0054794521,2018-10-19,2019-10-21,0.0000,#N/A,#N/A,2600000.0000,0.9883185624,103348.3366806096
capped_swap,Swap,4,0,2020-10-19,Interest,95736.9863,GBP,0.0400000000,0.9972602740,2019-10-21,2020-10-19,0.0000,#N/A,#N/A,2400000.0000,0.9825016085,94061.7430302674
capped_swap,Swap,5,0,2021-10-19,Interest,88000.0000,GBP,0.0400000000,1.0000000000,2020-10-19,2021-10-19,0.0000,#N/A,#N/A,2200000.0000,0.9730545832,85628.8033228294
capped_swap,Swap,6,0,2022-10-19,Interest,80000.0000,GBP,0.0400000000,1.0000000000,2021-10-19,2022-10-19,0.0000,#N/A,#N/A,2000000.0000,0.9623816722,76990.5337794766
capped_swap,Swap,7,0,2023-10-19,Interest,72000.0000,GBP,0.0400000000,1.0000000000,2022-10-19,2023-10-19,0.0000,#N/A,#N/A,1800000.0000,0.9479099095,68249.5134809199
capped_swap,Swap,8,0,2024-10-21,Interest,64526.0274,GBP,0.0400000000,1.0082191781,2023-10-19,2024-10-21,0.0000,#N/A,#N/A,1600000.0000,0.9318011719,60125.4279452490
capped_swap,Swap,9,0,2025-10-20,Interest,55846.5753,GBP,0.0400000000,0.9972602740,2024-10-21,2025-10-20,0.0000,#N/A,#N/A,1400000.0000,0.9161368499,51163.1056123600
capped_swap,Swap,10,0,2026-10-19,Interest,47868.4932,GBP,0.0400000000,0.9972602740,2025-10-20,2026-10-19,0.0000,#N/A,#N/A,1200000.0000,0.8998528559,43074.6002685447
capped_swap,Swap,11,0,2027-10-19,Interest,40000.0000,GBP,0.0400000000,1.0000000000,2026-10-19,2027-10-19,0.0000,#N/A,#N/A,1000000.0000,0.8834285210,35337.1408398828
capped_swap,Swap,12,0,2028-10-19,Interest,32087.6712,GBP,0.0400000000,1.0027397260,2027-10-19,2028-10-19,0.0000,#N/A,#N/A,800000.0000,0.8672601970,27828.3600740200
capped_swap,Swap,13,0,2029-10-19,Interest,24000.0000,GBP,0.0400000000,1.0000000000,2028-10-19,2029-10-19,0.0000,#N/A,#N/A,600000.0000,0.8514307513,20434.3380309680
capped_swap,Swap,14,0,2030-10-21,Interest,16087.6712,GBP,0.0400000000,1.0054794521,2029-10-19,2030-10-21,0.0000,#N/A,#N/A,400000.0000,0.8358058611,13446.1699083120
