#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,CPTY_A,2016-02-05,0.000000,0.00,36557099.83,0.00,-36557099.83,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-05-06,0.248634,0.00,36558381.08,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-08-05,0.497268,0.00,36156976.23,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2016-11-07,0.754098,0.00,36237234.77,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-02-06,1.003002,0.00,34906295.22,0.00,0.00,0.00,0.00,0.00,0.00
BASE,CPTY_A,2017-05-05,1.244098,1448.81,34756910.22,0.00,0.00,1485.58,1485.58,287.89,287.89
BASE,CPTY_A,2017-08-07,1.501632,6441.54,33542064.16,0.00,0.00,6639.35,6639.35,1377.19,1377.19
BASE,CPTY_A,2017-11-06,1.750947,14718.14,33662870.37,0.00,0.00,15246.05,15246.05,3351.96,3351.96
BASE,CPTY_A,2018-02-05,2.000262,25935.67,32326560.48,0.00,0.00,26999.74,26999.74,6299.45,6299.45
BASE,CPTY_A,2018-05-08,2.252317,49573.68,32115861.44,0.00,0.00,51869.21,51869.21,11399.12,11399.12
BASE,CPTY_A,2018-08-06,2.498892,91038.48,31121238.71,0.00,0.00,95726.72,95726.72,19720.05,19720.05
BASE,CPTY_A,2018-11-05,2.748207,113810.48,31273752.74,0.00,0.00,120271.89,120271.89,28842.03,28842.03
BASE,CPTY_A,2019-02-05,3.000262,165168.12,30266966.93,0.00,0.00,175430.72,175430.72,41157.08,41157.08
BASE,CPTY_A,2019-05-07,3.249577,248750.37,30163513.46,0.00,0.00,265531.98,265531.98,58371.64,58371.64
BASE,CPTY_A,2019-08-05,3.496152,335120.87,29296218.43,0.00,0.00,359504.54,359504.54,79609.83,79609.83
BASE,CPTY_A,2019-11-05,3.748207,391233.11,29506306.83,0.00,0.00,421828.66,421828.66,102622.94,102622.94
BASE,CPTY_A,2020-02-05,4.000000,520289.94,28670779.63,31352.81,0.00,563823.92,563823.92,131654.71,131654.71
BASE,CPTY_A,2020-05-05,4.245902,614285.65,28569196.29,1642915.14,0.00,668987.79,668987.79,162774.39,162774.39
BASE,CPTY_A,2020-08-05,4.497268,759314.33,27849678.00,3215488.95,0.00,831126.13,831126.13,200130.62,200130.62
BASE,CPTY_A,2020-11-05,4.748634,798108.24,28058999.60,3706016.70,0.00,878020.50,878020.50,236014.32,236014.32
BASE,CPTY_A,2021-02-05,5.000262,956651.49,27305233.89,5849091.90,0.00,1057777.04,1057777.04,277367.87,277367.87
BASE,CPTY_A,2021-05-05,5.244098,1063088.57,27223793.46,7139172.93,0.00,1181233.35,1181233.35,319395.05,319395.05
