#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,89653.13,2622234.53,1250834.75,-12972.69,1345151.96,-15034.34,1406032.40,-16430.64,0.00,-33504.58,0.00,0.00,0.00,0.00,0.00,89653.13,2622234.53,None,0.00,0.00
BASE,BermSwp,CPTY_A,4405.59,0.00,0.00,-652.84,0.00,-738.79,0.00,-797.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,52776.70,52776.70
BASE,CC_SWAP_EUR_USD,CPTY_A,64429.28,2634732.52,1257887.64,-9556.75,1350667.89,-10804.45,1410334.64,-11624.20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
BASE,FX_CALL_OPTION,CPTY_A,15660.53,0.00,0.00,-2424.35,0.00,-2626.19,0.00,-2756.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,276229.09,276229.09
BASE,Swap_EUR,CPTY_A,38690.72,68907.02,31740.47,-5687.72,36276.45,-6488.21,39385.73,-7035.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,221557.23,222463.71
BASE,Swap_USD,CPTY_A,50713.49,55093.11,25505.51,-7501.16,28899.02,-8504.36,31212.21,-9185.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,316836.94,316836.94
eur_6m_up,,CPTY_A,112438.26,3091314.62,1479321.66,-15887.99,1581915.24,-18855.29,1647776.81,-20901.57,0.00,-33461.23,0.00,0.00,0.00,0.00,0.00,112438.26,3091314.62,None,0.00,0.00
eur_6m_up,BermSwp,CPTY_A,12880.87,0.00,0.00,-1911.98,0.00,-2160.05,0.00,-2329.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,156596.19,156596.19
eur_6m_up,CC_SWAP_EUR_USD,CPTY_A,49453.43,3342864.77,1600037.68,-7286.99,1710365.01,-8293.08,1781101.80,-8956.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eur_6m_up,FX_CALL_OPTION,CPTY_A,15660.54,0.00,0.00,-2424.36,0.00,-2626.19,0.00,-2756.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,276230.10,276230.10
eur_6m_up,Swap_EUR,CPTY_A,175541.83,6664.93,2958.14,-26577.12,3600.72,-29437.43,4054.51,-31366.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,3196213.26,3286756.82
eur_6m_up,Swap_USD,CPTY_A,50715.90,55097.75,25507.67,-7501.52,28901.44,-8504.77,31214.81,-9186.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,316891.07,316891.07
eonia_up,,CPTY_A,75906.45,2140512.76,-3007453.57,-228634.30,-3230941.55,-263876.62,-3375094.88,-287644.77,0.00,-582036.13,0.00,0.00,0.00,0.00,0.00,75906.45,2140512.76,None,0.00,0.00
eonia_up,BermSwp,CPTY_A,3173.80,0.00,0.00,-9762.47,0.00,-11033.61,0.00,-11900.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,38914.88,38914.88
eonia_up,CC_SWAP_EUR_USD,CPTY_A,57533.68,2150949.94,-3024373.32,-176956.12,-3244909.51,-200006.55,-3386697.19,-215148.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,0.00,0.00
eonia_up,FX_CALL_OPTION,CPTY_A,12556.56,0.00,0.00,-40298.49,0.00,-43653.17,0.00,-45822.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,224208.31,224208.31
eonia_up,Swap_EUR,CPTY_A,28846.57,52143.23,-70831.02,-88223.22,-80612.66,-100273.48,-87298.89,-108486.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,178684.41,181291.52
eonia_up,Swap_USD,CPTY_A,39406.81,43786.38,-59809.08,-121120.31,-67425.21,-136972.52,-72600.93,-147718.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,250814.41,250814.41
