#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,602070.5723
CPTY_A,All,All,All,SA_CVA_CAPITAL,602070.5723
,InterestRate,Delta,All,SA_CVA_CAPITAL,50634.1294
,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31235.7333
,InterestRate,Delta,USD,SA_CVA_CAPITAL,30308.9298
,InterestRate,Vega,All,SA_CVA_CAPITAL,63939.8024
,InterestRate,Vega,EUR,SA_CVA_CAPITAL,28158.1981
,InterestRate,Vega,USD,SA_CVA_CAPITAL,45027.8823
,ForeignExchange,Delta,All,SA_CVA_CAPITAL,415.5692
,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,415.5692
,ForeignExchange,Vega,All,SA_CVA_CAPITAL,4.6654
,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,4.6654
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,487076.4060
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,487076.4060
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,50634.1294
CPTY_A,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31235.7333
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,30308.9298
CPTY_A,InterestRate,Vega,All,SA_CVA_CAPITAL,63939.8024
CPTY_A,InterestRate,Vega,EUR,SA_CVA_CAPITAL,28158.1981
CPTY_A,InterestRate,Vega,USD,SA_CVA_CAPITAL,45027.8823
CPTY_A,ForeignExchange,Delta,All,SA_CVA_CAPITAL,415.5692
CPTY_A,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,415.5692
CPTY_A,ForeignExchange,Vega,All,SA_CVA_CAPITAL,4.6654
CPTY_A,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,4.6654
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,487076.4060
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,487076.4060
