#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-02-05,0.000000,76600.59,0.00,76600.59,76600.59,76600.59,76600.59,76600.59,76600.59
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-05-05,0.245902,241535.87,160983.96,750868.84,0.00,242743.77,242743.77,242743.77,242743.77
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-08-05,0.497268,335366.08,242745.44,1261440.56,0.00,338757.69,338757.69,291278.28,291278.28
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2016-11-07,0.754098,339975.13,348833.69,1599185.81,0.00,345189.20,345189.20,309639.25,309639.25
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-02-06,1.003002,416026.91,448973.93,1912138.94,0.00,424511.05,424511.05,338145.66,338145.66
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-05-05,1.244098,579613.29,440143.36,1928268.41,0.00,594323.65,594323.65,387790.85,387790.85
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-08-07,1.501632,628805.84,463868.15,2700589.13,0.00,648116.02,648116.02,432437.37,432437.37
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2017-11-06,1.750947,607829.55,532382.64,3119189.75,0.00,629631.40,648116.02,460515.58,463147.58
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-02-05,2.000262,665877.12,565010.95,2888795.88,0.00,693196.37,693196.37,489517.19,491821.13
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-05-07,2.249577,775202.67,459273.42,2877114.38,0.00,811054.10,811054.10,525152.33,527200.94
Base,false,,0.00000000,,0.00000000,EUR,CPTY_A,2018-08-06,2.498892,741029.42,455706.81,3453603.20,0.00,779190.53,811054.10,550497.78,555521.03
