#Type,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
Base,false,,0.00000000,,0.00000000,EUR,,CPTY_A,60197.28,75807.17,34885.26,-8877.00,39937.42,-10094.73,43407.60,-10924.37,0.00,-3981.07,0.00,0.00,0.00,0.00,0.00,60197.28,75807.17,None,338323.50,338323.50
Base,false,,0.00000000,,0.00000000,EUR,Swap_EUR,CPTY_A,38457.37,65722.28,30301.56,-5657.10,34577.39,-6449.08,37502.85,-6989.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179450.00,189551.94
Base,false,,0.00000000,,0.00000000,EUR,Swap_USD,CPTY_A,46532.54,49833.40,23041.21,-6908.64,26163.62,-7803.24,28291.55,-8409.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300106.33,300106.33
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60203.31,75818.46,35027.72,-8696.99,40105.76,-9884.65,43593.76,-10693.79,0.00,-3946.36,0.00,0.00,0.00,0.00,0.00,60203.31,75818.46,None,338356.16,338356.16
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38465.77,65737.33,30432.84,-5538.60,34731.02,-6311.10,37671.79,-6838.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179481.05,189575.96
Up,false,DiscountCurve/EUR/0/1Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46532.54,49833.40,23129.15,-6772.43,26266.98,-7644.88,28405.44,-8235.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300126.39,300126.39
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,,CPTY_A,60153.54,75726.88,34015.00,-9938.63,38935.26,-11307.17,42314.78,-12239.59,0.00,-4410.94,0.00,0.00,0.00,0.00,0.00,60153.54,75726.88,None,338228.73,338228.73
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38396.31,65614.29,29523.33,-6332.63,33684.91,-7221.95,36532.12,-7828.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179270.40,189391.65
Up,false,DiscountCurve/EUR/1/5Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46532.54,49833.40,22492.73,-7735.80,25537.30,-8742.04,27612.17,-9423.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300106.35,300106.35
Up,false,DiscountCurve/USD/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60204.72,75812.28,34887.55,-8878.10,39940.15,-10095.98,43410.65,-10925.73,0.00,-3981.42,0.00,0.00,0.00,0.00,0.00,60204.72,75812.28,None,338381.29,338381.29
Up,false,DiscountCurve/USD/0/1Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38457.37,65722.28,30301.56,-5657.10,34577.39,-6449.08,37502.85,-6989.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179450.00,189551.94
Up,false,DiscountCurve/USD/0/1Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46542.98,49843.27,23045.69,-6910.17,26168.87,-7804.99,28297.34,-8410.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300176.21,300176.21
Up,false,DiscountCurve/USD/1/5Y,0.00010000,,0.00000000,EUR,,CPTY_A,60143.76,75767.75,34867.39,-8869.12,39916.43,-10085.76,43384.45,-10914.66,0.00,-3978.37,0.00,0.00,0.00,0.00,0.00,60143.76,75767.75,None,337920.70,337920.70
Up,false,DiscountCurve/USD/1/5Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38457.37,65722.28,30301.56,-5657.10,34577.39,-6449.08,37502.85,-6989.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179450.00,189551.94
Up,false,DiscountCurve/USD/1/5Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46457.20,49759.25,23007.36,-6897.55,26124.33,-7790.61,28248.51,-8395.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,299609.88,299609.88
Up,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60075.33,75963.78,34958.76,-8858.60,40018.75,-10074.28,43494.22,-10902.55,0.00,-3981.38,0.00,0.00,0.00,0.00,0.00,60075.33,75963.78,None,336629.02,336629.02
Up,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38353.66,65908.02,30388.53,-5641.39,34674.02,-6431.69,37606.00,-6970.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,177910.78,188111.35
Up,false,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46532.52,49833.40,23041.21,-6908.63,26163.62,-7803.24,28291.55,-8409.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300106.32,300106.32
Up,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.00010000,,0.00000000,EUR,,CPTY_A,60818.55,75012.23,34511.82,-8970.95,39524.90,-10198.91,42968.72,-11035.45,0.00,-3979.52,0.00,0.00,0.00,0.00,0.00,60818.55,75012.23,None,348788.68,348788.68
Up,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38988.04,64782.64,29861.20,-5737.66,34088.92,-6538.07,36981.85,-7084.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,189051.80,199243.85
Up,false,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46532.61,49833.37,23041.20,-6908.65,26163.61,-7803.25,28291.54,-8409.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,300106.34,300106.34
Up,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.00010000,,0.00000000,EUR,,CPTY_A,60099.10,75872.59,34916.21,-8862.17,39971.18,-10078.27,43443.25,-10906.81,0.00,-3979.43,0.00,0.00,0.00,0.00,0.00,60099.10,75872.59,None,336940.25,336940.25
Up,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.00010000,,0.00000000,EUR,Swap_EUR,CPTY_A,38457.37,65722.28,30301.56,-5657.10,34577.39,-6449.08,37502.85,-6989.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,179450.00,189551.94
Up,false,IndexCurve/USD-LIBOR-3M/0/1Y,0.00010000,,0.00000000,EUR,Swap_USD,CPTY_A,46417.38,49871.32,23059.22,-6891.22,26183.14,-7783.93,28312.08,-8388.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,298493.62,298493.62
