#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
FXFWD_EURUSD_10Y,2016-02-05,0.000000,179289,0,0,0,179289,179289,179289
FXFWD_EURUSD_10Y,2016-05-06,0.248634,174586,0,0,0,285868,174486,179289
FXFWD_EURUSD_10Y,2016-08-05,0.497268,172324,614,0,0,363427,172101,179289
FXFWD_EURUSD_10Y,2016-11-07,0.754098,182559,8754,0,0,384529,182136,182136
FXFWD_EURUSD_10Y,2017-02-06,1.003002,178551,9069,0,0,419262,177984,182136
FXFWD_EURUSD_10Y,2017-05-05,1.244098,178972,9671,0,0,414312,178229,182136
FXFWD_EURUSD_10Y,2017-08-07,1.501632,184406,10478,0,0,429010,183476,183476
FXFWD_EURUSD_10Y,2017-11-06,1.750947,192694,18790,0,0,433137,191552,191552
FXFWD_EURUSD_10Y,2018-02-05,2.000262,192738,19291,0,0,448663,191391,191552
FXFWD_EURUSD_10Y,2018-05-08,2.252317,189931,15925,0,0,458189,188484,191552
FXFWD_EURUSD_10Y,2018-08-06,2.498892,193727,19893,0,0,442496,192138,192138
FXFWD_EURUSD_10Y,2018-11-05,2.748207,192149,19045,0,0,432229,190460,192138
FXFWD_EURUSD_10Y,2019-02-05,3.000262,194604,24565,0,0,483572,192778,192778
FXFWD_EURUSD_10Y,2019-05-07,3.249577,194988,27808,0,0,495493,193121,193121
FXFWD_EURUSD_10Y,2019-08-05,3.496152,198693,28802,0,0,481298,196759,196759
FXFWD_EURUSD_10Y,2019-11-05,3.748207,196193,28215,0,0,492324,194252,196759
FXFWD_EURUSD_10Y,2020-02-05,4.000000,196977,27279,0,0,527783,194996,196759
FXFWD_EURUSD_10Y,2020-05-05,4.245902,199583,28550,0,0,520239,197629,197629
FXFWD_EURUSD_10Y,2020-08-05,4.497268,208534,44700,0,0,543463,206556,206556
FXFWD_EURUSD_10Y,2020-11-05,4.748634,208138,43056,0,0,561674,206228,206556
FXFWD_EURUSD_10Y,2021-02-05,5.000262,208984,51557,0,0,546201,207130,207130
FXFWD_EURUSD_10Y,2021-05-05,5.244098,205000,41989,0,0,522763,203411,207130
FXFWD_EURUSD_10Y,2021-08-05,5.496152,197655,40367,0,0,473862,196362,207130
FXFWD_EURUSD_10Y,2021-11-05,5.748207,197985,40881,0,0,489690,196930,207130
FXFWD_EURUSD_10Y,2022-02-07,6.005741,204119,50121,0,0,555507,203285,207130
FXFWD_EURUSD_10Y,2022-05-05,6.244098,205608,48225,0,0,546036,205139,207130
FXFWD_EURUSD_10Y,2022-08-05,6.496152,198829,44491,0,0,592730,198759,207130
FXFWD_EURUSD_10Y,2022-11-07,6.753687,205280,56848,0,0,656176,205615,207130
FXFWD_EURUSD_10Y,2023-02-06,7.003002,207973,66512,0,0,618652,208712,208712
FXFWD_EURUSD_10Y,2023-05-05,7.244098,210772,68203,0,0,635664,212028,212028
FXFWD_EURUSD_10Y,2023-08-07,7.501632,206393,56790,0,0,602039,208162,212028
FXFWD_EURUSD_10Y,2023-11-06,7.750947,209262,59578,0,0,609884,211586,212028
FXFWD_EURUSD_10Y,2024-02-05,8.000000,205533,52423,0,0,615675,208338,212028
FXFWD_EURUSD_10Y,2024-05-07,8.251366,206756,53724,0,0,600371,210210,212028
FXFWD_EURUSD_10Y,2024-08-05,8.497268,211035,57266,0,0,570907,215202,215202
FXFWD_EURUSD_10Y,2024-11-05,8.748634,207592,56942,0,0,594762,212339,215202
FXFWD_EURUSD_10Y,2025-02-05,9.000262,208409,55961,0,0,611090,213826,215202
FXFWD_EURUSD_10Y,2025-05-06,9.246837,206559,55027,0,0,630193,212668,215202
FXFWD_EURUSD_10Y,2025-08-05,9.496152,213331,61897,0,0,673747,220423,220423
FXFWD_EURUSD_10Y,2025-11-05,9.748207,212004,57296,0,0,666553,219840,220423
FXFWD_EURUSD_10Y,2026-02-05,10.000262,213666,60492,0,0,677513,222362,222362
FXFWD_EURUSD_10Y,2026-05-05,10.244098,0,0,0,0,0,0,222362
FXFWD_EURUSD_10Y,2026-08-05,10.496152,0,0,0,0,0,0,222362
