#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Dummy1,2024-03-15,0.000000,7354365.00,0.00,7354365.00,7354365.00,7354365.00,7354365.00
Dummy1,2024-06-17,0.256831,7411390.28,0.00,7664087.50,0.00,7486788.74,7486788.74
Dummy1,2024-09-16,0.505464,7466932.73,0.00,7818045.00,0.00,7611983.01,7611983.01
Dummy1,2024-12-16,0.754098,7523146.94,0.00,7957764.50,0.00,7732984.98,7732984.98
Dummy1,2025-03-17,1.003294,7579456.33,0.00,8066576.50,0.00,7849856.67,7849856.67
Dummy1,2025-06-16,1.252609,7636287.17,0.00,8191887.50,0.00,7963693.78,7963693.78
Dummy1,2025-09-15,1.501924,7693535.97,0.00,8320277.50,0.00,8075531.10,8075531.10
Dummy1,2025-12-15,1.751239,7751397.44,0.00,8449280.00,0.00,8186620.67,8186620.67
Dummy1,2026-03-16,2.000554,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2026-06-15,2.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2026-09-15,2.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2026-12-15,2.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2027-03-15,2.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2027-06-15,3.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2027-09-15,3.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2027-12-15,3.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2028-03-15,4.000000,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2028-06-15,4.251366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2028-09-15,4.502732,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2028-12-15,4.751366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2029-03-15,4.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2029-06-15,5.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2029-09-17,5.507403,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2029-12-17,5.756718,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2030-03-15,5.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2030-06-17,6.255348,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2030-09-16,6.504664,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2030-12-16,6.753979,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2031-03-17,7.003294,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2031-06-16,7.252609,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2031-09-15,7.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2031-12-15,7.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2032-03-15,8.000000,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2032-06-15,8.251366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2032-09-15,8.502732,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2032-12-15,8.751366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2033-03-15,8.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2033-06-15,9.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2033-09-15,9.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2033-12-15,9.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2034-03-15,9.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2034-06-15,10.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2034-09-15,10.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2034-12-15,10.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2035-03-15,10.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2035-06-15,11.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2035-09-17,11.507403,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2035-12-17,11.756718,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2036-03-17,12.005464,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2036-06-16,12.254098,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2036-09-15,12.502732,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2036-12-15,12.751366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2037-03-16,13.000554,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2037-06-15,13.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2037-09-15,13.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2037-12-15,13.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2038-03-15,13.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2038-06-15,14.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2038-09-15,14.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2038-12-15,14.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2039-03-15,14.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2039-06-15,15.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2039-09-15,15.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2039-12-15,15.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2040-03-15,16.000000,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2040-06-15,16.251366,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2040-09-17,16.508197,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2040-12-17,16.756831,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2041-03-15,16.997814,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2041-06-17,17.255348,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2041-09-16,17.504664,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2041-12-16,17.753979,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2042-03-17,18.003294,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2042-06-16,18.252609,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2042-09-15,18.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2042-12-15,18.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2043-03-16,19.000554,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2043-06-15,19.249869,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2043-09-15,19.501924,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2043-12-15,19.751239,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2044-03-15,20.000000,0.00,0.00,0.00,0.00,0.00,8186620.67
Dummy1,2044-06-15,20.251366,0.00,0.00,0.00,0.00,0.00,8186620.67
