#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,36514743.25,0.00,-36514743.25,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,36379688.36,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,35968420.38,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,36430501.72,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,0.00,35004128.60,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-05-05,1.244098,0.00,34952668.54,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-08-07,1.501632,0.00,33505841.50,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-11-06,1.750947,20677.16,33681072.85,0.00,0.00,21418.82,21418.82,3049.80,3049.80
CPTY_A,2018-02-05,2.000262,15216.19,32220675.65,0.00,0.00,15840.47,21418.82,4644.04,5339.33
CPTY_A,2018-05-08,2.252317,60130.67,32230484.34,0.00,0.00,62915.04,62915.04,11165.10,11782.58
CPTY_A,2018-08-06,2.498892,58684.98,31301470.04,0.00,0.00,61707.10,62915.04,16152.27,16828.02
CPTY_A,2018-11-05,2.748207,0.00,31468480.62,0.00,0.00,0.00,62915.04,14686.95,21009.00
CPTY_A,2019-02-05,3.000262,0.00,30535908.30,0.00,0.00,0.00,62915.04,13453.09,24529.56
CPTY_A,2019-05-07,3.249577,27724.90,30544204.39,0.00,0.00,29595.32,62915.04,14691.56,27474.58
CPTY_A,2019-08-05,3.496152,16498.08,29727461.87,0.00,0.00,17698.50,62915.04,14903.63,29974.12
CPTY_A,2019-11-05,3.748207,35811.84,29783413.12,0.00,0.00,38612.43,62915.04,16497.97,32189.29
CPTY_A,2020-02-05,4.000000,12335.41,28545680.05,0.00,0.00,13367.54,62915.04,16300.91,34123.42
CPTY_A,2020-05-05,4.245902,99986.90,28619301.34,0.00,0.00,108890.74,108890.74,21663.26,38453.57
CPTY_A,2020-08-05,4.497268,88319.79,28245113.18,0.00,0.00,96672.59,108890.74,25855.76,42390.52
CPTY_A,2020-11-05,4.748634,216151.47,28594979.17,0.00,0.00,237794.08,237794.08,37074.59,52734.09
CPTY_A,2021-02-05,5.000262,339621.37,27780815.77,3809093.98,0.00,375522.00,375522.00,54106.28,68977.74
CPTY_A,2021-05-05,5.244098,610520.41,27771549.11,6050260.76,0.00,678369.69,678369.69,83132.75,97312.74
CPTY_A,2021-08-05,5.496152,723957.16,27278462.43,3626180.93,0.00,808493.69,808493.69,116397.97,129927.66
CPTY_A,2021-11-05,5.748207,908446.51,27685310.12,4794520.36,0.00,1019672.37,1019672.37,156005.91,168942.33
CPTY_A,2022-02-07,6.005741,884980.22,27033184.45,2523520.96,0.00,998481.79,1019672.37,192132.40,205422.77
CPTY_A,2022-05-05,6.244098,1150346.85,26901631.60,4849313.51,0.00,1304107.77,1304107.77,234579.88,247362.92
CPTY_A,2022-08-05,6.496152,1080511.13,26338146.16,4663462.67,0.00,1231151.34,1304107.77,273247.48,288365.28
CPTY_A,2022-11-07,6.753687,1502923.06,26366885.11,10721912.21,0.00,1721330.40,1721330.40,328466.35,343007.67
CPTY_A,2023-02-06,7.003002,1562129.95,25792556.44,10768082.24,0.00,1798118.40,1798118.40,380787.68,394811.32
CPTY_A,2023-05-05,7.244098,1478971.75,25376877.35,11217594.62,0.00,1710657.16,1798118.40,425048.00,441515.77
CPTY_A,2023-08-07,7.501632,1416578.74,24624081.42,11268440.95,0.00,1646983.00,1798118.40,466997.55,488088.52
CPTY_A,2023-11-06,7.750947,1345081.75,24614168.61,4140582.12,0.00,1571703.83,1798118.40,502531.27,530226.62
CPTY_A,2024-02-05,8.000000,1469340.09,24217221.09,8562434.58,0.00,1725512.04,1798118.40,540604.66,569698.16
CPTY_A,2024-05-07,8.251366,1475124.82,24197418.05,11579547.98,0.00,1741092.51,1798118.40,577175.81,607120.24
CPTY_A,2024-08-05,8.497268,1396114.72,23778079.77,10561664.99,0.00,1656013.28,1798118.40,608396.19,641586.42
CPTY_A,2024-11-05,8.748634,1472984.50,24037325.12,9072327.24,0.00,1756055.69,1798118.40,641370.79,674815.95
CPTY_A,2025-02-05,9.000262,1638538.73,23529850.98,14590040.22,0.00,1963334.14,1963334.14,678330.06,710840.16
CPTY_A,2025-05-06,9.246837,2029170.60,23652710.74,14624489.89,0.00,2443463.56,2443463.56,725398.95,757042.15
CPTY_A,2025-08-05,9.496152,2170156.03,23068932.21,15260946.96,0.00,2626346.13,2626346.13,775307.04,806119.46
CPTY_A,2025-11-05,9.748207,2372347.71,23198811.06,19935797.36,0.00,2885605.29,2885605.29,829872.03,859887.74
CPTY_A,2026-02-05,10.000262,919526.69,503630.69,2747005.77,0.00,1124140.27,2885605.29,837289.00,910945.59
CPTY_A,2026-05-05,10.244098,794496.44,523750.19,2698037.98,0.00,976054.32,2885605.29,840591.97,957947.52
CPTY_A,2026-08-05,10.496152,798255.60,544147.59,2750128.65,0.00,985647.28,2885605.29,844075.33,1004238.33
CPTY_A,2026-11-05,10.748207,794290.23,500695.41,2651412.30,0.00,985726.19,2885605.29,847397.17,1048358.02
CPTY_A,2027-02-05,11.000262,810519.97,544481.34,2730478.24,0.00,1010970.10,2885605.29,851145.20,1090455.83
CPTY_A,2027-05-05,11.244098,848032.73,454315.87,2864486.78,0.00,1062950.57,2885605.29,855738.34,1129384.82
CPTY_A,2027-08-05,11.496152,848645.55,469089.64,2686549.30,0.00,1069114.74,2885605.29,860416.65,1167890.21
CPTY_A,2027-11-05,11.748207,732055.46,480536.68,2671733.02,0.00,926914.10,2885605.29,861843.33,1204743.35
CPTY_A,2028-02-07,12.005464,730816.89,505859.49,2700817.03,0.00,930142.25,2885605.29,863306.87,1240761.44
CPTY_A,2028-05-05,12.245902,806121.21,407776.38,2732997.23,0.00,1030963.00,2885605.29,866598.64,1273056.46
CPTY_A,2028-08-07,12.502732,773562.46,419475.34,2529113.91,0.00,994450.96,2885605.29,869224.98,1306181.37
CPTY_A,2028-11-06,12.751366,678772.61,451318.40,2541945.51,0.00,876972.32,2885605.29,869376.04,1336977.94
CPTY_A,2029-02-05,13.000262,667415.67,469863.95,2356066.58,0.00,866625.73,2885605.29,869323.39,1366627.11
CPTY_A,2029-05-08,13.252317,738610.43,398865.69,2580900.69,0.00,963935.76,2885605.29,871122.88,1395517.58
CPTY_A,2029-08-06,13.498892,719654.78,411313.56,2396904.79,0.00,943857.82,2885605.29,872451.48,1422736.03
CPTY_A,2029-11-05,13.748207,604697.42,427710.15,1983326.15,0.00,797065.61,2885605.29,871084.41,1449264.24
CPTY_A,2030-02-05,14.000262,582626.27,435733.31,2084587.09,0.00,771868.83,2885605.29,869298.17,1475123.52
CPTY_A,2030-05-07,14.249577,628005.74,357601.01,2115727.55,0.00,836162.43,2885605.29,868718.42,1499801.75
CPTY_A,2030-08-05,14.496152,620877.83,370592.13,2120150.40,0.00,830773.99,2885605.29,868073.00,1523373.86
CPTY_A,2030-11-05,14.748207,539762.70,395196.10,1924474.62,0.00,725900.49,2885605.29,865643.19,1546655.13
CPTY_A,2031-02-05,15.000262,519590.38,412130.41,1870285.52,0.00,702316.40,2885605.29,862898.75,1569153.99
CPTY_A,2031-05-06,15.246837,586717.73,331346.10,2012316.27,0.00,796985.90,2885605.29,861832.79,1590443.94
CPTY_A,2031-08-05,15.496152,544043.01,330975.95,1914099.84,0.00,742725.40,2885605.29,859916.49,1611281.58
CPTY_A,2031-11-05,15.748207,438921.83,339683.10,1656682.60,0.00,602254.04,2885605.29,855792.53,1631677.52
CPTY_A,2032-02-05,16.000000,407683.42,336203.48,1521143.17,0.00,562228.80,2885605.29,851172.70,1651410.64
CPTY_A,2032-05-05,16.245902,437463.10,246336.86,1514478.98,0.00,606291.09,2885605.29,847466.12,1670091.69
CPTY_A,2032-08-05,16.497268,421807.98,251611.79,1567833.88,0.00,587559.77,2885605.29,843505.97,1688612.27
CPTY_A,2032-11-05,16.748634,321858.13,260314.31,1295737.74,0.00,450608.36,2885605.29,837609.30,1706576.93
CPTY_A,2033-02-07,17.005741,287683.77,265632.95,1151083.37,0.00,404851.17,2885605.29,831066.49,1724402.50
CPTY_A,2033-05-05,17.244098,327361.01,185317.61,1086200.17,0.00,462897.74,2885605.29,825977.48,1740453.20
CPTY_A,2033-08-05,17.496152,300638.31,184929.39,1068022.53,0.00,427267.56,2885605.29,820233.55,1756950.61
CPTY_A,2033-11-07,17.753687,199760.30,195205.10,813345.77,0.00,285371.14,2885605.29,812474.86,1773322.83
CPTY_A,2034-02-06,18.003002,181916.66,203043.70,774096.52,0.00,261184.23,2885605.29,804840.29,1788726.30
CPTY_A,2034-05-05,18.244098,218459.89,124671.96,724061.39,0.00,315172.38,2885605.29,798369.33,1803221.56
CPTY_A,2034-08-07,18.501632,197399.09,132487.24,737261.45,0.00,286264.09,2885605.29,791241.06,1818287.85
CPTY_A,2034-11-06,18.750947,104568.39,143834.86,456271.20,0.00,152403.79,2885605.29,782746.99,1832479.04
CPTY_A,2035-02-05,19.000262,84703.37,151170.58,390537.00,0.00,124070.81,2885605.29,774104.06,1846297.81
CPTY_A,2035-05-08,19.252317,110957.37,62862.68,397726.98,0.00,163351.30,2885605.29,766107.98,1859904.61
CPTY_A,2035-08-06,19.498892,86431.43,68204.75,368582.17,0.00,127875.66,2885605.29,758037.14,1872875.22
CPTY_A,2035-11-05,19.748207,10994.76,95158.27,92053.93,0.00,16348.41,2885605.29,748673.55,1885660.63
CPTY_A,2036-02-05,20.000000,3123.40,114596.45,44131.58,0.00,4667.83,2885605.29,739306.79,1898249.57
CPTY_A,2036-05-06,20.248634,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,2885605.29,0.00,0.00
