#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
BermSwp,2016-02-05,0.000000,52289,0,0,0,52289,52289,52289
BermSwp,2016-05-06,0.248634,52560,0,0,0,68693,52826,52826
BermSwp,2016-08-05,0.497268,53352,0,0,0,79404,53891,53891
BermSwp,2016-11-07,0.754098,53825,0,0,0,90573,54651,54651
BermSwp,2017-02-06,1.003002,53579,0,0,0,91238,54672,54672
BermSwp,2017-05-05,1.244098,53270,0,0,0,97721,54622,54672
BermSwp,2017-08-07,1.501632,53801,0,0,0,108790,55453,55453
BermSwp,2017-11-06,1.750947,53592,0,0,0,97975,55514,55514
BermSwp,2018-02-05,2.000262,54572,0,0,0,112734,56811,56811
BermSwp,2018-05-08,2.252317,54131,0,0,0,118459,56638,56811
BermSwp,2018-08-06,2.498892,53408,0,0,0,115137,56158,56811
BermSwp,2018-11-05,2.748207,52722,0,0,0,118518,55716,56811
BermSwp,2019-02-05,3.000262,52757,0,0,0,110066,56035,56811
BermSwp,2019-05-07,3.249577,52763,0,0,0,116612,56323,56811
BermSwp,2019-08-05,3.496152,53177,0,0,0,135043,57046,57046
BermSwp,2019-11-05,3.748207,53552,0,0,0,153993,57740,57740
BermSwp,2020-02-05,4.000000,54047,0,0,0,144982,58569,58569
BermSwp,2020-05-05,4.245902,54342,0,0,0,151881,59182,59182
BermSwp,2020-08-05,4.497268,54883,0,0,0,164660,60073,60073
BermSwp,2020-11-05,4.748634,53422,0,0,0,152149,58771,60073
BermSwp,2021-02-05,5.000262,52669,0,0,0,145329,58236,60073
BermSwp,2021-05-05,5.244098,53539,0,0,0,148671,59488,60073
BermSwp,2021-08-05,5.496152,50065,0,0,0,128397,55911,60073
BermSwp,2021-11-05,5.748207,50502,0,0,0,133716,56685,60073
BermSwp,2022-02-07,6.005741,48771,0,0,0,158183,55026,60073
BermSwp,2022-05-05,6.244098,48515,0,0,0,170487,55000,60073
BermSwp,2022-08-05,6.496152,49029,0,0,0,156442,55865,60073
BermSwp,2022-11-07,6.753687,50831,0,0,0,175038,58218,60073
BermSwp,2023-02-06,7.003002,49693,0,0,0,176425,57200,60073
BermSwp,2023-05-05,7.244098,51399,0,0,0,184535,59451,60073
BermSwp,2023-08-07,7.501632,51986,0,0,0,204223,60442,60442
BermSwp,2023-11-06,7.750947,52882,0,0,0,203082,61792,61792
BermSwp,2024-02-05,8.000000,53428,0,0,0,178320,62743,62743
BermSwp,2024-05-07,8.251366,52749,0,0,0,174723,62259,62743
BermSwp,2024-08-05,8.497268,53267,0,0,0,201794,63184,63184
BermSwp,2024-11-05,8.748634,52648,0,0,0,198316,62766,63184
BermSwp,2025-02-05,9.000262,54563,0,0,0,215558,65379,65379
BermSwp,2025-05-06,9.246837,53820,0,0,0,186017,64808,65379
BermSwp,2025-08-05,9.496152,54417,0,0,0,191709,65856,65856
BermSwp,2025-11-05,9.748207,54612,0,0,0,213781,66427,66427
BermSwp,2026-02-05,10.000262,53967,0,0,0,211333,65976,66427
BermSwp,2026-05-05,10.244098,54501,0,0,0,198308,66955,66955
BermSwp,2026-08-05,10.496152,54821,0,0,0,181840,67690,67690
BermSwp,2026-11-05,10.748207,49743,0,0,0,188547,61731,67690
BermSwp,2027-02-05,11.000262,51251,0,0,0,194859,63925,67690
BermSwp,2027-05-05,11.244098,50203,0,0,0,188347,62926,67690
BermSwp,2027-08-05,11.496152,51904,0,0,0,186061,65389,67690
BermSwp,2027-11-05,11.748207,43345,143,0,0,172492,54882,67690
BermSwp,2028-02-07,12.005464,45313,288,0,0,178911,57672,67690
BermSwp,2028-05-05,12.245902,48162,8,0,0,179432,61595,67690
BermSwp,2028-08-07,12.502732,47031,0,0,0,170782,60461,67690
BermSwp,2028-11-06,12.751366,39873,112,0,0,150076,51516,67690
BermSwp,2029-02-05,13.000262,40673,326,0,0,168493,52813,67690
BermSwp,2029-05-08,13.252317,40904,433,0,0,151581,53382,67690
BermSwp,2029-08-06,13.498892,41316,925,0,0,157818,54188,67690
BermSwp,2029-11-05,13.748207,33907,1570,0,0,133612,44694,67690
BermSwp,2030-02-05,14.000262,33994,1338,0,0,119442,45036,67690
BermSwp,2030-05-07,14.249577,35367,1114,0,0,124686,47090,67690
BermSwp,2030-08-05,14.496152,36936,1044,0,0,122327,49423,67690
BermSwp,2030-11-05,14.748207,30872,1558,0,0,101683,41519,67690
BermSwp,2031-02-05,15.000262,31770,1489,0,0,96931,42943,67690
BermSwp,2031-05-06,15.246837,33902,1321,0,0,112180,46052,67690
BermSwp,2031-08-05,15.496152,32642,1171,0,0,119063,44562,67690
BermSwp,2031-11-05,15.748207,25102,1218,0,0,101930,34443,67690
BermSwp,2032-02-05,16.000000,24706,1284,0,0,99298,34072,67690
BermSwp,2032-05-05,16.245902,24592,610,0,0,93713,34082,67690
BermSwp,2032-08-05,16.497268,24631,447,0,0,92333,34310,67690
BermSwp,2032-11-05,16.748634,17682,670,0,0,71042,24756,67690
BermSwp,2033-02-07,17.005741,17525,670,0,0,74643,24663,67690
BermSwp,2033-05-05,17.244098,17821,292,0,0,69585,25200,67690
BermSwp,2033-08-05,17.496152,17884,353,0,0,68584,25417,67690
BermSwp,2033-11-07,17.753687,11536,711,0,0,47212,16480,67690
BermSwp,2034-02-06,18.003002,11778,882,0,0,48469,16910,67690
BermSwp,2034-05-05,18.244098,12049,401,0,0,46231,17383,67690
BermSwp,2034-08-07,18.501632,12331,492,0,0,47864,17883,67690
BermSwp,2034-11-06,18.750947,6019,909,0,0,25421,8773,67690
BermSwp,2035-02-05,19.000262,5943,977,0,0,25976,8705,67690
BermSwp,2035-05-08,19.252317,6118,210,0,0,20870,9007,67690
BermSwp,2035-08-06,19.498892,6140,228,0,0,20993,9085,67690
BermSwp,2035-11-05,19.748207,574,1674,0,0,3316,853,67690
BermSwp,2036-02-05,20.000000,574,1674,0,0,3316,857,67690
BermSwp,2036-05-06,20.248634,0,0,0,0,0,0,67690
BermSwp,2036-08-05,20.497268,0,0,0,0,0,0,67690
BermSwp,2036-11-05,20.748634,0,0,0,0,0,0,67690
BermSwp,2037-02-05,21.000262,0,0,0,0,0,0,67690
BermSwp,2037-05-05,21.244098,0,0,0,0,0,0,67690
BermSwp,2037-08-05,21.496152,0,0,0,0,0,0,67690
BermSwp,2037-11-05,21.748207,0,0,0,0,0,0,67690
BermSwp,2038-02-05,22.000262,0,0,0,0,0,0,67690
