#AssetType,SequenceNumber,ParametrizationType,BaseCurrency,Currency,ParameterName,ParameterValues,ParameterTime,ParameterValue
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,0.00000000,0.01217948
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,1.00547945,0.01194681
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,2.00273973,0.01188618
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,3.00273973,0.01109162
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,4.00273973,0.01110410
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,5.00547945,0.01167763
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,7.00821918,0.01255190
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,10.00821918,0.01397784
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,12.01369863,0.01564192
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,15.01095890,0.01817428
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Volatility,11,20.01369863,0.01771488
IR,0,Lgm1fPiecewiseConstant,EUR,EUR,Reversion,1,0.00000000,0.03000000
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,0.00000000,0.01371910
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,1.00547945,0.01338428
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,2.00273973,0.01267021
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,3.00273973,0.01250641
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,4.00273973,0.01293450
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,5.00547945,0.01315514
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,7.00821918,0.01220645
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,10.00821918,0.01345283
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,12.01369863,0.01258733
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,15.01095890,0.01536644
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Volatility,11,20.01369863,0.01643289
IR,1,Lgm1fPiecewiseConstant,EUR,USD,Reversion,1,0.00000000,0.03000000
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,0.00000000,0.01389322
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,1.00547945,0.01368262
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,2.00273973,0.01307336
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,3.00273973,0.01354573
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,4.00273973,0.01226689
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,5.00547945,0.01154592
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,7.00821918,0.01308164
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,10.00821918,0.01234108
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,12.01369863,0.01121669
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,15.01095890,0.01444445
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Volatility,11,20.01369863,0.01947097
IR,2,Lgm1fPiecewiseConstant,EUR,GBP,Reversion,1,0.00000000,0.03000000
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,0.00000000,0.01165657
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,1.00547945,0.01121365
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,2.00273973,0.01163445
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,3.00273973,0.01343287
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,4.00273973,0.01534174
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,5.00547945,0.01442562
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,7.00821918,0.01408415
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,10.00821918,0.01457628
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,12.01369863,0.01474967
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,15.01095890,0.01033988
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Volatility,11,20.01369863,0.01244770
IR,3,Lgm1fPiecewiseConstant,EUR,CHF,Reversion,1,0.00000000,0.03000000
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,0.00000000,0.01165657
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,1.00547945,0.01121365
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,2.00273973,0.01163445
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,3.00273973,0.01343287
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,4.00273973,0.01534174
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,5.00547945,0.01442562
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,7.00821918,0.01408415
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,10.00821918,0.01457628
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,12.01369863,0.01474967
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,15.01095890,0.01033988
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Volatility,11,20.01369863,0.01244770
IR,4,Lgm1fPiecewiseConstant,EUR,JPY,Reversion,1,0.00000000,0.03000000
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,0.00000000,0.12051205
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,1.00273973,0.11796807
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,2.00273973,0.12274189
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,3.00273973,0.13300259
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,4.00273973,0.12809543
FX,0,FxBsPiecewiseConstant,EUR,USD,Volatility,6,5.00547945,0.10708320
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,0.00000000,0.12949109
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,1.00273973,0.12664586
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,2.00273973,0.12786414
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,3.00273973,0.12350666
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,4.00273973,0.11800476
FX,1,FxBsPiecewiseConstant,EUR,GBP,Volatility,6,5.00547945,0.09506503
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,0.00000000,0.09239992
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,1.00273973,0.10147395
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,2.00273973,0.10934673
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,3.00273973,0.11179199
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,4.00273973,0.13178016
FX,2,FxBsPiecewiseConstant,EUR,CHF,Volatility,6,5.00547945,0.11213259
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,0.00000000,0.13733134
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,1.00273973,0.13702271
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,2.00273973,0.13320160
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,3.00273973,0.12860936
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,4.00273973,0.14062507
FX,3,FxBsPiecewiseConstant,EUR,JPY,Volatility,6,5.00547945,0.12844345
