#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
CC_SWAP_Maturing,Swap,2016-02-05,0.000000,-602293.328471,USD,-531902.895049,EUR,0.00,USD,0.00,CPTY_A,CPTY_A
CC_SWAP_RESET_Maturing,Swap,2016-02-05,0.000000,-4337188.978356,USD,-3830298.734702,EUR,0.00,USD,0.00,CPTY_A,CPTY_A
CDS_Maturing,CreditDefaultSwap,2016-02-05,0.000000,-25833.333333,USD,-22814.173990,EUR,10000000.00,USD,8831293.16,CPTY_B,CPTY_B
EQ_CALL_LUFT_Expiring,EquityOption,2016-02-05,0.000000,395.250000,EUR,395.250000,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_CALL_SP5_Expiring,EquityOption,2016-02-05,0.000000,0.000000,USD,0.000000,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EQ_FWD_LUFT_Maturing,EquityForward,2016-02-05,0.000000,395.250000,EUR,395.250000,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_FWD_SP5_Maturing,EquityForward,2016-02-05,0.000000,0.000000,USD,0.000000,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EQ_PUT_LUFT_Expiring,EquityOption,2016-02-05,0.000000,0.000000,EUR,0.000000,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_PUT_SP5_Expiring,EquityOption,2016-02-05,0.000000,0.000000,USD,0.000000,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EUROPEAN_SWAPTION_Expiring,Swaption,2016-02-05,0.000000,0.000000,EUR,0.000000,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
FLOOR_EUR_Maturing,CapFloor,2016-02-05,0.000000,4262.666667,EUR,4262.666667,EUR,0.00,EUR,0.00,CPTY_A,CPTY_A
FLOOR_USD_Maturing,CapFloor,2016-02-05,0.000000,1703.022222,USD,1503.988850,EUR,0.00,USD,0.00,CPTY_A,CPTY_A
FXFWD_Maturing,FxForward,2016-02-05,0.000000,32337.000000,USD,28557.752683,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FX_CALL_Expiring,FxOption,2016-02-05,0.000000,32337.000000,USD,28557.752683,EUR,1100000.00,USD,971442.25,CPTY_A,CPTY_A
FX_PUT_Expiring,FxOption,2016-02-05,0.000000,0.000000,USD,0.000000,EUR,1100000.00,USD,971442.25,CPTY_A,CPTY_A
Forward_Bond_Maturing,ForwardBond,2025-02-05,9.000262,8092673.480865,EUR,8092673.480865,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
SWAP_Maturing,Swap,2016-02-05,0.000000,90025.555556,EUR,90025.555556,EUR,0.00,EUR,0.00,CPTY_A,CPTY_A
