#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CCSwap,2016-02-05,0.000000,0,1066150,0,0,0,0,0,0.00,0.00
CCSwap,2016-03-07,0.084699,22,1250619,0,0,0,22,22,21.90,21.90
CCSwap,2016-04-05,0.163934,4038,1266140,0,0,0,4037,4037,1962.35,1962.35
CCSwap,2016-05-06,0.248634,45449,1274842,0,0,462076,45423,45423,16767.62,16767.62
CCSwap,2016-06-06,0.333333,68383,1322837,0,0,446507,68327,68327,29868.81,29868.81
CCSwap,2016-07-05,0.412568,77989,1322877,0,0,591768,77904,77904,39094.03,39094.03
CCSwap,2016-08-05,0.497268,88936,1358600,0,0,676820,88821,88821,47564.03,47564.03
CCSwap,2016-09-06,0.584699,92050,1383827,0,0,797240,91900,91900,54193.68,54193.68
CCSwap,2016-10-05,0.663934,139793,1401177,0,0,1017852,139529,139529,64377.68,64377.68
CCSwap,2016-11-07,0.754098,208276,1445403,0,0,1274396,207794,207794,81525.26,81525.26
CCSwap,2016-12-05,0.830601,222805,1450054,0,0,1385327,222225,222225,94484.44,94484.44
CCSwap,2017-01-05,0.915330,251228,1481637,0,0,1554855,250500,250500,108926.35,108926.35
CCSwap,2017-02-06,1.003002,285622,1523134,0,0,1513571,284716,284716,124291.93,124291.93
CCSwap,2017-03-06,1.079714,259310,1695391,0,0,1715917,258408,284716,133820.74,135689.86
CCSwap,2017-04-05,1.161906,177023,1641769,0,0,1201353,176347,284716,136829.00,146231.78
CCSwap,2017-05-05,1.244098,206437,1668290,0,0,1380693,205580,284716,141371.05,155380.80
CCSwap,2017-06-06,1.331769,234161,1688332,0,0,1496727,233116,284716,147410.70,163895.02
CCSwap,2017-07-05,1.411221,218928,1687995,0,0,1592212,217892,284716,151378.79,170697.27
CCSwap,2017-08-07,1.501632,199297,1744748,0,0,1518845,198292,284716,154203.37,177562.17
CCSwap,2017-09-05,1.581084,224322,1723835,0,0,1631372,223128,284716,157666.92,182946.82
CCSwap,2017-10-05,1.663276,259269,1757575,0,0,1396630,257812,284716,162615.68,187975.81
CCSwap,2017-11-06,1.750947,267868,1791168,0,0,1995839,266279,284716,167806.20,192819.67
CCSwap,2017-12-05,1.830399,280807,1845328,0,0,1981191,279048,284716,172634.88,196808.61
CCSwap,2018-01-05,1.915330,257632,1845014,0,0,1225901,255925,284716,176328.20,200706.69
CCSwap,2018-02-05,2.000262,236595,1868784,0,0,2007841,234941,284716,178816.92,204273.74
CCSwap,2018-03-05,2.076974,253952,2049990,0,0,1583041,252122,284716,181524.42,207244.85
CCSwap,2018-04-05,2.161906,252942,2026561,0,0,2837676,251069,284716,184256.49,210288.34
CCSwap,2018-05-08,2.252317,293630,2074581,0,0,2375712,291392,291392,188557.06,213543.95
CCSwap,2018-06-05,2.329029,319662,2057263,0,0,1986068,317169,317169,192793.19,216957.08
CCSwap,2018-07-05,2.411221,349296,2055593,0,0,2418000,346503,346503,198032.74,221372.95
CCSwap,2018-08-06,2.498892,367402,2054207,0,0,2588285,364388,364388,203869.15,226390.49
CCSwap,2018-09-05,2.581084,394843,2061707,0,0,2817196,391528,391528,209844.94,231649.11
CCSwap,2018-10-05,2.663276,431299,2080497,0,0,3487912,427594,427594,216564.93,237696.20
CCSwap,2018-11-05,2.748207,457962,2129077,0,0,4075578,453935,453935,223900.71,244378.93
CCSwap,2018-12-05,2.830399,437707,2095447,0,0,3990940,433774,453935,229995.22,250464.23
CCSwap,2019-01-07,2.920810,413294,2077637,0,0,3860040,409493,453935,235551.39,256762.49
CCSwap,2019-02-05,3.000262,450228,2151136,0,0,3286176,446002,453935,241124.48,261983.97
CCSwap,2019-03-05,3.076974,398939,2258903,0,0,2967162,395162,453935,244964.81,266769.53
CCSwap,2019-04-05,3.161906,424437,2296321,0,0,2938575,420395,453935,249677.02,271796.97
CCSwap,2019-05-07,3.249577,481774,2357011,0,0,3704352,477160,477160,255814.33,277337.50
CCSwap,2019-06-05,3.329029,557161,2402916,0,0,4326890,551797,551797,262878.37,283887.86
CCSwap,2019-07-05,3.411221,495576,2388026,0,0,3809547,490778,551797,268369.52,290343.00
CCSwap,2019-08-05,3.496152,607820,2419055,0,0,5163061,601903,601903,276472.00,297911.68
CCSwap,2019-09-05,3.581084,635155,2438508,0,0,4935718,628937,628937,284831.30,305762.50
CCSwap,2019-10-07,3.668755,610678,2414533,0,0,3633900,604665,628937,292474.29,313485.31
CCSwap,2019-11-05,3.748207,634993,2421129,0,0,3876093,628709,628937,299601.58,320172.05
CCSwap,2019-12-05,3.830399,604036,2422905,0,0,3481426,598027,628937,306005.11,326797.45
CCSwap,2020-01-06,3.918033,674272,2468164,0,0,3965203,667526,667526,314091.18,334418.46
CCSwap,2020-02-05,4.000000,673207,2480761,0,0,4561062,666437,667526,321311.39,341244.44
CCSwap,2020-03-05,4.079235,644982,2615053,0,0,3998088,638538,667526,327473.20,347582.14
CCSwap,2020-04-06,4.166667,681859,2629766,0,0,3912428,675119,675119,334768.05,354455.04
CCSwap,2020-05-05,4.245902,701645,2663239,0,0,3355142,694777,694777,341486.36,360805.96
CCSwap,2020-06-05,4.330601,718324,2645881,0,0,3966764,711366,711366,348720.61,367662.35
CCSwap,2020-07-06,4.415301,782416,2731759,0,0,4554232,774918,774918,356896.43,375474.81
CCSwap,2020-08-05,4.497268,814768,2746401,0,0,4828252,807041,807041,365100.78,383340.54
CCSwap,2020-09-08,4.590164,857702,2754861,0,0,5184234,849665,849665,374907.44,392778.06
CCSwap,2020-10-05,4.663934,852527,2758552,0,0,6325804,844616,849665,382336.92,400004.75
CCSwap,2020-11-05,4.748634,862761,2763973,0,0,6555734,854844,854844,390764.83,408117.52
CCSwap,2020-12-07,4.836066,862892,2761257,0,0,6776084,855065,855065,399158.96,416197.93
CCSwap,2021-01-05,4.915330,841091,2768020,0,0,5975929,833543,855065,406163.85,423275.13
CCSwap,2021-02-05,5.000262,902424,2807496,0,0,5851690,894418,894418,414457.06,431277.69
CCSwap,2021-03-05,5.076974,863293,2913660,0,0,5332401,855910,894418,421127.34,438275.67
CCSwap,2021-04-06,5.164646,931126,2927638,0,0,4886189,923554,923554,429656.16,446513.40
CCSwap,2021-05-05,5.244098,909719,2929650,0,0,5018816,902668,923554,436822.65,453740.93
CCSwap,2021-06-07,5.334509,855521,2893715,0,0,4177836,849261,923554,443812.78,461703.47
CCSwap,2021-07-06,5.413961,845696,2892047,0,0,3526808,839832,923554,449624.52,468481.31
CCSwap,2021-08-05,5.496152,759479,2880064,0,0,2924829,754512,923554,454183.94,475286.66
CCSwap,2021-09-07,5.586563,772429,2858539,0,0,3572400,767713,923554,459257.98,482541.26
CCSwap,2021-10-05,5.663276,760270,2847516,0,0,3046425,755909,923554,463276.29,488515.03
CCSwap,2021-11-05,5.748207,771016,2841287,0,0,2706612,766908,923554,467762.53,494942.86
CCSwap,2021-12-06,5.833139,811954,2857894,0,0,2727571,807960,923554,472715.86,501183.51
CCSwap,2022-01-05,5.915330,754535,2854805,0,0,2573549,751122,923554,476584.23,507052.23
CCSwap,2022-02-07,6.005741,788510,2868287,0,0,3051115,785287,923554,481231.47,513322.28
CCSwap,2022-03-07,6.082454,754619,2970179,0,0,3337797,751960,923554,484645.91,518496.15
CCSwap,2022-04-05,6.161906,803093,2997009,0,0,3983407,800751,923554,488721.80,523719.00
CCSwap,2022-05-05,6.244098,794576,3005365,0,0,3545199,792760,923554,492723.89,528982.07
CCSwap,2022-06-07,6.334509,790274,2963917,0,0,3675217,789016,923554,496952.80,534613.70
CCSwap,2022-07-05,6.411221,825173,2984049,0,0,4347196,824346,923554,500870.16,539267.50
CCSwap,2022-08-05,6.496152,851666,2989290,0,0,4085282,851368,923554,505452.60,544291.71
CCSwap,2022-09-06,6.583824,904084,2929453,0,0,5166834,904376,923554,510764.73,549342.02
CCSwap,2022-10-05,6.663276,887114,2959742,0,0,5670857,887943,923554,515262.17,553804.08
CCSwap,2022-11-07,6.753687,880055,2975617,0,0,6011023,881490,923554,520164.82,558753.89
CCSwap,2022-12-05,6.830399,853214,2920930,0,0,6367930,855109,923554,523926.58,562850.96
CCSwap,2023-01-05,6.915330,848881,2926760,0,0,6055811,851322,923554,527947.53,567280.98
CCSwap,2023-02-06,7.003002,772829,2895233,0,0,6368533,775574,923554,531047.59,571741.20
CCSwap,2023-03-06,7.079714,774872,3007773,0,0,5944009,778205,923554,533725.66,575553.27
CCSwap,2023-04-05,7.161906,789370,2990349,0,0,5943669,793420,923554,536705.98,579547.01
CCSwap,2023-05-05,7.244098,820484,2986769,0,0,6655450,825377,923554,539981.25,583450.12
CCSwap,2023-06-05,7.329029,816407,2981385,0,0,5171160,821977,923554,543249.12,587391.37
CCSwap,2023-07-05,7.411221,810599,2974645,0,0,5504252,816805,923554,546282.91,591119.48
CCSwap,2023-08-07,7.501632,801173,2962599,0,0,5731387,808041,923554,549437.67,595126.04
CCSwap,2023-09-05,7.581084,830947,2913359,0,0,4526659,838741,923554,552469.65,598568.06
CCSwap,2023-10-05,7.663276,864234,2924887,0,0,3957205,873062,923554,555908.14,602053.67
CCSwap,2023-11-06,7.750947,881326,2955707,0,0,4498777,891114,923554,559699.66,605690.17
CCSwap,2023-12-05,7.830399,864381,2937693,0,0,4875792,874680,923554,562895.65,608915.41
CCSwap,2024-01-05,7.915301,835336,2951073,0,0,5238053,846012,923554,565932.43,612290.30
CCSwap,2024-02-05,8.000000,811244,2941131,0,0,5702866,822314,923554,568646.84,615585.79
CCSwap,2024-03-05,8.079235,777208,3024159,0,0,4579235,788541,923554,570803.40,618606.10
CCSwap,2024-04-05,8.163934,797869,3021163,0,0,3610256,810337,923554,573288.52,621769.89
CCSwap,2024-05-07,8.251366,827997,3004860,0,0,4473128,841830,923554,576133.99,624967.60
CCSwap,2024-06-05,8.330601,875474,2981595,0,0,4500550,890956,923554,579128.37,627807.55
CCSwap,2024-07-05,8.412568,935394,3033833,0,0,4115873,952885,952885,582770.03,630974.91
CCSwap,2024-08-05,8.497268,963429,3055942,0,0,5384330,982455,982455,586754.03,634478.41
CCSwap,2024-09-05,8.581967,979829,3035310,0,0,5050407,1000207,1000207,590834.59,638087.95
CCSwap,2024-10-07,8.669399,915541,3048589,0,0,4315700,935575,1000207,594311.32,641739.96
CCSwap,2024-11-05,8.748634,935860,3055081,0,0,5000348,957260,1000207,597598.49,644986.54
CCSwap,2024-12-05,8.830601,970960,3047908,0,0,5320045,994152,1000207,601279.36,648283.76
CCSwap,2025-01-06,8.918070,985020,3045278,0,0,5157819,1009619,1009619,605284.39,651827.76
CCSwap,2025-02-05,9.000262,1036415,3023801,0,0,5828940,1063356,1063356,609467.56,655585.89
CCSwap,2025-03-05,9.076974,1009256,3104445,0,0,7390151,1036588,1063356,613077.29,659032.08
CCSwap,2025-04-07,9.167385,999319,3111523,0,0,8181144,1027707,1063356,617166.47,663019.61
CCSwap,2025-05-06,9.246837,997925,3142990,0,0,8981676,1027437,1063356,620691.65,666459.44
CCSwap,2025-06-05,9.329029,995470,3096417,0,0,8002907,1026112,1063356,624263.54,669956.22
CCSwap,2025-07-07,9.416700,968419,3092563,0,0,8268119,999478,1063356,627756.85,673618.84
CCSwap,2025-08-05,9.496152,973762,3113835,0,0,8426356,1006132,1063356,630922.63,676879.68
CCSwap,2025-09-05,9.581084,919725,3080854,0,0,8476625,951450,1063356,633763.94,680305.59
CCSwap,2025-10-06,9.666015,918831,3051011,0,0,8469764,951677,1063356,636557.32,683671.30
CCSwap,2025-11-05,9.748207,936030,3051339,0,0,8179019,970629,1063356,639374.04,686872.60
CCSwap,2025-12-05,9.830399,901418,3003307,0,0,7311004,935834,1063356,641852.74,690020.37
CCSwap,2026-01-05,9.915330,976756,3024979,0,0,7604368,1015278,1063356,645051.38,693218.24
CCSwap,2026-02-05,10.000262,962340,2997319,0,0,6846382,1001506,1063356,648078.72,696361.78
CCSwap,2026-03-05,10.076974,971240,3077341,0,0,6222886,1011882,1063356,650848.22,699155.57
CCSwap,2026-04-07,10.167385,983713,3055812,0,0,7569482,1026210,1063356,654186.03,702394.13
CCSwap,2026-05-05,10.244098,971030,3037897,0,0,7103865,1014095,1063356,656881.19,705097.17
CCSwap,2026-06-05,10.329029,954881,2958653,0,0,8459667,998448,1063356,659689.77,708042.99
CCSwap,2026-07-06,10.413961,949685,2961236,0,0,8485431,994229,1063356,662418.11,710940.75
CCSwap,2026-08-05,10.496152,949403,2926228,0,0,7483164,995108,1063356,665023.29,713700.39
CCSwap,2026-09-08,10.589303,907433,2885401,0,0,6198085,952391,1063356,667551.17,716776.20
CCSwap,2026-10-05,10.663276,903170,2828992,0,0,6489425,948925,1063356,669503.10,719180.46
CCSwap,2026-11-05,10.748207,923688,2797695,0,0,6066877,971668,1063356,671890.78,721900.11
CCSwap,2026-12-07,10.835878,924186,2763328,0,0,5521293,973417,1063356,674330.38,724662.77
CCSwap,2027-01-05,10.915330,860345,2746677,0,0,5102000,907211,1063356,676025.51,727128.09
CCSwap,2027-02-05,11.000262,875924,2764921,0,0,5163919,924766,1063356,677946.00,729724.06
CCSwap,2027-03-05,11.076974,816920,2819293,0,0,5092494,863424,1063356,679230.51,732034.58
CCSwap,2027-04-05,11.161906,853370,2843011,0,0,5211514,903050,1063356,680933.56,734555.62
CCSwap,2027-05-05,11.244098,790504,2837567,0,0,5214337,837513,1063356,682078.12,736959.07
CCSwap,2027-06-07,11.334509,794699,2801366,0,0,4881722,843052,1063356,683362.15,739562.61
CCSwap,2027-07-06,11.413961,762822,2802547,0,0,4874621,810160,1063356,684244.79,741816.52
CCSwap,2027-08-05,11.496152,771158,2828095,0,0,5074072,819982,1063356,685215.24,744115.36
CCSwap,2027-09-07,11.586563,808389,2788927,0,0,5181785,860687,1063356,686584.46,746606.42
CCSwap,2027-10-05,11.663276,824512,2806175,0,0,4659353,878822,1063356,687848.85,748689.76
CCSwap,2027-11-05,11.748207,906593,2814602,0,0,4749826,967489,1063356,689870.45,750964.58
CCSwap,2027-12-06,11.833139,972779,2818438,0,0,5709400,1039388,1063356,692379.09,753206.74
CCSwap,2028-01-05,11.915301,979637,2816461,0,0,6214859,1047953,1063356,694830.95,755345.37
CCSwap,2028-02-07,12.005464,996955,2801263,0,0,6219801,1067865,1067865,697632.52,757692.47
CCSwap,2028-03-06,12.081967,938217,2829320,0,0,6306996,1006131,1067865,699585.93,759656.48
CCSwap,2028-04-05,12.163934,926220,2832811,0,0,6390023,994526,1067865,701573.40,761733.36
CCSwap,2028-05-05,12.245902,908232,2845245,0,0,6301933,976449,1067865,703413.26,763782.43
CCSwap,2028-06-06,12.333333,919938,2805924,0,0,6426515,990373,1067865,705447.53,765938.09
CCSwap,2028-07-05,12.412568,982346,2799835,0,0,7919479,1058856,1067865,707703.50,767865.43
CCSwap,2028-08-07,12.502732,1028200,2790157,0,0,8673557,1109829,1109829,710603.44,770331.51
CCSwap,2028-09-05,12.581967,941187,2724327,0,0,8559354,1017154,1109829,712533.94,772469.49
CCSwap,2028-10-05,12.663934,991976,2713418,0,0,7724394,1073403,1109829,714869.66,774653.05
CCSwap,2028-11-06,12.751366,985853,2723979,0,0,6876511,1068221,1109829,717292.47,776951.23
CCSwap,2028-12-05,12.830601,1054585,2683067,0,0,7304310,1144098,1144098,719928.19,779218.54
