#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CommodityOption,2016-02-05,0.000000,2074778,0,0,0,2074778,2074778,2074778,2074778.25,2074778.25
CommodityOption,2016-05-06,0.248634,2066211,0,0,0,3016477,2065025,2074778,2065025.50,2074778.25
CommodityOption,2016-08-05,0.497268,2054502,0,0,0,3426335,2051841,2074778,2058433.11,2074778.25
CommodityOption,2016-11-07,0.754098,2107912,0,0,0,4066764,2103034,2103034,2073623.39,2084401.71
CommodityOption,2017-02-06,1.003002,2104138,0,0,0,4382148,2097461,2103034,2079538.81,2089025.55
CommodityOption,2017-05-05,1.244098,2086568,0,0,0,5007400,2077899,2103034,2079221.12,2091740.34
CommodityOption,2017-08-07,1.501632,2090177,0,0,0,5366353,2079636,2103034,2079292.34,2093677.30
CommodityOption,2017-11-06,1.750947,2082218,0,0,0,5460244,2069868,2103034,2077950.45,2095009.64
CommodityOption,2018-02-05,2.000262,2220803,0,0,0,7192093,2205284,2205284,2093821.43,2108754.35
CommodityOption,2018-05-08,2.252317,2162746,0,0,0,7396100,2146265,2205284,2099690.30,2119556.87
CommodityOption,2018-08-06,2.498892,2118981,0,0,0,9865212,2101599,2205284,2099878.62,2128015.88
CommodityOption,2018-11-05,2.748207,2218801,0,0,0,8917155,2199294,2205284,2108897.53,2135025.57
CommodityOption,2019-02-05,3.000262,2369669,0,0,0,10307571,2347426,2347426,2128936.54,2152869.54
CommodityOption,2019-05-07,3.249577,2231621,0,0,0,8504936,2210246,2347426,2135174.77,2167796.38
CommodityOption,2019-08-05,3.496152,2199769,0,0,0,8494448,2178354,2347426,2138220.07,2180465.24
CommodityOption,2019-11-05,3.748207,2342801,0,0,0,11485641,2319616,2347426,2150418.36,2191692.83
CommodityOption,2020-02-05,4.000000,2529248,0,0,0,14448992,2503812,2503812,2172663.84,2211340.15
CommodityOption,2020-05-05,4.245902,2354122,0,0,0,14920309,2331079,2503812,2181838.47,2228278.66
CommodityOption,2020-08-05,4.497268,2226751,0,0,0,14524082,2205635,2503812,2183168.52,2243679.05
CommodityOption,2020-11-05,4.748634,2189078,0,0,0,12909422,2168988,2503812,2182417.88,2257449.01
CommodityOption,2021-02-05,5.000262,2023329,0,0,0,12134655,2005379,2503812,2173508.75,2269846.72
CommodityOption,2021-05-05,5.244098,1971746,0,0,0,9861739,1956464,2503812,2163416.77,2280725.43
CommodityOption,2021-08-05,5.496152,1887655,0,0,0,9790555,1875310,2503812,2150204.11,2290956.22
CommodityOption,2021-11-05,5.748207,1785066,0,0,0,10162048,1775555,2503812,2133776.00,2300289.78
CommodityOption,2022-02-07,6.005741,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2022-05-05,6.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2022-08-05,6.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2022-11-07,6.753687,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2023-02-06,7.003002,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2023-05-05,7.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2023-08-07,7.501632,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2023-11-06,7.750947,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2024-02-05,8.000000,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2024-05-07,8.251366,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2024-08-05,8.497268,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2024-11-05,8.748634,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2025-02-05,9.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2025-05-06,9.246837,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2025-08-05,9.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2025-11-05,9.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2026-02-05,10.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2026-05-05,10.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2026-08-05,10.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2026-11-05,10.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2027-02-05,11.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2027-05-05,11.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2027-08-05,11.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2027-11-05,11.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2028-02-07,12.005464,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2028-05-05,12.245902,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2028-08-07,12.502732,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2028-11-06,12.751366,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2029-02-05,13.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2029-05-08,13.252317,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2029-08-06,13.498892,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2029-11-05,13.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2030-02-05,14.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2030-05-07,14.249577,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2030-08-05,14.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2030-11-05,14.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2031-02-05,15.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2031-05-06,15.246837,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2031-08-05,15.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2031-11-05,15.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2032-02-05,16.000000,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2032-05-05,16.245902,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2032-08-05,16.497268,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2032-11-05,16.748634,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2033-02-07,17.005741,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2033-05-05,17.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2033-08-05,17.496152,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2033-11-07,17.753687,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2034-02-06,18.003002,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2034-05-05,18.244098,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2034-08-07,18.501632,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2034-11-06,18.750947,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2035-02-05,19.000262,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2035-05-08,19.252317,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2035-08-06,19.498892,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2035-11-05,19.748207,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2036-02-05,20.000000,0,0,0,0,0,0,2503812,0.00,0.00
CommodityOption,2036-05-06,20.248634,0,0,0,0,0,0,2503812,0.00,0.00
