#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_20,2016-02-05,0.000000,270435,0,0,0,270435,270435,270435,270434.97,270434.97
Swap_20,2016-03-07,0.084699,336961,48975,0,0,964484,336912,336912,336911.66,336911.66
Swap_20,2016-04-05,0.163934,392761,84717,0,0,1203763,392630,392630,363842.12,363842.12
Swap_20,2016-05-06,0.248634,422611,115155,0,0,1218321,422369,422369,383779.68,383779.68
Swap_20,2016-06-06,0.333333,523925,210346,0,0,1563748,523498,523498,419281.82,419281.82
Swap_20,2016-07-05,0.412568,607709,291770,0,0,1829811,607042,607042,455341.79,455341.79
Swap_20,2016-08-05,0.497268,639209,316755,0,0,2038055,638381,638381,486518.87,486518.87
Swap_20,2016-09-06,0.584699,635870,278169,0,0,2175263,634831,638381,508696.37,509227.28
Swap_20,2016-10-05,0.663934,642609,284605,0,0,2212629,641393,641393,524532.56,525000.11
Swap_20,2016-11-07,0.754098,667967,297258,0,0,2244758,666421,666421,541497.52,541909.17
Swap_20,2016-12-05,0.830601,670467,295601,0,0,2110667,668723,668723,553215.64,553589.37
Swap_20,2017-01-05,0.915330,717168,361443,0,0,2329722,715090,715090,568199.84,568538.97
Swap_20,2017-02-06,1.003002,748726,392576,0,0,2383789,746350,746350,583771.72,584081.21
Swap_20,2017-03-06,1.079714,813157,341516,0,0,2461925,810329,810329,599868.36,600155.86
Swap_20,2017-04-05,1.161906,873997,382268,0,0,2468573,870662,870662,619023.97,619291.14
Swap_20,2017-05-05,1.244098,874573,401824,0,0,2769211,870940,870940,635666.91,635916.43
Swap_20,2017-06-06,1.331769,905366,421204,0,0,2797663,901325,901325,653155.35,653388.44
Swap_20,2017-07-05,1.411221,922924,458673,0,0,2701770,918554,918554,668097.37,668317.33
Swap_20,2017-08-07,1.501632,953371,497547,0,0,2678325,948563,948563,684983.79,685190.51
Swap_20,2017-09-05,1.581084,956176,512230,0,0,2637370,951085,951085,698355.79,698552.13
Swap_20,2017-10-05,1.663276,984777,520384,0,0,2681769,979244,979244,712236.06,712422.70
Swap_20,2017-11-06,1.750947,981230,503135,0,0,3039821,975411,979244,725413.42,725782.65
Swap_20,2017-12-05,1.830399,1021543,539883,0,0,3173234,1015145,1015145,737989.81,738343.00
Swap_20,2018-01-05,1.915330,1007533,527154,0,0,3106976,1000858,1015145,749646.17,750617.25
Swap_20,2018-02-05,2.000262,1034135,546495,0,0,2991553,1026908,1026908,761418.77,762348.62
Swap_20,2018-03-05,2.076974,1070894,451594,0,0,2964618,1063178,1063178,772564.13,773459.63
Swap_20,2018-04-05,2.161906,1090531,475616,0,0,2957330,1082454,1082454,784738.30,785598.62
Swap_20,2018-05-08,2.252317,1083274,430342,0,0,2979737,1075019,1082454,796390.54,797514.78
Swap_20,2018-06-05,2.329029,1048179,406493,0,0,2920860,1040002,1082454,804414.47,806899.96
Swap_20,2018-07-05,2.411221,1065018,444721,0,0,3070313,1056502,1082454,813007.44,816292.82
Swap_20,2018-08-06,2.498892,1045519,410225,0,0,2934737,1036943,1082454,820864.00,825630.83
Swap_20,2018-09-05,2.581084,1048709,425367,0,0,2864036,1039903,1082454,827839.05,833809.07
Swap_20,2018-10-05,2.663276,1064461,444506,0,0,2803558,1055316,1082454,834859.26,841482.54
Swap_20,2018-11-05,2.748207,1088577,491224,0,0,2795791,1079007,1082454,842404.48,848929.60
Swap_20,2018-12-05,2.830399,1109734,529045,0,0,2918633,1099763,1099763,849877.89,856213.53
Swap_20,2019-01-07,2.920810,1127273,579567,0,0,2925636,1116904,1116904,858143.43,864282.95
Swap_20,2019-02-05,3.000262,1184192,648931,0,0,3028173,1173076,1173076,866483.39,872460.33
Swap_20,2019-03-05,3.076974,1223369,637429,0,0,3155002,1211786,1211786,875092.16,880920.09
Swap_20,2019-04-05,3.161906,1199243,576241,0,0,3234848,1187823,1211786,883492.38,889807.43
Swap_20,2019-05-07,3.249577,1206733,577680,0,0,3221864,1195174,1211786,891901.34,898494.17
Swap_20,2019-06-05,3.329029,1207583,607120,0,0,3168372,1195956,1211786,899158.03,905971.33
Swap_20,2019-07-05,3.411221,1186716,569969,0,0,3294520,1175227,1211786,905809.78,913339.79
Swap_20,2019-08-05,3.496152,1189983,583436,0,0,3385873,1178398,1211786,912431.73,920589.89
