#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
averageOIS1,2016-02-05,0.000000,4134433,0,0,0,4134433,4134433,4134433,4134432.75,4134432.75
averageOIS1,2016-05-06,0.248634,4277301,3418,0,0,8033794,4274846,4274846,4274845.81,4274845.81
averageOIS1,2016-08-05,0.497268,4258179,140254,0,0,9072997,4252664,4274846,4263754.87,4274845.81
averageOIS1,2016-11-07,0.754098,4247397,276538,0,0,8801003,4237569,4274846,4254836.39,4274845.81
averageOIS1,2017-02-06,1.003002,4076659,323162,0,0,8295799,4063722,4274846,4207409.69,4274845.81
averageOIS1,2017-05-05,1.244098,3982797,335799,0,0,8471901,3966251,4274846,4160675.17,4274845.81
averageOIS1,2017-08-07,1.501632,4003952,591092,0,0,8558121,3983762,4274846,4130333.97,4274845.81
averageOIS1,2017-11-06,1.750947,3825420,467863,0,0,7767097,3802732,4274846,4083687.19,4274845.81
averageOIS1,2018-02-05,2.000262,3574420,449245,0,0,7768916,3549442,4274846,4017098.19,4274845.81
averageOIS1,2018-05-08,2.252317,3548397,418947,0,0,7871011,3521357,4274846,3961620.21,4274845.81
averageOIS1,2018-08-06,2.498892,3298205,392357,0,0,7923672,3271151,4274846,3893488.91,4274845.81
averageOIS1,2018-11-05,2.748207,2985088,317335,0,0,7472948,2958844,4274846,3808698.73,4274845.81
averageOIS1,2019-02-05,3.000262,2888792,351796,0,0,7349400,2861677,4274846,3729138.59,4274845.81
averageOIS1,2019-05-07,3.249577,2683459,381156,0,0,7694323,2657756,4274846,3646939.64,4274845.81
averageOIS1,2019-08-05,3.496152,2396883,319801,0,0,6655517,2373549,4274846,3557130.41,4274845.81
averageOIS1,2019-11-05,3.748207,2200166,320201,0,0,6015036,2178393,4274846,3464414.75,4274845.81
averageOIS1,2020-02-05,4.000000,1880069,319461,0,0,4641134,1861162,4274846,3363492.85,4274845.81
averageOIS1,2020-05-05,4.245902,1549505,253053,0,0,4102923,1534338,4274846,3257557.26,4274845.81
averageOIS1,2020-08-05,4.497268,1162402,212760,0,0,3388741,1151379,4274846,3139836.49,4274845.81
