#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
fra1,2016-02-05,0.000000,0,1353113,0,0,0,0,0,0.00,0.00
fra1,2016-05-06,0.248634,2690602,5170312,0,0,11803260,2689058,2689058,2689058.18,2689058.18
fra1,2016-08-05,0.497268,3356336,6177004,0,0,15990805,3351990,3351990,3020523.92,3020523.92
fra1,2016-11-07,0.754098,0,0,0,0,0,0,3351990,1991794.76,3133414.43
fra1,2017-02-06,1.003002,0,0,0,0,0,0,3351990,1497514.04,3187655.72
fra1,2017-05-05,1.244098,0,0,0,0,0,0,3351990,1207308.13,3219502.29
fra1,2017-08-07,1.501632,0,0,0,0,0,0,3351990,1000251.26,3242224.26
fra1,2017-11-06,1.750947,0,0,0,0,0,0,3351990,857826.78,3257853.61
fra1,2018-02-05,2.000262,0,0,0,0,0,0,3351990,750906.21,3269586.84
fra1,2018-05-08,2.252317,0,0,0,0,0,0,3351990,666872.96,3278808.47
fra1,2018-08-06,2.498892,0,0,0,0,0,0,3351990,601070.03,3286029.54
fra1,2018-11-05,2.748207,0,0,0,0,0,0,3351990,546541.46,3292013.39
fra1,2019-02-05,3.000262,0,0,0,0,0,0,3351990,500626.00,3297052.05
fra1,2019-05-07,3.249577,0,0,0,0,0,0,3351990,462216.82,3301266.99
fra1,2019-08-05,3.496152,0,0,0,0,0,0,3351990,429617.76,3304844.34
fra1,2019-11-05,3.748207,0,0,0,0,0,0,3351990,400727.36,3308014.71
fra1,2020-02-05,4.000000,0,0,0,0,0,0,3351990,375502.29,3310782.86
fra1,2020-05-05,4.245902,0,0,0,0,0,0,3351990,353755.05,3313169.35
fra1,2020-08-05,4.497268,0,0,0,0,0,0,3351990,333982.60,3315339.14
fra1,2020-11-05,4.748634,0,0,0,0,0,0,3351990,316303.43,3317279.21
fra1,2021-02-05,5.000262,0,0,0,0,0,0,3351990,300386.09,3319025.94
fra1,2021-05-05,5.244098,0,0,0,0,0,0,3351990,286418.99,3320558.66
fra1,2021-08-05,5.496152,0,0,0,0,0,0,3351990,273283.75,3322000.10
fra1,2021-11-05,5.748207,0,0,0,0,0,0,3351990,261300.46,3323315.12
fra1,2022-02-07,6.005741,0,0,0,0,0,0,3351990,250095.54,3324544.72
fra1,2022-05-05,6.244098,0,0,0,0,0,0,3351990,240548.64,3325592.38
fra1,2022-08-05,6.496152,0,0,0,0,0,0,3351990,231215.20,3326616.61
fra1,2022-11-07,6.753687,0,0,0,0,0,0,3351990,222398.41,3327584.14
fra1,2023-02-06,7.003002,0,0,0,0,0,0,3351990,214480.76,3328453.01
fra1,2023-05-05,7.244098,0,0,0,0,0,0,3351990,207342.48,3329236.35
fra1,2023-08-07,7.501632,0,0,0,0,0,0,3351990,200224.32,3330017.48
fra1,2023-11-06,7.750947,0,0,0,0,0,0,3351990,193783.96,3330724.23
fra1,2024-02-05,8.000000,0,0,0,0,0,0,3351990,187751.15,3331386.26
fra1,2024-05-07,8.251366,0,0,0,0,0,0,3351990,182031.57,3332013.91
fra1,2024-08-05,8.497268,0,0,0,0,0,0,3351990,176763.78,3332591.99
fra1,2024-11-05,8.748634,0,0,0,0,0,0,3351990,171684.99,3333149.32
fra1,2025-02-05,9.000262,0,0,0,0,0,0,3351990,166885.05,3333676.06
fra1,2025-05-06,9.246837,0,0,0,0,0,0,3351990,162434.91,3334164.41
fra1,2025-08-05,9.496152,0,0,0,0,0,0,3351990,158170.29,3334632.40
fra1,2025-11-05,9.748207,0,0,0,0,0,0,3351990,154080.55,3335081.20
fra1,2026-02-05,10.000262,0,0,0,0,0,0,3351990,150196.98,3335507.37
fra1,2026-05-05,10.244098,0,0,0,0,0,0,3351990,146621.91,3335899.69
fra1,2026-08-05,10.496152,0,0,0,0,0,0,3351990,143100.93,3336286.08
fra1,2026-11-05,10.748207,0,0,0,0,0,0,3351990,139745.09,3336654.34
fra1,2027-02-05,11.000262,0,0,0,0,0,0,3351990,136543.04,3337005.73
fra1,2027-05-05,11.244098,0,0,0,0,0,0,3351990,133582.01,3337330.66
fra1,2027-08-05,11.496152,0,0,0,0,0,0,3351990,130653.21,3337652.06
fra1,2027-11-05,11.748207,0,0,0,0,0,0,3351990,127850.07,3337959.67
fra1,2028-02-07,12.005464,0,0,0,0,0,0,3351990,125110.46,3338260.31
fra1,2028-05-05,12.245902,0,0,0,0,0,0,3351990,122654.03,3338529.88
fra1,2028-08-07,12.502732,0,0,0,0,0,0,3351990,120134.47,3338806.37
fra1,2028-11-06,12.751366,0,0,0,0,0,0,3351990,117792.02,3339063.42
