#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
02_FXFWD_5Y_10P,2025-09-30,0.000000,218776,0,0,0,218776,218776,218776,218776.27,218776.27
02_FXFWD_5Y_10P,2025-10-30,0.082192,218341,0,0,0,248590,219079,219079,219078.68,219078.68
02_FXFWD_5Y_10P,2025-12-01,0.169863,218689,0,0,0,253615,220205,220205,219659.85,219659.85
02_FXFWD_5Y_10P,2025-12-30,0.249315,217318,0,0,0,263518,219493,220205,219606.80,219833.49
02_FXFWD_5Y_10P,2026-01-30,0.334247,218200,0,0,0,275158,221084,221084,219982.09,220151.18
02_FXFWD_5Y_10P,2026-03-02,0.419178,219085,0,0,0,326843,222680,222680,220528.66,220663.49
02_FXFWD_5Y_10P,2026-03-30,0.495890,218980,0,0,0,334611,223185,223185,220939.58,221053.55
02_FXFWD_5Y_10P,2026-04-30,0.580822,216832,0,0,0,328884,221659,223185,221044.73,221365.22
02_FXFWD_5Y_10P,2026-06-01,0.668493,217687,0,0,0,322092,223223,223223,221330.39,221608.84
02_FXFWD_5Y_10P,2026-06-30,0.747945,218684,0,0,0,312302,224851,224851,221704.40,221953.28
02_FXFWD_5Y_10P,2026-07-30,0.830137,219324,0,0,0,294333,226122,226122,222141.76,222366.00
02_FXFWD_5Y_10P,2026-08-31,0.917808,219855,0,0,0,309033,227327,227327,222637.04,222839.86
02_FXFWD_5Y_10P,2026-09-30,1.000000,219179,0,0,0,325804,227232,227327,223014.72,223208.64
02_FXFWD_5Y_10P,2026-10-30,1.082192,217519,0,0,0,318289,226100,227327,223249.02,223521.40
02_FXFWD_5Y_10P,2026-11-30,1.167123,217260,0,0,0,339867,226439,227327,223481.15,223798.31
02_FXFWD_5Y_10P,2026-12-30,1.249315,217475,0,0,0,358758,227249,227327,223729.01,224030.44
02_FXFWD_5Y_10P,2027-02-01,1.339726,217450,0,0,0,378402,227863,227863,224007.99,224289.08
02_FXFWD_5Y_10P,2027-03-01,1.416438,216992,270,0,0,422335,227927,227927,224220.21,224486.08
02_FXFWD_5Y_10P,2027-03-30,1.495890,217451,405,0,0,396927,228974,228974,224472.68,224724.43
02_FXFWD_5Y_10P,2027-04-30,1.580822,218692,0,0,0,374627,230888,230888,224817.34,225055.57
02_FXFWD_5Y_10P,2027-06-01,1.668493,218513,0,0,0,406754,231327,231327,225159.38,225385.09
02_FXFWD_5Y_10P,2027-06-30,1.747945,217183,0,0,0,417766,230486,231327,225401.51,225655.16
02_FXFWD_5Y_10P,2027-07-30,1.830137,218338,0,0,0,432109,232303,232303,225711.45,225953.70
02_FXFWD_5Y_10P,2027-08-30,1.915068,217583,0,0,0,395281,232110,232303,225995.24,226235.28
02_FXFWD_5Y_10P,2027-09-30,2.000000,216843,0,0,0,379158,231931,232303,226247.31,226492.94
02_FXFWD_5Y_10P,2027-11-01,2.087671,216234,0,0,0,375761,231932,232303,226486.05,226736.92
02_FXFWD_5Y_10P,2027-11-30,2.167123,215756,0,0,0,383304,232015,232303,226688.74,226940.97
02_FXFWD_5Y_10P,2027-12-30,2.249315,214493,0,0,0,358697,231270,232303,226856.14,227136.90
02_FXFWD_5Y_10P,2028-01-31,2.336762,215565,0,0,0,393916,233086,233086,227089.26,227359.51
