#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
02_FXFWD_5Y_10P,2025-09-30,0.000000,218776,0,0,0,218776,218776,218776,218776.27,218776.27
02_FXFWD_5Y_10P,2025-10-30,0.082192,218208,0,0,0,256022,218945,218945,218944.63,218944.63
02_FXFWD_5Y_10P,2025-12-01,0.169863,218846,0,0,0,277652,220363,220363,219676.68,219676.68
02_FXFWD_5Y_10P,2025-12-30,0.249315,217486,0,0,0,268740,219663,220363,219672.27,219895.39
02_FXFWD_5Y_10P,2026-01-30,0.334247,218085,0,0,0,285461,220968,220968,220001.46,220167.89
02_FXFWD_5Y_10P,2026-03-02,0.419178,218735,0,0,0,318500,222324,222324,220472.07,220604.78
02_FXFWD_5Y_10P,2026-03-30,0.495890,218386,0,0,0,325783,222579,222579,220798.06,220910.24
02_FXFWD_5Y_10P,2026-04-30,0.580822,215972,0,0,0,323464,220780,222579,220795.44,221154.30
02_FXFWD_5Y_10P,2026-06-01,0.668493,216408,0,0,0,333947,221911,222579,220941.69,221341.19
02_FXFWD_5Y_10P,2026-06-30,0.747945,217705,0,0,0,317117,223844,223844,221249.99,221607.05
02_FXFWD_5Y_10P,2026-07-30,0.830137,217988,0,0,0,353867,224745,224745,221595.99,221917.70
02_FXFWD_5Y_10P,2026-08-31,0.917808,218191,0,0,0,345758,225606,225606,221979.05,222270.03
02_FXFWD_5Y_10P,2026-09-30,1.000000,217727,0,0,0,339640,225727,225727,222287.11,222554.17
02_FXFWD_5Y_10P,2026-10-30,1.082192,216024,0,0,0,347720,224546,225727,222458.66,222795.16
02_FXFWD_5Y_10P,2026-11-30,1.167123,216402,0,0,0,369724,225545,225727,222683.24,223008.51
02_FXFWD_5Y_10P,2026-12-30,1.249315,216596,0,0,0,349198,226330,226330,222923.18,223227.06
02_FXFWD_5Y_10P,2027-02-01,1.339726,216637,0,0,0,339063,227012,227012,223199.10,223482.47
02_FXFWD_5Y_10P,2027-03-01,1.416438,215577,258,0,0,357925,226441,227012,223374.66,223673.61
02_FXFWD_5Y_10P,2027-03-30,1.495890,216903,632,0,0,364365,228397,228397,223641.42,223924.49
02_FXFWD_5Y_10P,2027-04-30,1.580822,218240,0,0,0,399476,230410,230410,224005.07,224272.93
02_FXFWD_5Y_10P,2027-06-01,1.668493,217964,0,0,0,363966,230745,230745,224359.22,224613.01
