#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
04_FXFWD_5Y_ATMF,2025-09-30,0.000000,447,0,0,0,447,447,447,446.71,446.71
04_FXFWD_5Y_ATMF,2025-10-30,0.082192,8589,8671,0,0,42227,8618,8618,8618.06,8618.06
04_FXFWD_5Y_ATMF,2025-12-01,0.169863,12529,11779,0,0,62910,12616,12616,10681.51,10681.51
04_FXFWD_5Y_ATMF,2025-12-30,0.249315,13086,13725,0,0,56301,13217,13217,11489.47,11489.47
04_FXFWD_5Y_ATMF,2026-01-30,0.334247,18207,18217,0,0,75184,18448,18448,13257.62,13257.62
04_FXFWD_5Y_ATMF,2026-03-02,0.419178,21161,20527,0,0,94776,21508,21508,14929.28,14929.28
04_FXFWD_5Y_ATMF,2026-03-30,0.495890,21952,21702,0,0,113698,22373,22373,16080.87,16080.87
04_FXFWD_5Y_ATMF,2026-04-30,0.580822,22917,25154,0,0,109986,23427,23427,17155.12,17155.12
04_FXFWD_5Y_ATMF,2026-06-01,0.668493,25747,27641,0,0,121127,26402,26402,18367.85,18367.85
04_FXFWD_5Y_ATMF,2026-06-30,0.747945,25775,26394,0,0,114285,26502,26502,19231.91,19231.91
04_FXFWD_5Y_ATMF,2026-07-30,0.830137,27941,28275,0,0,151738,28807,28807,20179.96,20179.96
04_FXFWD_5Y_ATMF,2026-08-31,0.917808,25588,25692,0,0,143478,26458,28807,20779.61,21004.06
04_FXFWD_5Y_ATMF,2026-09-30,1.000000,26290,26841,0,0,139254,27256,28807,21311.96,21645.42
04_FXFWD_5Y_ATMF,2026-10-30,1.082192,25578,27856,0,0,139948,26587,28807,21712.61,22189.36
04_FXFWD_5Y_ATMF,2026-11-30,1.167123,29151,31057,0,0,148799,30383,30383,22343.53,22785.59
04_FXFWD_5Y_ATMF,2026-12-30,1.249315,31258,32988,0,0,139769,32663,32663,23022.44,23435.41
04_FXFWD_5Y_ATMF,2027-02-01,1.339726,33666,35310,0,0,129632,35278,35278,23849.51,24234.61
04_FXFWD_5Y_ATMF,2027-03-01,1.416438,34550,37542,0,0,138904,36291,36291,24523.31,24887.55
04_FXFWD_5Y_ATMF,2027-03-30,1.495890,34881,36809,0,0,167968,36730,36730,25171.64,25516.54
04_FXFWD_5Y_ATMF,2027-04-30,1.580822,38060,37980,0,0,182774,40182,40182,25978.10,26304.47
04_FXFWD_5Y_ATMF,2027-06-01,1.668493,40897,41065,0,0,148012,43295,43295,26888.03,27197.25
04_FXFWD_5Y_ATMF,2027-06-30,1.747945,39695,40984,0,0,163248,42126,43295,27580.67,27928.97
04_FXFWD_5Y_ATMF,2027-07-30,1.830137,41572,41843,0,0,171314,44231,44231,28328.46,28661.12
04_FXFWD_5Y_ATMF,2027-08-30,1.915068,39844,40520,0,0,174961,42504,44231,28957.15,29351.65
04_FXFWD_5Y_ATMF,2027-09-30,2.000000,39529,40808,0,0,171822,42279,44231,29522.87,29983.53
04_FXFWD_5Y_ATMF,2027-11-01,2.087671,39706,41879,0,0,179502,42589,44231,30071.58,30581.86
04_FXFWD_5Y_ATMF,2027-11-30,2.167123,39794,42733,0,0,171712,42793,44231,30537.97,31082.29
04_FXFWD_5Y_ATMF,2027-12-30,2.249315,36801,40453,0,0,148212,39680,44231,30872.02,31562.77
04_FXFWD_5Y_ATMF,2028-01-31,2.336762,39658,41984,0,0,174574,42881,44231,31321.44,32036.86
04_FXFWD_5Y_ATMF,2028-02-29,2.415997,39714,41834,0,0,181361,43052,44231,31706.16,32436.79
04_FXFWD_5Y_ATMF,2028-03-30,2.497964,42242,42578,0,0,178828,45914,45914,32172.37,32879.03
04_FXFWD_5Y_ATMF,2028-05-02,2.588128,45579,45631,0,0,172993,49687,49687,32782.54,33464.57
04_FXFWD_5Y_ATMF,2028-05-30,2.664631,47368,48102,0,0,211702,51765,51765,33327.52,33989.98
04_FXFWD_5Y_ATMF,2028-06-30,2.749330,46482,48133,0,0,213914,50936,51765,33869.99,34537.57
04_FXFWD_5Y_ATMF,2028-07-31,2.834029,46114,47693,0,0,184634,50672,51765,34372.15,35052.42
04_FXFWD_5Y_ATMF,2028-08-30,2.915997,47043,48702,0,0,167115,51831,51831,34862.90,35524.05
04_FXFWD_5Y_ATMF,2028-10-02,3.006161,49160,49636,0,0,214337,54322,54322,35446.53,36087.85
04_FXFWD_5Y_ATMF,2028-10-30,3.082663,49984,50930,0,0,207402,55374,55374,35941.07,36566.47
04_FXFWD_5Y_ATMF,2028-11-30,3.167363,50544,52541,0,0,186998,56153,56153,36481.56,37090.24
04_FXFWD_5Y_ATMF,2029-01-02,3.257534,51233,54196,0,0,172993,57091,57091,37052.05,37643.88
04_FXFWD_5Y_ATMF,2029-01-30,3.334247,49368,52385,0,0,187615,55154,57091,37468.54,38091.31
