#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
03_FXFWD_5Y_25P,2025-09-30,0.000000,105598,0,0,0,105598,105598,105598,105598.37,105598.37
03_FXFWD_5Y_25P,2025-10-30,0.082192,105050,0,0,0,145195,105405,105598,105405.30,105598.37
03_FXFWD_5Y_25P,2025-12-01,0.169863,105789,0,0,0,166746,106522,106522,105981.73,106075.15
03_FXFWD_5Y_25P,2025-12-30,0.249315,104414,0,0,0,159660,105459,106522,105815.04,106217.59
03_FXFWD_5Y_25P,2026-01-30,0.334247,105026,0,0,0,176457,106414,106522,105967.34,106294.98
03_FXFWD_5Y_25P,2026-03-02,0.419178,105671,0,0,0,202474,107405,107405,106258.69,106519.95
03_FXFWD_5Y_25P,2026-03-30,0.495890,105303,0,0,0,214391,107325,107405,106423.63,106656.92
03_FXFWD_5Y_25P,2026-04-30,0.580822,102930,79,0,0,212708,105221,107405,106247.81,106766.35
03_FXFWD_5Y_25P,2026-06-01,0.668493,103627,388,0,0,223521,106262,107405,106249.65,106850.16
03_FXFWD_5Y_25P,2026-06-30,0.747945,105309,785,0,0,211931,108279,108279,106465.18,107001.90
03_FXFWD_5Y_25P,2026-07-30,0.830137,106211,1403,0,0,249008,109504,109504,106766.01,107249.59
03_FXFWD_5Y_25P,2026-08-31,0.917808,106169,1137,0,0,240802,109777,109777,107053.64,107491.02
03_FXFWD_5Y_25P,2026-09-30,1.000000,106672,2092,0,0,236082,110592,110592,107344.43,107745.87
03_FXFWD_5Y_25P,2026-10-30,1.082192,105818,2957,0,0,245416,109993,110592,107545.55,107962.00
03_FXFWD_5Y_25P,2026-11-30,1.167123,106661,3429,0,0,254544,111167,111167,107809.11,108195.26
03_FXFWD_5Y_25P,2026-12-30,1.249315,106867,3454,0,0,240553,111670,111670,108063.13,108423.87
03_FXFWD_5Y_25P,2027-02-01,1.339726,107424,3942,0,0,221362,112568,112568,108367.16,108703.55
03_FXFWD_5Y_25P,2027-03-01,1.416438,107702,5568,0,0,244072,113129,113129,108625.07,108943.25
03_FXFWD_5Y_25P,2027-03-30,1.495890,108450,5280,0,0,262729,114197,114197,108921.00,109222.28
03_FXFWD_5Y_25P,2027-04-30,1.580822,111052,5895,0,0,278607,117245,117245,109368.23,109653.31
03_FXFWD_5Y_25P,2027-06-01,1.668493,111241,6351,0,0,244138,117764,117764,109809.40,110079.51
