#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
04_FXFWD_5Y_ATMF,2025-09-30,0.000000,447,0,0,0,447,447,447,446.71,446.71
04_FXFWD_5Y_ATMF,2025-10-30,0.082192,7995,8375,0,0,36618,8022,8022,8022.17,8022.17
04_FXFWD_5Y_ATMF,2025-12-01,0.169863,11488,10910,0,0,59243,11567,11567,9851.99,9851.99
04_FXFWD_5Y_ATMF,2025-12-30,0.249315,12387,13014,0,0,54490,12511,12511,10699.42,10699.42
04_FXFWD_5Y_ATMF,2026-01-30,0.334247,17333,17368,0,0,72922,17562,17562,12443.29,12443.29
04_FXFWD_5Y_ATMF,2026-03-02,0.419178,20572,19906,0,0,101027,20909,20909,14158.65,14158.65
04_FXFWD_5Y_ATMF,2026-03-30,0.495890,21552,21225,0,0,110920,21966,21966,15366.35,15366.35
04_FXFWD_5Y_ATMF,2026-04-30,0.580822,22525,24732,0,0,107888,23026,23026,16486.42,16486.42
04_FXFWD_5Y_ATMF,2026-06-01,0.668493,25712,27588,0,0,110590,26366,26366,17782.07,17782.07
04_FXFWD_5Y_ATMF,2026-06-30,0.747945,25435,26092,0,0,111752,26152,26366,18671.20,18693.90
04_FXFWD_5Y_ATMF,2026-07-30,0.830137,27588,28036,0,0,149117,28443,28443,19638.73,19659.19
04_FXFWD_5Y_ATMF,2026-08-31,0.917808,25227,25477,0,0,140936,26085,28443,20254.48,20498.27
04_FXFWD_5Y_ATMF,2026-09-30,1.000000,25815,26645,0,0,128000,26764,28443,20789.51,21151.28
04_FXFWD_5Y_ATMF,2026-10-30,1.082192,25345,27979,0,0,127703,26345,28443,21211.43,21705.11
04_FXFWD_5Y_ATMF,2026-11-30,1.167123,28854,31135,0,0,141101,30073,30073,21856.29,22314.04
04_FXFWD_5Y_ATMF,2026-12-30,1.249315,30758,32841,0,0,139100,32140,32140,22532.85,22960.48
04_FXFWD_5Y_ATMF,2027-02-01,1.339726,33396,35387,0,0,127380,34995,34995,23373.85,23772.63
04_FXFWD_5Y_ATMF,2027-03-01,1.416438,34220,37595,0,0,134286,35944,35944,24054.66,24431.84
04_FXFWD_5Y_ATMF,2027-03-30,1.495890,34318,36583,0,0,168122,36136,36136,24696.35,25053.50
04_FXFWD_5Y_ATMF,2027-04-30,1.580822,37753,37969,0,0,183149,39858,39858,25510.92,25848.88
04_FXFWD_5Y_ATMF,2027-06-01,1.668493,40611,41033,0,0,148081,42993,42993,26429.52,26749.72
04_FXFWD_5Y_ATMF,2027-06-30,1.747945,39427,41032,0,0,163368,41842,42993,27130.09,27488.05
04_FXFWD_5Y_ATMF,2027-07-30,1.830137,41390,41890,0,0,171612,44037,44037,27889.39,28231.27
04_FXFWD_5Y_ATMF,2027-08-30,1.915068,39639,40650,0,0,175057,42285,44037,28527.83,28932.25
04_FXFWD_5Y_ATMF,2027-09-30,2.000000,39190,40928,0,0,163768,41917,44037,29096.41,29573.70
04_FXFWD_5Y_ATMF,2027-11-01,2.087671,39292,41988,0,0,175979,42145,44037,29644.37,30181.09
04_FXFWD_5Y_ATMF,2027-11-30,2.167123,39556,42952,0,0,167819,42537,44037,30117.05,30689.09
04_FXFWD_5Y_ATMF,2027-12-30,2.249315,36675,40917,0,0,144553,39543,44037,30461.50,31176.84
04_FXFWD_5Y_ATMF,2028-01-31,2.336762,39530,42382,0,0,170820,42743,44037,30921.11,31658.10
