#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
05_FXFWD_5Y_25C,2025-09-30,0.000000,0,160455,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2025-10-30,0.082192,0,161252,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2025-12-01,0.169863,0,160151,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2025-12-30,0.249315,0,161378,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2026-01-30,0.334247,0,160763,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2026-03-02,0.419178,0,160067,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2026-03-30,0.495890,0,160432,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2026-04-30,0.580822,0,163021,0,0,0,0,0,0.00,0.00
05_FXFWD_5Y_25C,2026-06-01,0.668493,780,163537,0,0,0,800,800,104.90,104.90
05_FXFWD_5Y_25C,2026-06-30,0.747945,2038,163592,0,0,0,2096,2096,316.36,316.36
05_FXFWD_5Y_25C,2026-07-30,0.830137,1937,163280,0,0,155,1997,2096,482.73,492.53
05_FXFWD_5Y_25C,2026-08-31,0.917808,3155,164280,0,0,0,3262,3262,748.20,757.06
05_FXFWD_5Y_25C,2026-09-30,1.000000,2769,164461,0,0,0,2870,3262,922.63,962.94
05_FXFWD_5Y_25C,2026-10-30,1.082192,1316,164831,0,0,0,1368,3262,956.48,1137.54
05_FXFWD_5Y_25C,2026-11-30,1.167123,1040,164207,0,0,0,1084,3262,965.75,1292.13
05_FXFWD_5Y_25C,2026-12-30,1.249315,2032,165014,0,0,0,2123,3262,1041.90,1421.72
05_FXFWD_5Y_25C,2027-02-01,1.339726,2910,165767,0,0,0,3049,3262,1177.34,1545.90
05_FXFWD_5Y_25C,2027-03-01,1.416438,2210,166474,0,0,0,2321,3262,1239.29,1638.84
