#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
AmericanSwaptionCash,2016-02-05,0.000000,1168420,0,0,0,1168420,1168420,1168420,1168420.00,1168420.00
AmericanSwaptionCash,2016-05-06,0.248634,1178117,0,0,0,1546658,1177441,1177441,1177440.96,1177440.96
AmericanSwaptionCash,2016-08-05,0.497268,1168975,0,0,0,1668194,1167461,1177441,1172451.15,1177440.96
AmericanSwaptionCash,2016-11-07,0.754098,1166490,0,0,0,1773793,1163791,1177441,1169501.58,1177440.96
AmericanSwaptionCash,2017-02-06,1.003002,1157947,0,0,0,1716777,1154272,1177441,1165722.19,1177440.96
AmericanSwaptionCash,2017-05-05,1.244098,1148113,0,0,0,2000960,1143343,1177441,1161385.31,1177440.96
AmericanSwaptionCash,2017-08-07,1.501632,1129161,0,0,0,2288405,1123467,1177441,1154882.15,1177440.96
AmericanSwaptionCash,2017-11-06,1.750947,1107664,0,0,0,2501197,1101095,1177441,1147223.48,1177440.96
AmericanSwaptionCash,2018-02-05,2.000262,1105391,0,0,0,2309245,1097667,1177441,1141046.69,1177440.96
AmericanSwaptionCash,2018-05-08,2.252317,1085204,0,0,0,2405966,1076935,1177441,1133871.99,1177440.96
AmericanSwaptionCash,2018-08-06,2.498892,1085188,0,0,0,2583210,1076287,1177441,1128189.82,1177440.96
AmericanSwaptionCash,2018-11-05,2.748207,1089182,0,0,0,2443329,1079607,1177441,1123782.42,1177440.96
AmericanSwaptionCash,2019-02-05,3.000262,1093317,0,0,0,2498350,1083054,1177441,1120360.82,1177440.96
AmericanSwaptionCash,2019-05-07,3.249577,1078191,0,0,0,2853174,1067863,1177441,1116333.10,1177440.96
AmericanSwaptionCash,2019-08-05,3.496152,1050723,0,0,0,2826828,1040494,1177441,1110984.33,1177440.96
AmericanSwaptionCash,2019-11-05,3.748207,1060363,0,0,0,2998528,1049870,1177441,1106874.59,1177440.96
AmericanSwaptionCash,2020-02-05,4.000000,1041499,0,0,0,3160096,1031025,1177441,1102099.99,1177440.96
AmericanSwaptionCash,2020-05-05,4.245902,1026380,0,0,0,2929907,1016333,1177441,1097132.81,1177440.96
AmericanSwaptionCash,2020-08-05,4.497268,1003996,0,0,0,3043682,994476,1177441,1091394.98,1177440.96
AmericanSwaptionCash,2020-11-05,4.748634,1045123,0,0,0,3203838,1035531,1177441,1088437.87,1177440.96
AmericanSwaptionCash,2021-02-05,5.000262,1045245,0,0,0,2988642,1035972,1177441,1085797.65,1177440.96
AmericanSwaptionCash,2021-05-05,5.244098,1098701,0,0,0,3179399,1090185,1177441,1086001.64,1177440.96
AmericanSwaptionCash,2021-08-05,5.496152,1103783,0,0,0,3458654,1096564,1177441,1086486.04,1177440.96
AmericanSwaptionCash,2021-11-05,5.748207,1139800,0,0,0,3529056,1133727,1177441,1088557.53,1177440.96
AmericanSwaptionCash,2022-02-07,6.005741,1140279,0,0,0,3521804,1135618,1177441,1090575.54,1177440.96
AmericanSwaptionCash,2022-05-05,6.244098,1173104,0,0,0,3648171,1170423,1177441,1093623.56,1177440.96
AmericanSwaptionCash,2022-08-05,6.496152,1224358,0,0,0,4525079,1223929,1223929,1098679.51,1179244.74
AmericanSwaptionCash,2022-11-07,6.753687,1205026,0,0,0,4448683,1206990,1223929,1102809.66,1180948.67
AmericanSwaptionCash,2023-02-06,7.003002,1123459,0,0,0,4742837,1127449,1223929,1103686.85,1182478.83
AmericanSwaptionCash,2023-05-05,7.244098,1080333,0,0,0,4227623,1086775,1223929,1103124.00,1183858.37
AmericanSwaptionCash,2023-08-07,7.501632,1057567,0,0,0,4271999,1066633,1223929,1101871.27,1185234.02
AmericanSwaptionCash,2023-11-06,7.750947,1006974,0,0,0,4585699,1018158,1223929,1099178.56,1186478.68
AmericanSwaptionCash,2024-02-05,8.000000,964414,0,0,0,4017978,977574,1223929,1095392.81,1187644.58
AmericanSwaptionCash,2024-05-07,8.251366,877007,0,0,0,3912676,891658,1223929,1089186.33,1188749.94
AmericanSwaptionCash,2024-08-05,8.497268,923067,0,0,0,3607954,941296,1223929,1084906.53,1189767.99
AmericanSwaptionCash,2024-11-05,8.748634,911793,0,0,0,3348602,932642,1223929,1080531.67,1190749.51
AmericanSwaptionCash,2025-02-05,9.000262,982459,0,0,0,3662270,1007997,1223929,1078503.75,1191677.15
AmericanSwaptionCash,2025-05-06,9.246837,1015953,0,0,0,4983207,1045998,1223929,1077636.94,1192537.18
AmericanSwaptionCash,2025-08-05,9.496152,1007548,0,0,0,5570702,1041040,1223929,1076676.13,1193361.36
AmericanSwaptionCash,2025-11-05,9.748207,973063,0,0,0,5416753,1009031,1223929,1074927.05,1194151.74
AmericanSwaptionCash,2026-02-05,10.000262,922663,0,0,0,3563597,960215,1223929,1072035.74,1194902.28
AmericanSwaptionCash,2026-05-05,10.244098,314692,0,0,0,1212898,328649,1223929,1054341.25,1195593.19
AmericanSwaptionCash,2026-08-05,10.496152,313810,0,0,0,1234257,328917,1223929,1036920.89,1196273.66
AmericanSwaptionCash,2026-11-05,10.748207,292542,0,0,0,997052,307738,1223929,1019820.91,1196922.20
AmericanSwaptionCash,2027-02-05,11.000262,304742,0,0,0,1235308,321734,1223929,1003825.28,1197541.03
AmericanSwaptionCash,2027-05-05,11.244098,301472,0,0,0,1351502,319400,1223929,988983.06,1198113.28
AmericanSwaptionCash,2027-08-05,11.496152,263185,0,0,0,1188284,279847,1223929,973435.16,1198679.30
AmericanSwaptionCash,2027-11-05,11.748207,273382,0,0,0,1509859,291745,1223929,958809.68,1199221.03
AmericanSwaptionCash,2028-02-07,12.005464,228454,0,0,0,1206999,244704,1223929,943507.56,1199750.48
AmericanSwaptionCash,2028-05-05,12.245902,215503,0,0,0,1332103,231689,1223929,929531.65,1200225.21
AmericanSwaptionCash,2028-08-07,12.502732,184118,0,0,0,1188431,198735,1223929,914519.66,1200712.14
AmericanSwaptionCash,2028-11-06,12.751366,169379,0,0,0,909735,183531,1223929,900266.40,1201164.84
AmericanSwaptionCash,2029-02-05,13.000262,176994,0,0,0,991115,192521,1223929,886716.30,1201600.68
AmericanSwaptionCash,2029-05-08,13.252317,176580,0,0,0,958265,192819,1223929,873518.60,1202025.36
AmericanSwaptionCash,2029-08-06,13.498892,198805,0,0,0,1448871,217916,1223929,861543.13,1202425.46
AmericanSwaptionCash,2029-11-05,13.748207,182285,0,0,0,1254900,200578,1223929,849556.94,1202815.42
AmericanSwaptionCash,2030-02-05,14.000262,154619,0,0,0,1122720,170798,1223929,837336.85,1203195.55
AmericanSwaptionCash,2030-05-07,14.249577,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2030-08-05,14.496152,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2030-11-05,14.748207,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2031-02-05,15.000262,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2031-05-06,15.246837,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2031-08-05,15.496152,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2031-11-05,15.748207,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2032-02-05,16.000000,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2032-05-05,16.245902,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2032-08-05,16.497268,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2032-11-05,16.748634,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2033-02-07,17.005741,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2033-05-05,17.244098,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2033-08-05,17.496152,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2033-11-07,17.753687,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2034-02-06,18.003002,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2034-05-05,18.244098,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2034-08-07,18.501632,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2034-11-06,18.750947,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2035-02-05,19.000262,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2035-05-08,19.252317,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2035-08-06,19.498892,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2035-11-05,19.748207,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2036-02-05,20.000000,0,0,0,0,0,0,1223929,0.00,0.00
AmericanSwaptionCash,2036-05-06,20.248634,0,0,0,0,0,0,1223929,0.00,0.00
