#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
EuropeanSwaptionCash,2016-02-05,0.000000,1054076,0,0,0,1054076,1054076,1054076,1054075.63,1054075.63
EuropeanSwaptionCash,2016-05-06,0.248634,1061751,0,0,0,1428352,1061142,1061142,1061141.77,1061141.77
EuropeanSwaptionCash,2016-08-05,0.497268,1049745,0,0,0,1546770,1048386,1061142,1054763.70,1061141.77
EuropeanSwaptionCash,2016-11-07,0.754098,1043968,0,0,0,1648660,1041552,1061142,1050263.99,1061141.77
EuropeanSwaptionCash,2017-02-06,1.003002,1031352,0,0,0,1587110,1028079,1061142,1044758.58,1061141.77
EuropeanSwaptionCash,2017-05-05,1.244098,1018582,0,0,0,1868450,1014351,1061142,1038865.81,1061141.77
EuropeanSwaptionCash,2017-08-07,1.501632,995052,0,0,0,2152715,990034,1061142,1030490.98,1061141.77
EuropeanSwaptionCash,2017-11-06,1.750947,969335,0,0,0,2361513,963586,1061142,1020964.42,1061141.77
EuropeanSwaptionCash,2018-02-05,2.000262,961629,0,0,0,2161701,954909,1061142,1012731.22,1061141.77
EuropeanSwaptionCash,2018-05-08,2.252317,937638,0,0,0,2253601,930493,1061142,1003527.99,1061141.77
EuropeanSwaptionCash,2018-08-06,2.498892,933255,0,0,0,2426938,925600,1061142,995838.52,1061141.77
EuropeanSwaptionCash,2018-11-05,2.748207,932656,0,0,0,2279479,924456,1061142,989362.79,1061141.77
EuropeanSwaptionCash,2019-02-05,3.000262,930860,0,0,0,2328597,922123,1061142,983713.88,1061141.77
EuropeanSwaptionCash,2019-05-07,3.249577,911666,0,0,0,2684164,902934,1061142,977516.23,1061141.77
EuropeanSwaptionCash,2019-08-05,3.496152,878238,0,0,0,2652942,869688,1061142,969911.35,1061141.77
EuropeanSwaptionCash,2019-11-05,3.748207,883263,0,0,0,2822257,874522,1061142,963496.74,1061141.77
EuropeanSwaptionCash,2020-02-05,4.000000,857283,0,0,0,2980585,848661,1061142,956268.06,1061141.77
EuropeanSwaptionCash,2020-05-05,4.245902,837929,0,0,0,2741339,829728,1061142,948939.45,1061141.77
EuropeanSwaptionCash,2020-08-05,4.497268,809038,0,0,0,2853691,801366,1061142,940691.10,1061141.77
EuropeanSwaptionCash,2020-11-05,4.748634,847568,0,0,0,3014372,839790,1061142,935349.96,1061141.77
EuropeanSwaptionCash,2021-02-05,5.000262,843010,0,0,0,2790039,835531,1061142,930326.78,1061141.77
EuropeanSwaptionCash,2021-05-05,5.244098,899369,0,0,0,2986216,892398,1061142,928563.21,1061141.77
EuropeanSwaptionCash,2021-08-05,5.496152,903982,0,0,0,3274178,898070,1061142,927164.76,1061141.77
EuropeanSwaptionCash,2021-11-05,5.748207,945076,0,0,0,3347945,940041,1061142,927729.38,1061141.77
EuropeanSwaptionCash,2022-02-07,6.005741,946482,0,0,0,3342521,942613,1061142,928367.61,1061141.77
EuropeanSwaptionCash,2022-05-05,6.244098,981742,0,0,0,3475686,979499,1061142,930319.45,1061141.77
EuropeanSwaptionCash,2022-08-05,6.496152,1034886,0,0,0,4375625,1034523,1061142,934362.62,1061141.77
EuropeanSwaptionCash,2022-11-07,6.753687,1013027,0,0,0,4302993,1014679,1061142,937425.27,1061141.77
EuropeanSwaptionCash,2023-02-06,7.003002,929085,0,0,0,4606120,932385,1061142,937245.82,1061141.77
EuropeanSwaptionCash,2023-05-05,7.244098,885057,0,0,0,4089709,890335,1061142,935684.54,1061141.77
EuropeanSwaptionCash,2023-08-07,7.501632,864263,0,0,0,4142274,871673,1061142,933486.99,1061141.77
EuropeanSwaptionCash,2023-11-06,7.750947,804079,0,0,0,4467397,813009,1061142,929611.72,1061141.77
EuropeanSwaptionCash,2024-02-05,8.000000,753820,0,0,0,3900115,764106,1061142,924459.26,1061141.77
EuropeanSwaptionCash,2024-05-07,8.251366,663176,0,0,0,3802211,674255,1061142,916837.15,1061141.77
EuropeanSwaptionCash,2024-08-05,8.497268,724213,0,0,0,3501355,738515,1061142,911676.69,1061141.77
EuropeanSwaptionCash,2024-11-05,8.748634,718395,0,0,0,3247440,734822,1061142,906595.29,1061141.77
EuropeanSwaptionCash,2025-02-05,9.000262,806914,0,0,0,3579189,827889,1061142,904394.82,1061141.77
EuropeanSwaptionCash,2025-05-06,9.246837,843704,0,0,0,4901417,868655,1061142,903441.78,1061141.77
EuropeanSwaptionCash,2025-08-05,9.496152,833809,0,0,0,5480775,861526,1061142,902341.31,1061141.77
EuropeanSwaptionCash,2025-11-05,9.748207,799877,0,0,0,5330354,829443,1061142,900456.41,1061141.77
EuropeanSwaptionCash,2026-02-05,10.000262,759002,0,0,0,3514240,789893,1061142,897669.68,1061141.77
EuropeanSwaptionCash,2026-05-05,10.244098,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2026-08-05,10.496152,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2026-11-05,10.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2027-02-05,11.000262,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2027-05-05,11.244098,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2027-08-05,11.496152,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2027-11-05,11.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2028-02-07,12.005464,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2028-05-05,12.245902,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2028-08-07,12.502732,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2028-11-06,12.751366,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2029-02-05,13.000262,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2029-05-08,13.252317,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2029-08-06,13.498892,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2029-11-05,13.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2030-02-05,14.000262,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2030-05-07,14.249577,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2030-08-05,14.496152,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2030-11-05,14.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2031-02-05,15.000262,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2031-05-06,15.246837,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2031-08-05,15.496152,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2031-11-05,15.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2032-02-05,16.000000,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2032-05-05,16.245902,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2032-08-05,16.497268,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2032-11-05,16.748634,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2033-02-07,17.005741,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2033-05-05,17.244098,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2033-08-05,17.496152,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2033-11-07,17.753687,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2034-02-06,18.003002,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2034-05-05,18.244098,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2034-08-07,18.501632,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2034-11-06,18.750947,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2035-02-05,19.000262,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2035-05-08,19.252317,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2035-08-06,19.498892,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2035-11-05,19.748207,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2036-02-05,20.000000,0,0,0,0,0,0,1061142,0.00,0.00
EuropeanSwaptionCash,2036-05-06,20.248634,0,0,0,0,0,0,1061142,0.00,0.00
