#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
ForwardSwap,2016-02-05,0.000000,382901,0,0,0,382901,382901,382901,382900.94,382900.94
ForwardSwap,2016-05-06,0.248634,407878,12715,0,0,886128,407644,407644,407643.79,407643.79
ForwardSwap,2016-08-05,0.497268,410922,25481,0,0,1046652,410390,410390,409016.99,409016.99
ForwardSwap,2016-11-07,0.754098,438931,55724,0,0,1184658,437915,437915,418859.03,418859.03
ForwardSwap,2017-02-06,1.003002,429304,53855,0,0,1119725,427942,437915,421112.93,423587.90
ForwardSwap,2017-05-05,1.244098,438382,78938,0,0,1474265,436561,437915,424106.62,426364.36
ForwardSwap,2017-08-07,1.501632,429311,91419,0,0,1822719,427146,437915,424627.97,428345.31
ForwardSwap,2017-11-06,1.750947,426045,120221,0,0,2076045,423518,437915,424469.95,429707.91
ForwardSwap,2018-02-05,2.000262,434291,132662,0,0,1856542,431256,437915,425315.78,430730.84
ForwardSwap,2018-05-08,2.252317,442791,168845,0,0,1975741,439417,439417,426893.82,431702.88
ForwardSwap,2018-08-06,2.498892,460724,188700,0,0,2186735,456944,456944,429859.01,434193.55
ForwardSwap,2018-11-05,2.748207,500701,225085,0,0,2031224,496299,496299,435886.44,439827.75
ForwardSwap,2019-02-05,3.000262,512046,230428,0,0,2100846,507240,507240,441880.91,445491.11
ForwardSwap,2019-05-07,3.249577,497005,234816,0,0,2514219,492245,507240,445744.96,450228.62
ForwardSwap,2019-08-05,3.496152,470898,233166,0,0,2492827,466313,507240,447195.61,454249.49
ForwardSwap,2019-11-05,3.748207,488996,244117,0,0,2693105,484157,507240,449681.13,457812.92
ForwardSwap,2020-02-05,4.000000,483201,265250,0,0,2878846,478341,507240,451485.23,460924.26
ForwardSwap,2020-05-05,4.245902,497465,302186,0,0,2629321,492596,507240,453866.14,463606.63
ForwardSwap,2020-08-05,4.497268,484592,313577,0,0,2763555,479997,507240,455326.69,466045.43
ForwardSwap,2020-11-05,4.748634,556665,339954,0,0,2948195,551556,551556,460420.53,470571.88
ForwardSwap,2021-02-05,5.000262,569155,351786,0,0,2717780,564105,564105,465638.26,475278.77
ForwardSwap,2021-05-05,5.244098,666498,393172,0,0,2937700,661332,661332,474737.47,483929.72
ForwardSwap,2021-08-05,5.496152,694656,420120,0,0,3252122,690113,690113,484614.62,493385.31
ForwardSwap,2021-11-05,5.748207,758152,452156,0,0,3337549,754113,754113,496431.93,504818.03
ForwardSwap,2022-02-07,6.005741,773916,470311,0,0,3339170,770753,770753,508195.16,516221.66
ForwardSwap,2022-05-05,6.244098,842197,509512,0,0,3484658,840272,840272,520871.54,528591.64
ForwardSwap,2022-08-05,6.496152,904422,518302,0,0,4421383,904105,904105,535741.25,543161.81
ForwardSwap,2022-11-07,6.753687,882214,509546,0,0,4350284,883653,904105,549007.94,556925.45
ForwardSwap,2023-02-06,7.003002,803912,516763,0,0,4664634,806768,904105,558184.49,569285.46
ForwardSwap,2023-05-05,7.244098,765145,521821,0,0,4137175,769708,904105,565224.33,580428.83
ForwardSwap,2023-08-07,7.501632,761144,545448,0,0,4193632,767670,904105,572174.37,591540.79
ForwardSwap,2023-11-06,7.750947,686708,512440,0,0,4528046,694334,904105,576103.74,601594.66
ForwardSwap,2024-02-05,8.000000,636379,495740,0,0,3949578,645063,904105,578250.56,611012.31
ForwardSwap,2024-05-07,8.251366,556721,501405,0,0,3851637,566022,904105,577878.02,619940.98
ForwardSwap,2024-08-05,8.497268,658907,560278,0,0,3546399,671919,904105,580599.47,628164.38
ForwardSwap,2024-11-05,8.748634,665193,563240,0,0,3289041,680404,904105,583467.05,636092.73
ForwardSwap,2025-02-05,9.000262,769475,602202,0,0,3628205,789476,904105,589226.63,643585.79
ForwardSwap,2025-05-06,9.246837,814921,629773,0,0,4977685,839021,904105,595887.63,650532.78
ForwardSwap,2025-08-05,9.496152,821030,640195,0,0,5569855,848322,904105,602515.14,657190.16
ForwardSwap,2025-11-05,9.748207,801247,642509,0,0,5416700,830864,904105,608419.44,663574.52
ForwardSwap,2026-02-05,10.000262,768168,643526,0,0,3563705,799432,904105,613233.87,669637.06
ForwardSwap,2026-05-05,10.244098,776126,651556,0,0,3205591,810548,904105,617930.44,675218.00
ForwardSwap,2026-08-05,10.496152,799953,614784,0,0,4043965,838463,904105,623226.31,680714.51
ForwardSwap,2026-11-05,10.748207,752611,574254,0,0,4285755,791705,904105,627177.27,685953.21
ForwardSwap,2027-02-05,11.000262,791482,570128,0,0,4140208,835616,904105,631953.33,690951.85
ForwardSwap,2027-05-05,11.244098,782238,638207,0,0,4325440,828755,904105,636221.12,695574.22
ForwardSwap,2027-08-05,11.496152,756745,605266,0,0,4339538,804655,904105,639914.06,700146.30
ForwardSwap,2027-11-05,11.748207,714242,579625,0,0,3319467,762218,904105,642538.06,704522.19
ForwardSwap,2028-02-07,12.005464,628045,528182,0,0,3334329,672716,904105,643184.72,708798.92
ForwardSwap,2028-05-05,12.245902,528658,590378,0,0,3933227,568366,904105,641715.71,712633.59
ForwardSwap,2028-08-07,12.502732,523354,553696,0,0,4042126,564903,904105,640137.82,716566.79
ForwardSwap,2028-11-06,12.751366,520154,504159,0,0,4133347,563613,904105,638645.70,720223.53
ForwardSwap,2029-02-05,13.000262,568215,480478,0,0,3468939,618063,904105,638251.62,723744.03
ForwardSwap,2029-05-08,13.252317,505451,533988,0,0,3484853,551935,904105,636609.91,727174.45
ForwardSwap,2029-08-06,13.498892,544940,506282,0,0,3909004,597323,904105,635892.28,730406.32
ForwardSwap,2029-11-05,13.748207,507762,453111,0,0,3954517,558717,904105,634492.75,733556.25
ForwardSwap,2030-02-05,14.000262,530310,417564,0,0,3113994,585802,904105,633616.14,736626.74
ForwardSwap,2030-05-07,14.249577,497740,498389,0,0,3236029,551943,904105,632187.15,739557.00
ForwardSwap,2030-08-05,14.496152,510633,461908,0,0,3182455,568398,904105,631102.11,742355.92
ForwardSwap,2030-11-05,14.748207,443467,405429,0,0,2611735,495557,904105,628785.57,745120.30
ForwardSwap,2031-02-05,15.000262,472191,360565,0,0,3294702,529711,904105,627120.79,747791.78
ForwardSwap,2031-05-06,15.246837,396372,400528,0,0,1519657,446228,904105,624195.35,750319.72
ForwardSwap,2031-08-05,15.496152,387669,360599,0,0,1250188,437980,904105,621199.36,752793.95
ForwardSwap,2031-11-05,15.748207,381902,329887,0,0,1534929,433014,904105,618187.40,755215.74
ForwardSwap,2032-02-05,16.000000,387388,293405,0,0,1395653,440813,904105,615396.05,757558.82
ForwardSwap,2032-05-05,16.245902,298279,325920,0,0,1295112,340607,904105,611236.78,759776.98
ForwardSwap,2032-08-05,16.497268,286383,284824,0,0,1336223,328197,904105,606924.16,761976.09
ForwardSwap,2032-11-05,16.748634,270279,249185,0,0,1241729,310855,904105,602480.70,764109.19
ForwardSwap,2033-02-07,17.005741,246620,207731,0,0,1222012,284685,904105,597675.99,766225.77
ForwardSwap,2033-05-05,17.244098,200602,253096,0,0,1140022,232351,904105,592626.29,768131.61
ForwardSwap,2033-08-05,17.496152,196749,207260,0,0,1033436,228707,904105,587383.56,770090.49
ForwardSwap,2033-11-07,17.753687,208329,166559,0,0,1100503,243056,904105,582388.76,772034.50
ForwardSwap,2034-02-06,18.003002,252038,130198,0,0,1352852,295096,904105,578410.17,773863.49
ForwardSwap,2034-05-05,18.244098,144573,155879,0,0,763402,169853,904105,573011.08,775584.63
ForwardSwap,2034-08-07,18.501632,136020,120538,0,0,771928,160391,904105,567267.60,777373.58
ForwardSwap,2034-11-06,18.750947,132846,86284,0,0,684433,157205,904105,561815.36,779058.62
ForwardSwap,2035-02-05,19.000262,139117,55341,0,0,632679,165211,904105,556611.25,780699.45
ForwardSwap,2035-05-08,19.252317,59291,83301,0,0,363873,70665,904105,550249.15,782315.10
ForwardSwap,2035-08-06,19.498892,64335,46335,0,0,390388,76946,904105,544263.94,783855.21
ForwardSwap,2035-11-05,19.748207,80911,15497,0,0,385964,97115,904105,538618.82,785373.33
ForwardSwap,2036-02-05,20.000000,114827,391,0,0,394324,138318,904105,533579.18,786868.12
ForwardSwap,2036-05-06,20.248634,0,0,0,0,0,0,904105,0.00,0.00
