RiskFactor1,RiskFactor2,Correlation
DiscountCurve/EUR/5,DiscountCurve/USD/6,0.603993
DiscountCurve/EUR/5,IndexCurve/EUR-EONIA/4,0.865792
DiscountCurve/EUR/5,IndexCurve/EUR-EURIBOR-3M/4,0.793414
DiscountCurve/EUR/5,IndexCurve/EUR-EURIBOR-6M/4,0.764580
DiscountCurve/EUR/5,IndexCurve/USD-FedFunds/4,0.561031
DiscountCurve/EUR/5,IndexCurve/USD-LIBOR-3M/4,0.531682
DiscountCurve/USD/6,IndexCurve/EUR-EONIA/4,0.494083
DiscountCurve/USD/6,IndexCurve/EUR-EURIBOR-3M/4,0.421304
DiscountCurve/USD/6,IndexCurve/EUR-EURIBOR-6M/4,0.399124
DiscountCurve/USD/6,IndexCurve/USD-FedFunds/4,0.826585
DiscountCurve/USD/6,IndexCurve/USD-LIBOR-3M/4,0.874404
IndexCurve/EUR-EONIA/4,IndexCurve/EUR-EURIBOR-3M/4,0.896808
IndexCurve/EUR-EONIA/4,IndexCurve/EUR-EURIBOR-6M/4,0.879402
IndexCurve/EUR-EONIA/4,IndexCurve/USD-FedFunds/4,0.522860
IndexCurve/EUR-EONIA/4,IndexCurve/USD-LIBOR-3M/4,0.494898
IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/EUR-EURIBOR-6M/4,0.919015
IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/USD-FedFunds/4,0.452282
IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/USD-LIBOR-3M/4,0.443082
IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/USD-FedFunds/4,0.441804
IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/USD-LIBOR-3M/4,0.431924
IndexCurve/USD-FedFunds/4,IndexCurve/USD-LIBOR-3M/4,0.924076
