#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_2,2016-02-05,0.000000,1317065,0,0,0,1317065,1317065,1317065,1317065.13,1317065.13
Swap_2,2016-03-07,0.084699,1290093,42168,0,0,2749702,1289906,1317065,1289905.88,1317065.13
Swap_2,2016-04-05,0.163934,1281691,52341,0,0,3478294,1281264,1317065,1285729.09,1317065.13
Swap_2,2016-05-06,0.248634,1402422,177692,0,0,3998431,1401617,1401617,1325207.49,1345868.61
Swap_2,2016-06-06,0.333333,1447488,275264,0,0,4984779,1446309,1446309,1355979.12,1371390.28
Swap_2,2016-07-05,0.412568,1479556,369129,0,0,4547547,1477933,1477933,1379400.80,1391852.20
Swap_2,2016-08-05,0.497268,1547423,451682,0,0,4237875,1545419,1545419,1407678.63,1418009.20
Swap_2,2016-09-06,0.584699,1355671,545977,0,0,5393558,1353456,1545419,1399570.56,1437061.14
Swap_2,2016-10-05,0.663934,1388808,608972,0,0,4860199,1386179,1545419,1397972.39,1449992.75
Swap_2,2016-11-07,0.754098,1513889,708080,0,0,4992337,1510386,1545419,1411413.14,1461402.42
Swap_2,2016-12-05,0.830601,1539201,764732,0,0,5529892,1535196,1545419,1422814.19,1469140.79
Swap_2,2017-01-05,0.915330,1611185,850608,0,0,5107616,1606515,1606515,1439818.78,1481857.07
Swap_2,2017-02-06,1.003002,1668375,889236,0,0,5810445,1663080,1663080,1459333.78,1497697.55
Swap_2,2017-03-06,1.079714,1591582,882952,0,0,5850074,1586046,1663080,1468336.54,1509447.77
Swap_2,2017-04-05,1.161906,1709318,1009707,0,0,5510707,1702795,1702795,1484921.86,1523124.93
Swap_2,2017-05-05,1.244098,1675600,975673,0,0,6686636,1668639,1702795,1497059.19,1534994.92
Swap_2,2017-06-06,1.331769,1582193,928133,0,0,6297995,1575132,1702795,1502198.75,1546041.33
Swap_2,2017-07-05,1.411221,1538392,896100,0,0,6123944,1531109,1702795,1503826.42,1554866.61
Swap_2,2017-08-07,1.501632,1568370,909353,0,0,5231154,1560462,1702795,1507236.34,1563773.17
Swap_2,2017-09-05,1.581084,1390322,1059917,0,0,5279051,1382918,1702795,1500989.16,1570759.26
Swap_2,2017-10-05,1.663276,1432929,1074187,0,0,4608915,1424878,1702795,1497228.10,1577283.90
Swap_2,2017-11-06,1.750947,1621961,1169550,0,0,5962472,1612341,1702795,1502991.89,1583568.34
Swap_2,2017-12-05,1.830399,1640964,1176050,0,0,5638147,1630687,1702795,1508534.75,1588743.62
Swap_2,2018-01-05,1.915330,1745341,1208494,0,0,7066571,1733777,1733777,1518522.69,1595174.86
Swap_2,2018-02-05,2.000262,1689399,1200162,0,0,6264511,1677594,1733777,1525276.87,1601059.95
Swap_2,2018-03-05,2.076974,1716177,1221690,0,0,6214995,1703810,1733777,1531870.94,1605961.82
Swap_2,2018-04-05,2.161906,1760719,1228649,0,0,6542779,1747677,1747677,1540349.00,1611529.19
Swap_2,2018-05-08,2.252317,1816289,1276721,0,0,7004489,1802449,1802449,1550870.02,1619192.94
Swap_2,2018-06-05,2.329029,1776709,1256870,0,0,6462067,1762848,1802449,1557852.04,1625228.92
Swap_2,2018-07-05,2.411221,1865062,1332067,0,0,7041616,1850149,1850149,1567815.64,1632895.83
Swap_2,2018-08-06,2.498892,1805530,1319192,0,0,6299032,1790719,1850149,1575635.99,1640517.95
Swap_2,2018-09-05,2.581084,1597695,1413545,0,0,6928306,1584279,1850149,1575911.22,1647193.43
Swap_2,2018-10-05,2.663276,1571996,1430456,0,0,6092029,1558491,1850149,1575373.61,1653456.89
Swap_2,2018-11-05,2.748207,1589694,1410534,0,0,6275516,1575718,1850149,1575384.25,1659535.53
Swap_2,2018-12-05,2.830399,1617405,1434543,0,0,6359934,1602872,1850149,1576182.47,1665070.75
Swap_2,2019-01-07,2.920810,1508698,1362839,0,0,5036818,1494820,1850149,1573663.98,1670799.69
Swap_2,2019-02-05,3.000262,1417241,1288898,0,0,5100695,1403938,1850149,1569169.34,1675549.17
Swap_2,2019-03-05,3.076974,1356292,1270692,0,0,4789392,1343450,1850149,1563541.91,1679902.14
Swap_2,2019-04-05,3.161906,1394679,1302903,0,0,4683188,1381398,1850149,1558649.37,1684475.13
Swap_2,2019-05-07,3.249577,1363276,1267933,0,0,4210776,1350218,1850149,1553026.04,1688944.89
Swap_2,2019-06-05,3.329029,1219280,1175317,0,0,4054813,1207539,1850149,1544780.50,1692792.27
Swap_2,2019-07-05,3.411221,1218753,1185239,0,0,4096886,1206954,1850149,1536640.73,1696583.71
Swap_2,2019-08-05,3.496152,1190603,1199728,0,0,4238159,1179012,1850149,1527952.91,1700314.26
Swap_2,2019-09-05,3.581084,979730,1293674,0,0,3721819,970139,1850149,1514723.41,1703867.85
Swap_2,2019-10-07,3.668755,1137940,1387869,0,0,4635329,1126737,1850149,1505451.79,1707363.50
Swap_2,2019-11-05,3.748207,1160766,1418234,0,0,4496510,1149279,1850149,1497901.87,1710390.18
Swap_2,2019-12-05,3.830399,1133655,1388809,0,0,4485821,1122377,1850149,1489843.94,1713389.09
Swap_2,2020-01-06,3.918033,1093885,1360657,0,0,4287511,1082941,1850149,1480742.83,1716447.98
Swap_2,2020-02-05,4.000000,1113062,1381411,0,0,3704443,1101868,1850149,1472979.00,1719187.76
Swap_2,2020-03-05,4.079235,1066053,1313396,0,0,3676419,1055403,1850149,1464868.00,1721731.55
Swap_2,2020-04-06,4.166667,1105588,1348496,0,0,3613792,1094659,1850149,1457099.69,1724426.22
Swap_2,2020-05-05,4.245902,1140212,1360789,0,0,4000823,1129051,1850149,1450977.81,1726772.40
Swap_2,2020-06-05,4.330601,1119115,1321018,0,0,4241776,1108276,1850149,1444275.12,1729185.45
Swap_2,2020-07-06,4.415301,1124019,1334547,0,0,4709064,1113248,1850149,1437924.98,1731505.92
Swap_2,2020-08-05,4.497268,1165576,1352769,0,0,4710939,1154523,1850149,1432759.69,1733668.31
Swap_2,2020-09-08,4.590164,1005874,1435800,0,0,4685911,996449,1850149,1423929.60,1736025.67
Swap_2,2020-10-05,4.663934,995487,1447781,0,0,4597599,986249,1850149,1417006.71,1737830.79
Swap_2,2020-11-05,4.748634,1006463,1477982,0,0,4240402,997226,1850149,1409519.25,1739834.17
Swap_2,2020-12-07,4.836066,985952,1415236,0,0,4057953,977008,1850149,1401699.85,1741828.56
Swap_2,2021-01-05,4.915330,1019858,1429145,0,0,3955905,1010705,1850149,1395394.64,1743575.35
Swap_2,2021-02-05,5.000262,1010285,1433409,0,0,3672500,1001322,1850149,1388701.15,1745385.55
Swap_2,2021-03-05,5.076974,993749,1369886,0,0,3971526,985250,1850149,1382605.06,1746968.52
Swap_2,2021-04-06,5.164646,1060997,1413635,0,0,4335718,1052369,1850149,1376999.21,1748720.04
Swap_2,2021-05-05,5.244098,1118096,1454730,0,0,4681870,1109430,1850149,1372945.34,1750256.77
Swap_2,2021-06-07,5.334509,1064188,1376278,0,0,3906367,1056402,1850149,1367580.45,1751949.78
Swap_2,2021-07-06,5.413961,1078780,1372010,0,0,3615519,1071298,1850149,1363232.40,1753390.89
Swap_2,2021-08-05,5.496152,1111064,1398630,0,0,3596743,1103797,1850149,1359352.69,1754837.86
Swap_2,2021-09-07,5.586563,958739,1483519,0,0,3343259,952885,1850149,1352774.57,1756380.34
Swap_2,2021-10-05,5.663276,984385,1512344,0,0,3614645,978738,1850149,1347708.03,1757650.50
Swap_2,2021-11-05,5.748207,978741,1528103,0,0,4440911,973526,1850149,1342179.37,1759017.20
Swap_2,2021-12-06,5.833139,956808,1457154,0,0,3918418,952101,1850149,1336499.77,1760344.09
Swap_2,2022-01-05,5.915330,974540,1463293,0,0,4389189,970131,1850149,1331409.19,1761591.91
Swap_2,2022-02-07,6.005741,963014,1475736,0,0,5521298,959077,1850149,1325804.07,1762925.06
Swap_2,2022-03-07,6.082454,932396,1391630,0,0,5038511,929110,1850149,1320800.94,1764025.14
Swap_2,2022-04-05,6.161906,925103,1404612,0,0,4562889,922406,1850149,1315664.01,1765135.63
Swap_2,2022-05-05,6.244098,950289,1414044,0,0,4607637,948117,1850149,1310825.96,1766254.67
Swap_2,2022-06-07,6.334509,997103,1341628,0,0,4890633,995516,1850149,1306325.61,1767452.08
Swap_2,2022-07-05,6.411221,957521,1316210,0,0,4786652,956561,1850149,1302140.56,1768441.58
Swap_2,2022-08-05,6.496152,931888,1313071,0,0,4609466,931562,1850149,1297295.57,1769509.84
Swap_2,2022-09-06,6.583824,720840,1347968,0,0,4300348,721073,1850149,1289622.49,1770583.64
Swap_2,2022-10-05,6.663276,751450,1371049,0,0,4162524,752152,1850149,1283213.77,1771532.38
Swap_2,2022-11-07,6.753687,771647,1386498,0,0,3681980,772905,1850149,1276382.32,1772584.81
Swap_2,2022-12-05,6.830399,721013,1266315,0,0,3472434,722615,1850149,1270162.94,1773455.94
Swap_2,2023-01-05,6.915330,701698,1266760,0,0,3619922,703715,1850149,1263206.04,1774397.86
Swap_2,2023-02-06,7.003002,717323,1271747,0,0,2858175,719871,1850149,1256403.98,1775346.20
Swap_2,2023-03-06,7.079714,690813,1165268,0,0,3532300,693783,1850149,1250307.70,1776156.73
Swap_2,2023-04-05,7.161906,678292,1166216,0,0,3255707,681773,1850149,1243783.05,1777005.88
Swap_2,2023-05-05,7.244098,717436,1178178,0,0,3638748,721714,1850149,1237859.63,1777835.77
Swap_2,2023-06-05,7.329029,690406,1063142,0,0,2800004,695117,1850149,1231570.13,1778673.77
Swap_2,2023-07-05,7.411221,691715,1064148,0,0,2866555,697011,1850149,1225641.77,1779466.44
Swap_2,2023-08-07,7.501632,710343,1066380,0,0,3220117,716433,1850149,1219504.70,1780318.32
Swap_2,2023-09-05,7.581084,547421,1087434,0,0,2932151,552556,1850149,1212514.87,1781050.17
Swap_2,2023-10-05,7.663276,561489,1091556,0,0,2906404,567224,1850149,1205593.86,1781791.29
Swap_2,2023-11-06,7.750947,605933,1115326,0,0,3514754,612663,1850149,1198887.19,1782564.49
Swap_2,2023-12-05,7.830399,630255,1005273,0,0,3956735,637764,1850149,1193193.70,1783250.25
Swap_2,2024-01-05,7.915301,652368,1016393,0,0,3965142,660705,1850149,1187482.09,1783967.82
Swap_2,2024-02-05,8.000000,672957,1011771,0,0,4202420,682140,1850149,1182131.82,1784668.51
Swap_2,2024-03-05,8.079235,652005,882939,0,0,3744153,661512,1850149,1177025.98,1785310.70
Swap_2,2024-04-05,8.163934,687998,893618,0,0,4259955,698749,1850149,1172063.93,1785983.39
Swap_2,2024-05-07,8.251366,663748,881258,0,0,3898771,674837,1850149,1166795.30,1786663.29
Swap_2,2024-06-05,8.330601,640391,761026,0,0,3315366,651717,1850149,1161896.22,1787267.13
Swap_2,2024-07-05,8.412568,629435,759621,0,0,3236002,641204,1850149,1156822.90,1787879.82
Swap_2,2024-08-05,8.497268,602864,753148,0,0,3140480,614769,1850149,1151419.79,1788500.51
Swap_2,2024-09-05,8.581967,440564,793848,0,0,2620826,449727,1850149,1144494.45,1789108.95
Swap_2,2024-10-07,8.669399,419529,780433,0,0,2313017,428709,1850149,1137275.69,1789724.55
Swap_2,2024-11-05,8.748634,405339,777307,0,0,2569653,414607,1850149,1130730.60,1790271.80
Swap_2,2024-12-05,8.830601,359884,644662,0,0,2319489,368479,1850149,1123655.25,1790827.60
Swap_2,2025-01-06,8.918070,345204,638827,0,0,2068200,353825,1850149,1116104.69,1791409.43
