#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,551024.94,543289.00,2310124.85,1182670.89,550999.55,1201477.63,550999.55,1201477.63
CPTY_A,2016-03-07,0.084699,452865.53,484860.94,2408607.06,1440714.79,452799.85,1201477.63,497148.10,1201477.63
CPTY_A,2016-04-05,0.163934,451189.84,529906.25,2553873.44,1451302.18,451039.55,1201477.63,474862.30,1201477.63
CPTY_A,2016-05-06,0.248634,466310.66,506608.41,1636438.81,1271139.99,466043.05,1201477.63,471857.94,1201477.63
CPTY_A,2016-06-06,0.333333,426497.66,524515.13,1936482.75,1140739.63,426150.09,1201477.63,460243.65,1201477.63
CPTY_A,2016-07-05,0.412568,394767.97,412866.28,2172102.27,1174920.34,394334.96,1201477.63,447585.69,1201477.63
CPTY_A,2016-08-05,0.497268,521266.75,647658.81,2666642.27,1048961.27,520591.66,1201477.63,460020.77,1201477.63
CPTY_A,2016-09-06,0.584699,401560.19,414218.53,1601003.68,773712.24,400904.06,1201477.63,451180.89,1201477.63
CPTY_A,2016-10-05,0.663934,269913.31,336959.19,1690828.24,712897.09,269402.39,1201477.63,429487.16,1201477.63
CPTY_A,2016-11-07,0.754098,403858.25,421374.47,1341192.08,648892.93,402923.70,1201477.63,426311.09,1201477.63
CPTY_A,2016-12-05,0.830601,501136.09,493793.31,1739508.16,591509.12,499832.19,1201477.63,433082.78,1201477.63
CPTY_A,2017-01-05,0.915330,476255.56,550989.38,1796844.72,671267.26,474875.15,1201477.63,436951.37,1201477.63
CPTY_A,2017-02-06,1.003002,420349.09,448728.69,1850823.70,493270.36,419015.13,1201477.63,435383.58,1201477.63
CPTY_A,2017-05-05,1.244098,422289.78,429899.38,1800283.54,591793.41,420535.48,1201477.63,432506.14,1201477.63
CPTY_A,2017-08-07,1.501632,389320.88,406827.53,1583324.41,604456.37,387357.64,1201477.63,424763.04,1201477.63
CPTY_A,2017-11-06,1.750947,428322.97,415715.72,1351021.07,590999.13,425782.64,1201477.63,424908.22,1201477.63
CPTY_A,2018-02-05,2.000262,496923.41,428250.72,1931712.72,733526.45,493450.87,1201477.63,433451.46,1201477.63
CPTY_A,2019-02-05,3.000262,316503.47,326142.00,1454543.74,347479.50,313532.68,1201477.63,393482.02,1201477.63
CPTY_A,2020-02-05,4.000000,254881.42,271345.75,866052.88,377683.29,252318.16,1201477.63,358200.30,1201477.63
CPTY_A,2021-02-05,5.000262,195431.20,222328.78,882528.54,331046.56,193697.45,1201477.63,325292.84,1201477.63
CPTY_A,2022-02-07,6.005741,156837.67,157581.95,778715.93,-57344.39,156196.51,1201477.63,296982.78,1201477.62
CPTY_A,2023-02-06,7.003002,112315.17,112497.10,626216.74,234006.44,112714.08,1201477.63,270742.05,1201477.62
CPTY_A,2024-02-05,8.000000,95866.86,90130.39,380155.13,247990.04,97175.04,1201477.63,249111.30,1201477.62
CPTY_A,2025-02-05,9.000262,68777.23,64753.95,341822.93,138639.76,70565.04,1201477.63,229268.21,1201477.62
CPTY_A,2026-02-05,10.000262,22998.45,29715.94,111131.15,96572.51,23934.47,1201477.63,208735.37,1201477.62
CPTY_A,2027-02-05,11.000262,3483.99,2275.90,16155.27,100051.51,3678.26,1201477.63,190094.26,1201477.62
