#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_3,2016-02-05,0.000000,1629089,0,0,0,1629089,1629089,1629089,1629089.38,1629089.38
Swap_3,2016-02-19,0.038251,1609642,7229,1058622,-702634,2674706,1609568,1629089,1609568.01,1629089.38
Swap_3,2016-03-04,0.076503,1639355,6250,836723,-338434,3110856,1639150,1639150,1624358.81,1634119.50
Swap_3,2016-03-18,0.114754,1663007,39827,1019185,298894,3666773,1662647,1662647,1637121.39,1643628.51
Swap_3,2016-04-01,0.153005,1782530,107816,701793,-86272,5254248,1781982,1781982,1673336.53,1678216.87
Swap_3,2016-04-15,0.191257,1797037,133705,1025615,80823,4499159,1796313,1796313,1697931.87,1701836.14
Swap_3,2016-04-29,0.229508,1627808,131554,446347,-64552,5105841,1626966,1796313,1686104.30,1717582.32
Swap_3,2016-05-13,0.267760,1706024,209787,547428,-117827,5246605,1704950,1796313,1688796.54,1728829.59
Swap_3,2016-05-27,0.306011,1754159,307150,520905,-270454,5168517,1752864,1796313,1696805.03,1737265.05
Swap_3,2016-06-10,0.344262,1760432,348458,439709,103256,4351202,1758943,1796313,1703709.20,1743825.96
Swap_3,2016-06-24,0.382514,1771458,316365,502801,-162635,4466045,1769710,1796313,1710309.30,1749074.68
Swap_3,2016-07-08,0.420765,1825994,359858,494608,-146568,5372572,1823936,1823936,1720638.99,1755880.25
Swap_3,2016-07-22,0.459016,1792777,436712,558408,-70154,5685292,1790589,1823936,1726468.17,1761551.56
Swap_3,2016-08-05,0.497268,1821396,444300,413873,-141105,6166953,1819037,1823936,1733588.87,1766350.36
Swap_3,2016-08-19,0.535519,1840661,465540,306113,-6065,6132451,1838036,1838036,1741049.41,1771470.80
Swap_3,2016-09-02,0.573770,1934353,557788,363095,103211,6771851,1931282,1931282,1753731.56,1782124.86
Swap_3,2016-09-16,0.612022,1967520,539124,99840,95849,8424678,1964103,1964103,1766879.80,1793498.51
Swap_3,2016-09-30,0.650273,1915347,536155,328986,58873,6930312,1911801,1964103,1775404.57,1803534.10
Swap_3,2016-10-14,0.688525,1909072,550427,319737,-30976,6999588,1905285,1964103,1782620.13,1812454.61
Swap_3,2016-10-28,0.726776,1910111,659721,164198,-40810,6585292,1905954,1964103,1789111.39,1820436.13
Swap_3,2016-11-14,0.773224,1974377,752673,208301,-111624,7003703,1969649,1969649,1799956.39,1829399.43
Swap_3,2016-11-25,0.803279,1917107,719551,130043,89363,6656369,1912308,1969649,1804160.01,1834646.85
Swap_3,2016-12-09,0.841530,1891815,747812,242312,35150,7422373,1886818,1969649,1807917.20,1840783.30
Swap_3,2016-12-23,0.879781,1935171,719809,401064,121816,5518677,1929801,1969649,1813216.48,1846386.14
Swap_3,2017-01-06,0.918070,1962059,744816,435176,-34699,5987945,1956353,1969649,1819186.10,1851526.90
Swap_3,2017-01-20,0.956426,2003228,802571,230659,91848,6244565,1997157,1997157,1826323.40,1857367.21
Swap_3,2017-02-03,0.994783,1905894,843015,52454,135937,5468911,1899894,1997157,1829160.08,1862757.15
Swap_3,2017-02-17,1.033139,1901430,854185,138156,108949,5955418,1895182,1997157,1831611.19,1867746.87
Swap_3,2017-03-03,1.071495,1855063,889341,151771,60875,7162968,1848674,1997157,1832222.00,1872379.36
Swap_3,2017-03-17,1.109851,1924645,960346,462722,-110028,6299477,1917713,1997157,1835176.53,1876691.66
Swap_3,2017-03-31,1.148207,1999818,965649,217114,141730,6781884,1992299,1997157,1840425.24,1880715.85
Swap_3,2017-04-18,1.197522,2033293,979288,212146,-92530,8221831,2025235,2025235,1848035.89,1886667.29
Swap_3,2017-04-28,1.224920,1944151,963918,214809,-201039,7176427,1936228,2025235,1850008.43,1889766.57
Swap_3,2017-05-12,1.263276,1943274,982242,204914,-98222,8375633,1935055,2025235,1852590.65,1893879.74
Swap_3,2017-05-26,1.301632,2041734,1042305,174367,-39559,8439132,2032832,2032832,1857901.95,1897974.34
Swap_3,2017-06-09,1.339988,2162193,1120052,231904,58453,8774505,2152483,2152483,1866334.11,1905259.45
Swap_3,2017-06-23,1.378344,2148554,1090345,196362,22150,8783633,2138623,2152483,1873911.29,1912139.10
Swap_3,2017-07-07,1.416700,2195140,1136723,138260,-136250,9296198,2184706,2184706,1882325.85,1919518.67
Swap_3,2017-07-21,1.455057,2300067,1202838,99281,44198,8591846,2288833,2288833,1893041.63,1929254.03
Swap_3,2017-08-04,1.493413,2087938,1085110,468698,-71214,7478684,2077468,2288833,1897778.34,1938489.31
Swap_3,2017-08-18,1.531769,2052304,1091953,97817,-193967,7084496,2041737,2288833,1901383.12,1947262.07
Swap_3,2017-09-01,1.570125,2149062,1129585,372879,-107511,6977892,2137702,2288833,1907156.09,1955606.23
Swap_3,2017-09-15,1.608481,2130887,1113355,135591,12081,6175851,2119331,2288833,1912215.66,1963552.43
Swap_3,2017-09-29,1.646837,2243676,1159045,-224583,-103616,7745221,2231202,2288833,1919645.11,1971128.48
Swap_3,2017-10-13,1.685194,2178792,1153668,551795,95210,8063686,2166380,2288833,1925260.97,1978359.67
Swap_3,2017-10-27,1.723550,2019252,1115019,329553,38913,8025696,2007473,2288833,1927090.54,1985269.00
Swap_3,2017-11-13,1.770125,2072939,1149850,362288,72764,8686894,2060491,2288833,1930600.55,1993256.35
Swap_3,2017-11-24,1.800262,2029752,1121810,396078,33388,9419776,2017301,2288833,1932051.95,1998204.41
Swap_3,2017-12-08,1.838618,2041664,1154218,362911,32295,9444820,2028806,2288833,1934070.39,2004267.34
Swap_3,2017-12-22,1.876974,1973474,1131213,113706,98717,9589878,1960722,2288833,1934615.01,2010082.48
Swap_3,2018-01-05,1.915330,2015997,1160292,198180,167474,8510499,2002640,2288833,1935977.28,2015664.71
Swap_3,2018-01-19,1.953687,2088758,1214014,241377,162078,9052323,2074577,2288833,1938698.37,2021027.75
Swap_3,2018-02-02,1.992043,2014440,1261469,133304,291200,8779002,2000433,2288833,1939887.06,2026184.26
Swap_3,2018-02-16,2.030399,2091276,1266940,194916,235157,9433497,2076437,2288833,1942466.61,2031145.95
Swap_3,2018-03-02,2.068755,2097726,1286873,87886,262457,10040392,2082650,2288833,1945065.71,2035923.66
Swap_3,2018-03-16,2.107111,2075998,1289503,316448,213612,9915044,2060891,2288833,1947174.10,2040527.42
Swap_3,2018-04-03,2.156426,2066451,1297272,83825,193201,9164701,2051172,2288833,1949552.43,2046205.90
Swap_3,2018-04-13,2.183824,2104563,1303543,1582518,201806,10082075,2088866,2288833,1951300.20,2049249.80
Swap_3,2018-04-27,2.222180,2062694,1361147,-168567,237802,10291997,2047123,2288833,1952954.15,2053385.15
Swap_3,2018-05-11,2.260536,2093892,1379969,135863,26118,11120361,2077895,2288833,1955074.12,2057380.18
Swap_3,2018-05-25,2.298892,2103329,1380970,141538,216475,12129860,2087069,2288833,1957276.41,2061241.89
Swap_3,2018-06-08,2.337248,2078920,1379446,65277,-682134,12687364,2062660,2288833,1959005.85,2064976.85
Swap_3,2018-06-22,2.375604,2077094,1381522,17025,37610,12112141,2060661,2288833,1960647.16,2068591.21
Swap_3,2018-07-06,2.413961,2161474,1427261,230278,52035,12542577,2144177,2288833,1963563.32,2072090.70
Swap_3,2018-07-20,2.452317,2214559,1483833,57326,71896,12771627,2196636,2288833,1967208.77,2075480.73
Swap_3,2018-08-03,2.490673,2067523,1462589,-207809,126298,11230144,2050603,2288833,1968493.03,2078766.34
Swap_3,2018-08-17,2.529029,2101599,1501273,-1847,170863,11157011,2084210,2288833,1970248.04,2081952.29
Swap_3,2018-08-31,2.567385,2110942,1519378,133632,170448,11409648,2093284,2288833,1972086.17,2085043.05
