#Portfolio,ProductClass,RiskClass,MarginType,Bucket,SimmSide,Regulation,InitialMargin,Currency,CalculationCurrency
CRIF_20201228,RatesFX,InterestRate,Delta,All,Call,"ESA,USPR",230752.532522895,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,USD,Call,"ESA,USPR",230752.532522895,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,All,Call,"ESA,USPR",42860.087540115,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,USD,Call,"ESA,USPR",42860.087540115,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,All,Call,"ESA,USPR",5424.336378932,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,USD,Call,"ESA,USPR",211.416648767,USD,USD
CRIF_20201228,RatesFX,InterestRate,All,All,Call,"ESA,USPR",279036.956441942,USD,USD
CRIF_20201228,RatesFX,All,Delta,All,Call,"ESA,USPR",230752.532522895,USD,USD
CRIF_20201228,RatesFX,All,Vega,All,Call,"ESA,USPR",42860.087540115,USD,USD
CRIF_20201228,RatesFX,All,Curvature,All,Call,"ESA,USPR",5424.336378932,USD,USD
CRIF_20201228,RatesFX,All,All,All,Call,"ESA,USPR",279036.956441942,USD,USD
CRIF_20201228,All,InterestRate,Delta,All,Call,"ESA,USPR",230752.532522895,USD,USD
CRIF_20201228,All,InterestRate,Vega,All,Call,"ESA,USPR",42860.087540115,USD,USD
CRIF_20201228,All,InterestRate,Curvature,All,Call,"ESA,USPR",5424.336378932,USD,USD
CRIF_20201228,All,InterestRate,All,All,Call,"ESA,USPR",279036.956441942,USD,USD
CRIF_20201228,All,All,Delta,All,Call,"ESA,USPR",230752.532522895,USD,USD
CRIF_20201228,All,All,Vega,All,Call,"ESA,USPR",42860.087540115,USD,USD
CRIF_20201228,All,All,Curvature,All,Call,"ESA,USPR",5424.336378932,USD,USD
CRIF_20201228,All,All,All,All,Call,"ESA,USPR",279036.956441942,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,All,Post,"CFTC,SEC",230752.532522895,USD,USD
CRIF_20201228,RatesFX,InterestRate,Delta,USD,Post,"CFTC,SEC",230752.532522895,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,All,Post,"CFTC,SEC",42860.087540115,USD,USD
CRIF_20201228,RatesFX,InterestRate,Vega,USD,Post,"CFTC,SEC",42860.087540115,USD,USD
CRIF_20201228,RatesFX,InterestRate,Curvature,USD,Post,"CFTC,SEC",211.416648767,USD,USD
CRIF_20201228,RatesFX,InterestRate,All,All,Post,"CFTC,SEC",273612.620063010,USD,USD
CRIF_20201228,RatesFX,All,Delta,All,Post,"CFTC,SEC",230752.532522895,USD,USD
CRIF_20201228,RatesFX,All,Vega,All,Post,"CFTC,SEC",42860.087540115,USD,USD
CRIF_20201228,RatesFX,All,All,All,Post,"CFTC,SEC",273612.620063010,USD,USD
CRIF_20201228,All,InterestRate,Delta,All,Post,"CFTC,SEC",230752.532522895,USD,USD
CRIF_20201228,All,InterestRate,Vega,All,Post,"CFTC,SEC",42860.087540115,USD,USD
CRIF_20201228,All,InterestRate,All,All,Post,"CFTC,SEC",273612.620063010,USD,USD
CRIF_20201228,All,All,Delta,All,Post,"CFTC,SEC",230752.532522895,USD,USD
CRIF_20201228,All,All,Vega,All,Post,"CFTC,SEC",42860.087540115,USD,USD
CRIF_20201228,All,All,All,All,Post,"CFTC,SEC",273612.620063010,USD,USD
