#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,475813.59,546270.75,1688515.02,1201367.94,475791.66,1201477.63,475791.66,1201477.63
CPTY_A,2016-03-04,0.076503,475068.75,378877.72,2176751.55,1130773.61,475009.37,1201477.63,475400.51,1201477.63
CPTY_A,2016-03-18,0.114754,708910.19,409660.47,2122672.25,1226788.43,708756.48,1201477.63,553185.84,1201477.63
CPTY_A,2016-04-01,0.153005,466250.97,480486.63,2384607.24,1525850.45,466107.72,1201477.63,531416.31,1201477.63
CPTY_A,2016-04-15,0.191257,445323.66,437270.34,1505894.27,1511366.18,445144.30,1201477.63,514161.91,1201477.63
CPTY_A,2016-04-29,0.229508,360445.75,600558.94,1604886.03,1519091.16,360259.46,1201477.63,488511.50,1201477.63
CPTY_A,2016-05-13,0.267760,396546.66,387003.00,1473381.55,1278559.19,396296.98,1201477.63,475338.00,1201477.63
CPTY_A,2016-05-27,0.306011,470225.88,523911.13,2197442.12,1287681.34,469878.98,1201477.63,474655.62,1201477.63
CPTY_A,2016-06-10,0.344262,504991.91,489566.34,1973882.75,1233491.96,504564.77,1201477.63,477978.86,1201477.62
CPTY_A,2016-06-24,0.382514,516173.25,471342.34,2150755.17,1248371.05,515664.10,1201477.63,481747.38,1201477.62
CPTY_A,2016-07-08,0.420765,389817.66,376022.94,1549268.99,1292637.78,389378.34,1201477.63,473350.20,1201477.62
CPTY_A,2016-07-22,0.459016,446341.06,595057.63,2072756.87,1305876.84,445796.33,1201477.63,471054.04,1201477.63
CPTY_A,2016-08-05,0.497268,427373.00,420712.41,1873420.88,1156655.72,426819.50,1201477.63,467651.38,1201477.63
CPTY_A,2016-08-19,0.535519,392428.88,393434.78,1574534.11,1162780.03,391869.35,1201477.63,462238.38,1201477.63
CPTY_A,2016-09-02,0.573770,438375.34,478592.66,1792834.02,1161275.78,437679.34,1201477.63,460601.11,1201477.63
CPTY_A,2016-09-16,0.612022,446153.28,528194.88,1886396.02,1120471.94,445378.63,1201477.63,459649.71,1201477.63
CPTY_A,2016-09-30,0.650273,341376.19,383494.03,1469630.11,1037942.94,340744.06,1201477.63,452655.26,1201477.63
CPTY_A,2016-10-14,0.688525,520521.59,543412.94,2434046.73,995202.96,519489.06,1201477.63,456368.25,1201477.63
CPTY_A,2016-10-28,0.726776,337487.84,440117.00,1832316.23,971652.31,336753.35,1201477.63,450072.73,1201477.63
CPTY_A,2016-11-14,0.773224,1151.21,437.69,4533.35,867867.80,1148.46,1201477.63,423105.54,1201477.63
CPTY_A,2016-11-25,0.803279,410660.47,383360.03,2430290.73,867833.97,409632.48,1201477.63,422601.45,1201477.63
CPTY_A,2016-12-09,0.841530,436687.81,474321.38,1689140.51,894392.15,435534.36,1201477.63,423189.31,1201477.63
CPTY_A,2016-12-23,0.879781,439416.59,429592.97,2083304.61,855816.15,438197.12,1201477.63,423841.82,1201477.63
CPTY_A,2017-01-06,0.918070,423027.53,435194.59,2021305.35,864543.72,421797.40,1201477.63,423756.56,1201477.63
CPTY_A,2017-01-20,0.956426,435199.25,492764.50,1395914.45,851370.85,433880.53,1201477.63,424162.57,1201477.63
CPTY_A,2017-02-03,0.994783,313169.59,437819.47,1165173.12,792644.49,312183.67,1201477.63,419844.96,1201477.63
CPTY_A,2017-02-17,1.033139,400409.56,429472.41,2481081.10,666868.28,399093.73,1201477.63,419074.55,1201477.63
CPTY_A,2017-03-03,1.071495,381623.84,551471.13,1689807.20,636630.06,380309.49,1201477.63,417686.88,1201477.63
CPTY_A,2017-03-17,1.109851,519693.94,326596.22,1516926.38,465475.72,517822.02,1201477.63,421147.53,1201477.63
CPTY_A,2017-03-31,1.148207,526093.88,481302.56,1846723.01,657180.85,524115.89,1201477.63,424587.21,1201477.62
CPTY_A,2017-04-18,1.197522,1813.66,428.83,12580.83,621973.71,1806.47,1201477.63,407176.71,1201477.62
CPTY_A,2017-04-28,1.224920,313581.91,436230.81,1272333.28,622031.81,312303.94,1201477.63,405054.73,1201477.62
CPTY_A,2017-05-12,1.263276,415894.44,404596.59,2008314.86,498227.49,414135.49,1201477.63,405330.45,1201477.62
CPTY_A,2017-05-26,1.301632,383388.13,369296.28,1665388.55,508386.91,381716.45,1201477.63,404634.60,1201477.62
CPTY_A,2017-06-09,1.339988,545179.00,465974.06,1693228.95,521379.94,542730.53,1201477.63,408587.49,1201477.62
CPTY_A,2017-06-23,1.378344,406041.09,397502.69,1516022.82,599678.64,404164.34,1201477.63,408464.40,1201477.62
CPTY_A,2017-07-07,1.416700,412495.69,425558.03,1802992.65,607184.27,410535.09,1201477.63,408520.47,1201477.62
CPTY_A,2017-07-21,1.455057,400643.97,312062.44,1801676.00,592933.21,398687.29,1201477.63,408261.26,1201477.62
CPTY_A,2017-08-04,1.493413,389413.34,461968.03,2080334.05,680379.64,387460.54,1201477.63,407727.02,1201477.62
CPTY_A,2017-08-18,1.531769,467547.72,536477.31,1749995.20,606429.58,465140.32,1201477.63,409164.68,1201477.62
CPTY_A,2017-09-01,1.570125,495589.13,459796.00,1746875.61,535887.38,492969.50,1201477.63,411211.92,1201477.62
CPTY_A,2017-09-15,1.608481,411724.28,432688.91,1495767.83,569887.96,409491.62,1201477.63,411170.90,1201477.62
CPTY_A,2017-09-29,1.646837,407804.88,347265.00,1700777.52,547120.16,405537.66,1201477.63,411039.70,1201477.62
CPTY_A,2017-10-13,1.685194,449922.25,461498.06,1885381.30,605690.57,447359.34,1201477.63,411866.36,1201477.62
CPTY_A,2017-10-27,1.723550,384562.78,510941.06,1640783.78,592005.75,382319.58,1201477.63,411208.82,1201477.62
CPTY_A,2017-11-13,1.770125,2945.33,854.92,11314.82,394342.68,2927.65,1201477.63,400466.17,1201477.62
CPTY_A,2017-11-24,1.800262,404504.91,448647.50,2152055.15,394544.90,402023.75,1201477.63,400492.24,1201477.62
CPTY_A,2017-12-08,1.838618,404484.88,394287.53,1672225.29,348525.44,401937.55,1201477.63,400522.39,1201477.62
CPTY_A,2017-12-22,1.876974,295291.81,423027.72,1373005.34,356949.73,293383.77,1201477.63,398333.00,1201477.62
