#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,92293.670836,92430.123211,0.000000,78874.341803,CPTY_A,0.038251
1,2016-03-04,14,93104.062550,92925.747401,0.000000,108023.787677,CPTY_A,0.076503
2,2016-03-18,14,87931.481995,84809.111648,0.000000,97848.146164,CPTY_A,0.114754
3,2016-04-01,14,103381.707226,102877.696605,0.000000,118001.526385,CPTY_A,0.153005
4,2016-04-15,14,79897.976069,79300.506526,0.000000,79310.128099,CPTY_A,0.191257
5,2016-04-29,14,87983.578202,86958.574143,0.000000,107246.907955,CPTY_A,0.229508
6,2016-05-13,14,83026.464315,83043.261869,0.000000,73212.776503,CPTY_A,0.267760
7,2016-05-27,14,94854.553498,94542.661728,0.000000,92469.091565,CPTY_A,0.306011
8,2016-06-10,14,106335.041941,102882.997319,0.000000,158905.212462,CPTY_A,0.344262
9,2016-06-24,14,88702.923047,88418.608604,0.000000,92527.084548,CPTY_A,0.382514
10,2016-07-08,14,102917.125147,96918.720231,0.000000,129101.889173,CPTY_A,0.420765
11,2016-07-22,14,79348.491736,78032.575395,0.000000,67999.791437,CPTY_A,0.459016
12,2016-08-05,14,88240.768563,83227.001184,0.000000,78698.837628,CPTY_A,0.497268
13,2016-08-19,14,94919.783144,91689.535250,0.000000,123464.221630,CPTY_A,0.535519
14,2016-09-02,14,87094.174526,82938.787291,0.000000,97357.480928,CPTY_A,0.573770
15,2016-09-16,14,82512.719193,81081.737634,0.000000,86159.765661,CPTY_A,0.612022
16,2016-09-30,14,87661.076333,85621.412756,0.000000,80628.911327,CPTY_A,0.650273
17,2016-10-14,14,96825.778244,92464.464888,0.000000,102748.424500,CPTY_A,0.688525
18,2016-10-28,17,90424.400323,88841.348896,0.000000,63980.066803,CPTY_A,0.726776
19,2016-11-14,11,83583.972264,81791.915518,0.000000,114016.139950,CPTY_A,0.773224
20,2016-11-25,14,100920.906445,92297.804285,0.000000,137819.839082,CPTY_A,0.803279
21,2016-12-09,14,86940.285549,79936.914430,0.000000,90091.668899,CPTY_A,0.841530
22,2016-12-23,14,103944.550379,96213.081550,0.000000,138573.807970,CPTY_A,0.879781
23,2017-01-06,14,102935.810181,92209.030224,0.000000,156207.600280,CPTY_A,0.918070
24,2017-01-20,14,85507.136219,84434.754422,0.000000,77344.798434,CPTY_A,0.956426
