#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CommodityForward_Gold_1Y,DiscountCurve/USD/1/1Y,Up,1398.71,0.000100,#N/A,1398.57,-0.14
CommodityForward_Gold_1Y,DiscountCurve/USD/1/1Y,Down,1398.71,0.000100,#N/A,1398.85,0.14
CommodityForward_Gold_1Y,CommodityCurve/COMDTY_GOLD_USD/0/1Y,Up,1398.71,11.605933,#N/A,-10141.56,-11540.27
CommodityForward_Gold_1Y,CommodityCurve/COMDTY_GOLD_USD/0/1Y,Down,1398.71,11.605933,#N/A,12938.97,11540.27
CommodityForward_Gold_Apr_17,DiscountCurve/USD/1/1Y,Up,-8.90,0.000100,#N/A,-8.90,0.00
CommodityForward_Gold_Apr_17,DiscountCurve/USD/2/2Y,Up,-8.90,0.000100,#N/A,-8.90,0.00
CommodityForward_Gold_Apr_17,DiscountCurve/USD/1/1Y,Down,-8.90,0.000100,#N/A,-8.91,0.00
CommodityForward_Gold_Apr_17,DiscountCurve/USD/2/2Y,Down,-8.90,0.000100,#N/A,-8.91,0.00
CommodityForward_Gold_Apr_17,CommodityCurve/COMDTY_GOLD_USD/0/1Y,Up,-8.90,11.605933,#N/A,5432.87,5441.78
CommodityForward_Gold_Apr_17,CommodityCurve/COMDTY_GOLD_USD/1/5Y,Up,-8.90,12.003867,#N/A,315.89,324.80
CommodityForward_Gold_Apr_17,CommodityCurve/COMDTY_GOLD_USD/0/1Y,Down,-8.90,11.605933,#N/A,-5450.68,-5441.78
CommodityForward_Gold_Apr_17,CommodityCurve/COMDTY_GOLD_USD/1/5Y,Down,-8.90,12.003867,#N/A,-333.70,-324.80
CommodityForward_WTI_2Y,DiscountCurve/USD/2/2Y,Up,-1669620.66,0.000100,#N/A,-1669286.31,334.35
CommodityForward_WTI_2Y,DiscountCurve/USD/2/2Y,Down,-1669620.66,0.000100,#N/A,-1669955.07,-334.42
CommodityForward_WTI_2Y,CommodityCurve/COMDTY_WTI_USD/0/1Y,Up,-1669620.66,0.408686,#N/A,-1341516.12,328104.54
CommodityForward_WTI_2Y,CommodityCurve/COMDTY_WTI_USD/1/5Y,Up,-1669620.66,0.491389,#N/A,-1560352.27,109268.39
CommodityForward_WTI_2Y,CommodityCurve/COMDTY_WTI_USD/0/1Y,Down,-1669620.66,0.408686,#N/A,-1997725.19,-328104.54
CommodityForward_WTI_2Y,CommodityCurve/COMDTY_WTI_USD/1/5Y,Down,-1669620.66,0.491389,#N/A,-1778889.05,-109268.39
CommodityForward_WTI_Oct_21,DiscountCurve/USD/4/5Y,Up,81241.18,0.000100,#N/A,81215.45,-25.73
CommodityForward_WTI_Oct_21,DiscountCurve/USD/5/7Y,Up,81241.18,0.000000,#N/A,81220.29,-20.89
CommodityForward_WTI_Oct_21,DiscountCurve/USD/4/5Y,Down,81241.18,0.000100,#N/A,81266.92,25.74
CommodityForward_WTI_Oct_21,DiscountCurve/USD/5/7Y,Down,81241.18,0.000000,#N/A,81262.08,20.90
CommodityForward_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/1/5Y,Up,81241.18,0.491389,#N/A,-116486.49,-197727.68
CommodityForward_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/2/10Y,Up,81241.18,0.521287,#N/A,45159.57,-36081.62
CommodityForward_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/1/5Y,Down,81241.18,0.491389,#N/A,278968.86,197727.68
CommodityForward_WTI_Oct_21,CommodityCurve/COMDTY_WTI_USD/2/10Y,Down,81241.18,0.521287,#N/A,117322.80,36081.62
CommodityOption_Gold_Apr_17,DiscountCurve/USD/1/1Y,Up,-23540.49,0.000100,#N/A,-23538.66,1.83
CommodityOption_Gold_Apr_17,DiscountCurve/USD/2/2Y,Up,-23540.49,0.000100,#N/A,-23539.43,1.06
CommodityOption_Gold_Apr_17,DiscountCurve/USD/1/1Y,Down,-23540.49,0.000100,#N/A,-23542.32,-1.83
CommodityOption_Gold_Apr_17,DiscountCurve/USD/2/2Y,Down,-23540.49,0.000100,#N/A,-23541.54,-1.06
