#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY,2020-11-02,0.000000,23760.17,0.00,23760.17,23760.17,23760.17,23760.17,23760.17,23760.17
CPTY,2021-02-02,0.251606,1347381.02,1117494.81,5865121.25,0.00,1345725.34,1345725.34,1345725.34,1345725.34
CPTY,2021-05-04,0.500921,1995932.79,1786152.42,8882818.50,0.00,1990741.89,1990741.89,1666758.86,1666758.86
CPTY,2021-08-02,0.747496,1989762.40,1877424.16,8849378.88,0.00,1981908.58,1990741.89,1770716.80,1773630.63
CPTY,2021-11-02,0.999551,2659704.37,2720729.32,11456528.63,0.00,2645796.40,2645796.40,1991383.92,1993562.97
CPTY,2022-02-02,1.251606,2849534.16,2531081.23,11746886.38,0.00,2829942.80,2829942.80,2160257.22,2161997.45
CPTY,2022-05-03,1.498181,2687667.40,2316440.54,12359320.75,0.00,2665182.86,2829942.80,2243359.47,2271929.99
CPTY,2022-08-02,1.747496,3162489.49,2806445.83,11980162.63,0.00,3131315.42,3131315.42,2370044.05,2394538.42
CPTY,2022-11-02,1.999551,3328249.77,2961248.55,16152405.38,0.00,3290196.83,3290196.83,2486034.56,2507441.27
CPTY,2023-02-02,2.251606,3551040.88,3006582.64,13355085.50,0.00,3505813.52,3505813.52,2600193.17,2619203.52
CPTY,2023-05-02,2.495441,3677591.67,3208145.50,12434493.31,0.00,3626178.40,3626178.40,2700444.67,2717597.48
CPTY,2023-08-02,2.747496,3695070.89,3413091.61,12835275.88,0.00,3638668.57,3638668.57,2786517.16,2802096.37
CPTY,2023-11-02,2.999551,3708925.72,3632283.91,11911231.50,0.00,3647555.64,3647555.64,2858870.96,2873141.03
CPTY,2024-02-02,3.251366,3977725.34,3530324.69,13444163.50,0.00,3906713.00,3906713.00,2940025.34,2953190.21
CPTY,2024-05-02,3.497268,3818386.48,3414521.14,12063073.88,0.00,3745341.69,3906713.00,2996649.14,3020234.78
