#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
trade_02,2020-11-02,0.000000,0,0,0,0,0,0,0,0.00,0.00
trade_02,2021-02-02,0.251606,403129,320103,0,0,1585411,402634,402634,402634.07,402634.07
trade_02,2021-05-04,0.500921,643845,585056,0,0,2252796,642171,642171,521854.64,521854.64
trade_02,2021-08-02,0.747496,620441,583858,0,0,2441889,617992,642171,553567.26,561543.06
trade_02,2021-11-02,0.999551,745976,713484,0,0,3061042,742075,742075,601102.84,607067.40
trade_02,2022-02-02,1.251606,792222,688645,0,0,3363931,786775,786775,638494.54,643257.92
trade_02,2022-05-03,1.498181,797582,695847,0,0,3330667,790910,790910,663579.52,667558.93
trade_02,2022-08-02,1.747496,888782,803510,0,0,3527592,880021,880021,694459.19,697870.86
trade_02,2022-11-02,1.999551,960628,862566,0,0,4029400,949645,949645,726626.80,729608.41
trade_02,2023-02-02,2.251606,1135325,999861,0,0,3665650,1120865,1120865,770759.64,773407.47
trade_02,2023-05-02,2.495441,1225402,1122284,0,0,4413070,1208270,1208270,813509.87,815898.98
trade_02,2023-08-02,2.747496,1332450,1236607,0,0,4854426,1312111,1312111,859251.44,861421.37
trade_02,2023-11-02,2.999551,1485528,1388825,0,0,6115554,1460948,1460948,909812.48,911800.07
trade_02,2024-02-02,3.251366,1583282,1453072,0,0,6858470,1555016,1555016,959782.90,961616.55
trade_02,2024-05-02,3.497268,1486829,1368077,0,0,6160532,1458386,1555016,994840.93,1003339.96
trade_02,2024-08-02,3.748634,1494091,1435135,0,0,5821435,1463561,1555016,1026271.13,1040332.82
trade_02,2024-11-04,4.005464,1481460,1443625,0,0,5587071,1449217,1555016,1053390.45,1073334.34
trade_02,2025-02-03,4.254345,1545343,1448084,0,0,5929489,1510020,1555016,1080103.43,1101512.91
trade_02,2025-05-02,4.495441,1616775,1552413,0,0,6267236,1578114,1578114,1106812.33,1127073.60
trade_02,2025-08-04,4.752976,1639623,1595041,0,0,5958232,1598571,1598571,1133457.68,1152621.11
trade_02,2025-11-03,5.002291,1540924,1503654,0,0,5970756,1500666,1598571,1151759.42,1174847.34
trade_02,2026-02-02,5.251606,1619809,1468322,0,0,6132838,1576141,1598571,1171906.54,1194963.22
trade_02,2026-05-05,5.503660,1663019,1493220,0,0,6977382,1616796,1616796,1192281.46,1214282.20
trade_02,2026-08-03,5.750236,1710115,1592943,0,0,6875848,1661185,1661185,1212388.49,1233445.82
trade_02,2026-11-02,5.999551,1716181,1645133,0,0,7292183,1665662,1665662,1231224.54,1251406.81
trade_02,2027-02-02,6.251606,1708147,1628548,0,0,7224978,1656807,1665662,1248383.35,1268108.91
trade_02,2027-05-04,6.500921,1768643,1795469,0,0,6979502,1714414,1714414,1266255.96,1285225.04
trade_02,2027-08-02,6.747496,1853511,1819503,0,0,8302237,1795572,1795572,1285598.89,1303874.78
trade_02,2027-11-02,6.999551,1995557,1886767,0,0,8716369,1931958,1931958,1308874.38,1326492.15
trade_02,2028-02-02,7.251366,2014023,1914291,0,0,9171196,1949123,1949123,1331108.05,1348114.01
trade_02,2028-05-02,7.497268,2055522,1837794,0,0,9237436,1988591,1988591,1352672.71,1369120.90
trade_02,2028-08-02,7.748634,1977827,1747835,0,0,8068082,1912743,1988591,1370841.42,1389216.54
trade_02,2028-11-02,8.000000,1961758,1720813,0,0,8088204,1896526,1988591,1387358.84,1408049.34
trade_02,2029-02-02,8.251606,1938196,1718771,0,0,7537228,1873579,1988591,1402184.52,1425751.05
trade_02,2029-05-02,8.495441,2040435,1778350,0,0,8008426,1972266,1988591,1418546.96,1441905.64
trade_02,2029-08-02,8.747496,2090339,1825643,0,0,8058425,2020351,2020351,1435887.64,1458573.25
trade_02,2029-11-02,8.999551,2044904,1893501,0,0,8210525,1976289,2020351,1451022.93,1474307.23
trade_02,2030-02-04,9.257085,1963260,1872956,0,0,8816733,1897790,2020351,1463452.09,1489498.30
trade_02,2030-05-02,9.495441,1993871,1840480,0,0,8799271,1927784,2020351,1475107.84,1502823.85
trade_02,2030-08-02,9.747496,1954856,1842012,0,0,8874005,1890482,2020351,1485848.76,1516206.28
trade_02,2030-11-04,10.005030,1948781,1898765,0,0,9287549,1885035,2020351,1496124.01,1529183.20
trade_02,2031-02-03,10.254345,2000036,1935774,0,0,10063835,1935533,2020351,1506807.41,1541125.02
trade_02,2031-05-02,10.495441,2037807,1969496,0,0,9396022,1972998,2020351,1517516.50,1552133.55
trade_02,2031-08-04,10.752976,2054303,2023301,0,0,9764264,1989953,2020351,1528831.37,1563347.38
trade_02,2031-11-03,11.002291,2120714,1978298,0,0,11694406,2055266,2055266,1540760.53,1574494.39
