#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility
CDS,CreditDefaultSwap,1,0,2016-03-21,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2015-12-21,2016-03-21,-7538.8889,#N/A,#N/A,10000000.0000,0.9999692524,-14913.4303223696,1.0000000000,-14913.4303223696,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,2,0,2016-06-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2016-03-21,2016-06-20,0.0000,#N/A,#N/A,10000000.0000,0.9999070768,-14912.5030420518,1.0000000000,-14912.5030420518,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,3,0,2016-09-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2016-06-20,2016-09-20,0.0000,#N/A,#N/A,10000000.0000,0.9999537035,-15077.0797290092,1.0000000000,-15077.0797290092,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,4,0,2016-12-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2016-09-20,2016-12-20,0.0000,#N/A,#N/A,10000000.0000,1.0001287654,-14915.8092822405,1.0000000000,-14915.8092822405,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,5,0,2017-03-20,Interest,-14750.0000,EUR,0.0059000000,0.2500000000,2016-12-20,2017-03-20,0.0000,#N/A,#N/A,10000000.0000,1.0003019338,-14754.4535232608,1.0000000000,-14754.4535232608,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,6,0,2017-06-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2017-03-20,2017-06-20,0.0000,#N/A,#N/A,10000000.0000,1.0004789813,-15084.9997514443,1.0000000000,-15084.9997514443,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,7,0,2017-09-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2017-06-20,2017-09-20,0.0000,#N/A,#N/A,10000000.0000,1.0006560602,-15087.6697071470,1.0000000000,-15087.6697071470,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,8,0,2017-12-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2017-09-20,2017-12-20,0.0000,#N/A,#N/A,10000000.0000,1.0008312451,-14926.2859857564,1.0000000000,-14926.2859857564,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,9,0,2018-03-20,Interest,-14750.0000,EUR,0.0059000000,0.2500000000,2017-12-20,2018-03-20,0.0000,#N/A,#N/A,10000000.0000,1.0008804404,-14762.9864955312,1.0000000000,-14762.9864955312,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,10,0,2018-06-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2018-03-20,2018-06-20,0.0000,#N/A,#N/A,10000000.0000,1.0007648632,-15089.3102157396,1.0000000000,-15089.3102157396,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,11,0,2018-09-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2018-06-20,2018-09-20,0.0000,#N/A,#N/A,10000000.0000,1.0006492995,-15087.5677706113,1.0000000000,-15087.5677706113,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,12,0,2018-12-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2018-09-20,2018-12-20,0.0000,#N/A,#N/A,10000000.0000,1.0005350049,-14921.8678927923,1.0000000000,-14921.8678927923,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,13,0,2019-03-20,Interest,-14750.0000,EUR,0.0059000000,0.2500000000,2018-12-20,2019-03-20,0.0000,#N/A,#N/A,10000000.0000,1.0001653800,-14752.4393545435,1.0000000000,-14752.4393545435,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,14,0,2019-06-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2019-03-20,2019-06-20,0.0000,#N/A,#N/A,10000000.0000,0.9994122137,-15068.9152673161,1.0000000000,-15068.9152673161,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,15,0,2019-09-20,Interest,-15077.7778,EUR,0.0059000000,0.2555555556,2019-06-20,2019-09-20,0.0000,#N/A,#N/A,10000000.0000,0.9986596147,-15057.5677460263,1.0000000000,-15057.5677460263,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,16,0,2019-12-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2019-09-20,2019-12-20,0.0000,#N/A,#N/A,10000000.0000,0.9979157536,-14882.8046696558,1.0000000000,-14882.8046696558,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,17,0,2020-03-20,Interest,-14913.8889,EUR,0.0059000000,0.2527777778,2019-12-20,2020-03-20,0.0000,#N/A,#N/A,10000000.0000,0.9969501703,-14868.4040675537,1.0000000000,-14868.4040675537,EUR,#N/A,#N/A,#N/A,#N/A
CDS,CreditDefaultSwap,18,0,2020-06-22,Interest,-15405.5556,EUR,0.0059000000,0.2611111111,2020-03-20,2020-06-22,0.0000,#N/A,#N/A,10000000.0000,0.9956479838,-15338.5103286018,1.0000000000,-15338.5103286018,EUR,#N/A,#N/A,#N/A,#N/A
