#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,27264644.00,0.00,-27264644.34,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,27080380.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,26766694.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,26843232.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,11267.19,25689198.00,0.00,0.00,11496.97,11496.97,2853.07,2853.07
CPTY_A,2017-05-05,1.244098,8064.76,25478954.00,0.00,0.00,8269.44,11496.97,3902.72,4528.19
CPTY_A,2017-08-07,1.501632,252439.59,24368638.00,382242.62,0.00,260191.84,260191.84,47857.05,48375.25
CPTY_A,2017-11-06,1.750947,454791.81,24854076.00,509683.61,0.00,471104.44,471104.44,108122.70,108567.11
CPTY_A,2018-02-05,2.000262,655648.88,23566254.00,6481738.64,0.00,682548.48,682548.48,179719.82,180108.84
CPTY_A,2018-05-08,2.252317,658903.06,23450880.00,0.00,0.00,689413.79,689413.79,236759.23,237104.71
CPTY_A,2018-08-06,2.498892,507667.41,22478028.00,2066531.21,0.00,533810.96,689413.79,266070.47,281735.80
CPTY_A,2018-11-05,2.748207,413538.03,22771668.00,1519658.29,0.00,437015.97,689413.79,281578.50,318720.00
CPTY_A,2019-02-05,3.000262,405311.56,21900142.00,1797902.57,0.00,430495.30,689413.79,294089.14,349862.33
CPTY_A,2019-05-07,3.249577,683733.44,22106500.00,8236456.75,0.00,729860.57,729860.57,327522.53,379016.68
CPTY_A,2019-08-05,3.496152,765277.06,21501162.00,8155908.75,0.00,820959.25,820959.25,362323.45,410185.84
CPTY_A,2019-11-05,3.748207,552555.06,21405884.00,3102245.73,0.00,595766.48,820959.25,378021.74,437809.02
CPTY_A,2020-02-05,4.000000,940869.06,20632584.00,8066764.21,0.00,1019593.93,1019593.93,418407.56,474431.33
CPTY_A,2020-05-05,4.245902,1156447.25,20745514.00,9306603.00,0.00,1259428.89,1259428.89,467115.36,519894.51
CPTY_A,2020-08-05,4.497268,1080508.38,20440262.00,9187681.34,0.00,1182696.92,1259428.89,507111.41,561229.36
CPTY_A,2020-11-05,4.748634,1415379.38,21137600.00,14467588.78,0.00,1557097.15,1557097.15,562691.78,613945.03
CPTY_A,2021-02-05,5.000262,1843979.63,20733958.00,17675690.15,0.00,2038902.76,2038902.76,636979.13,685653.16
CPTY_A,2021-05-05,5.244098,2336024.00,20798142.00,20279591.68,0.00,2595634.60,2595634.60,728051.03,774461.86
CPTY_A,2021-08-05,5.496152,2376296.50,20419078.00,17920212.95,0.00,2653776.70,2653776.70,816365.25,860647.67
CPTY_A,2021-11-05,5.748207,2262353.25,20631248.00,20548115.82,0.00,2539344.97,2653776.70,891916.68,939275.10
CPTY_A,2022-02-07,6.005741,2237178.00,20103590.00,16260783.70,0.00,2524103.36,2653776.70,961907.04,1012795.23
CPTY_A,2022-05-05,6.244098,2480289.50,19804418.00,19537330.81,0.00,2811816.87,2811816.87,1032523.71,1081469.35
CPTY_A,2022-08-05,6.496152,2372633.25,19299558.00,15510869.67,0.00,2703415.44,2811816.87,1097355.36,1148607.92
CPTY_A,2022-11-07,6.753687,2922418.75,19455240.00,21678855.26,0.00,3347109.63,3347109.63,1183143.88,1232442.05
CPTY_A,2023-02-06,7.003002,2945942.25,18958524.00,24459005.51,0.00,3390981.05,3390981.05,1261745.47,1309288.57
CPTY_A,2023-05-05,7.244098,3645899.25,19166592.00,25122687.79,0.00,4217040.31,4217040.31,1360102.71,1406063.49
CPTY_A,2023-08-07,7.501632,3796967.00,18703428.00,24540245.42,0.00,4414537.65,4414537.65,1464962.77,1509345.70
