#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_USD,2016-02-05,0.000000,47748,0,0,0,47748,47748,47748,47747.92,47747.92
Swap_USD,2016-05-06,0.248634,215694,173737,0,0,905941,216785,216785,216785.12,216785.12
Swap_USD,2016-08-05,0.497268,285783,288403,0,0,1028209,288674,288674,252729.36,252729.36
Swap_USD,2016-11-07,0.754098,328478,301325,0,0,1456588,333516,333516,280243.55,280243.55
Swap_USD,2017-02-06,1.003002,352114,360997,0,0,1500606,359294,359294,299860.71,299860.71
Swap_USD,2017-05-05,1.244098,512745,399356,0,0,1787186,525759,525759,343637.85,343637.85
Swap_USD,2017-08-07,1.501632,475324,339681,0,0,1476401,489921,525759,368725.80,374872.07
Swap_USD,2017-11-06,1.750947,545108,400988,0,0,1921292,564660,564660,396624.61,401895.72
Swap_USD,2018-02-05,2.000262,534954,419242,0,0,1715262,556901,564660,416601.71,422182.85
Swap_USD,2018-05-08,2.252317,682809,333389,0,0,2266075,714427,714427,449931.06,454887.62
Swap_USD,2018-08-06,2.498892,667204,362245,0,0,2035343,701563,714427,474760.55,480497.37
Swap_USD,2018-11-05,2.748207,632643,399741,0,0,2003552,668560,714427,492341.92,501719.26
Swap_USD,2019-02-05,3.000262,598882,425257,0,0,2224001,636093,714427,504418.61,519589.02
Swap_USD,2019-05-07,3.249577,693344,399016,0,0,2488286,740120,740120,522502.15,536508.66
Swap_USD,2019-08-05,3.496152,668689,344223,0,0,2685885,717343,740120,536243.84,550868.87
Swap_USD,2019-11-05,3.748207,638828,344460,0,0,2375687,688786,740120,546501.81,563595.38
Swap_USD,2020-02-05,4.000000,639611,349959,0,0,2416025,693129,740120,555731.73,574707.28
Swap_USD,2020-05-05,4.245902,738531,309231,0,0,2181018,804297,804297,570127.38,588003.96
Swap_USD,2020-08-05,4.497268,743929,358505,0,0,2422108,814286,814286,583774.16,600651.56
Swap_USD,2020-11-05,4.748634,718617,360739,0,0,2116020,790570,814286,594720.75,611960.18
Swap_USD,2021-02-05,5.000262,712221,350071,0,0,2270772,787508,814286,604422.40,622141.82
Swap_USD,2021-05-05,5.244098,830080,323909,0,0,2208664,922330,922330,619204.21,636099.73
Swap_USD,2021-08-05,5.496152,798569,355118,0,0,2538654,891818,922330,631706.35,649226.32
Swap_USD,2021-11-05,5.748207,753784,349844,0,0,2778359,846073,922330,641106.18,661201.73
Swap_USD,2022-02-07,6.005741,749913,360244,0,0,2623498,846091,922330,649896.22,672399.27
Swap_USD,2022-05-05,6.244098,853349,319068,0,0,2834110,967412,967412,662016.75,683660.79
Swap_USD,2022-08-05,6.496152,811129,337709,0,0,2742966,924213,967412,672190.12,694670.50
Swap_USD,2022-11-07,6.753687,787562,309506,0,0,2646341,902012,967412,680953.78,705070.77
Swap_USD,2023-02-06,7.003002,764512,349475,0,0,2783285,880005,967412,688040.25,714410.42
Swap_USD,2023-05-05,7.244098,837993,323134,0,0,2711686,969267,969267,697399.96,722892.49
Swap_USD,2023-08-07,7.501632,825791,348897,0,0,2668216,960105,969267,706418.74,731350.64
Swap_USD,2023-11-06,7.750947,808154,327080,0,0,2894966,944314,969267,714070.81,739003.41
Swap_USD,2024-02-05,8.000000,773585,346917,0,0,3105147,908455,969267,720122.31,746171.90
Swap_USD,2024-05-07,8.251366,788158,275564,0,0,2481110,930265,969267,726523.99,752968.19
Swap_USD,2024-08-05,8.497268,752676,298279,0,0,2343319,892793,969267,731335.63,759227.65
Swap_USD,2024-11-05,8.748634,713880,285986,0,0,2247565,851070,969267,734775.83,765262.52
Swap_USD,2025-02-05,9.000262,676263,255679,0,0,1888844,810314,969267,736887.72,770966.06
Swap_USD,2025-05-06,9.246837,716119,253473,0,0,1962073,862327,969267,740232.68,776253.94
Swap_USD,2025-08-05,9.496152,688315,257479,0,0,2044578,833006,969267,742668.37,781321.38
Swap_USD,2025-11-05,9.748207,668436,267546,0,0,1890748,813053,969267,744488.27,786181.00
Swap_USD,2026-02-05,10.000262,616847,255213,0,0,2209540,754108,969267,744730.73,790795.66
Swap_USD,2026-05-05,10.244098,650429,234525,0,0,2315516,799065,969267,746024.03,795043.74
Swap_USD,2026-08-05,10.496152,637767,252688,0,0,2080080,787484,969267,747019.64,799227.55
Swap_USD,2026-11-05,10.748207,597045,254963,0,0,1936077,740942,969267,746877.12,803215.13
Swap_USD,2027-02-05,11.000262,562656,265946,0,0,1993834,701807,969267,745844.40,807019.97
Swap_USD,2027-05-05,11.244098,590682,234600,0,0,2070875,740379,969267,745725.89,810538.41
Swap_USD,2027-08-05,11.496152,571234,241108,0,0,1950106,719635,969267,745153.84,814018.57
Swap_USD,2027-11-05,11.748207,547174,242389,0,0,2073464,692821,969267,744031.05,817349.39
Swap_USD,2028-02-07,12.005464,518341,256396,0,0,1844400,659715,969267,742224.30,820604.74
Swap_USD,2028-05-05,12.245902,552612,193746,0,0,2072232,706746,969267,741527.71,823523.59
Swap_USD,2028-08-07,12.502732,525320,209606,0,0,2022065,675324,969267,740167.76,826517.45
Swap_USD,2028-11-06,12.751366,508853,233970,0,0,2167293,657436,969267,738554.61,829300.88
Swap_USD,2029-02-05,13.000262,473326,230894,0,0,1868325,614604,969267,736181.52,831980.60
Swap_USD,2029-05-08,13.252317,505362,180095,0,0,1849580,659531,969267,734723.66,834591.75
Swap_USD,2029-08-06,13.498892,462440,179463,0,0,1755931,606509,969267,732381.65,837051.78
Swap_USD,2029-11-05,13.748207,424925,182448,0,0,1589323,560103,969267,729257.48,839449.42
Swap_USD,2030-02-05,14.000262,397699,190929,0,0,1562089,526875,969267,725613.88,841786.61
Swap_USD,2030-05-07,14.249577,418004,157357,0,0,1485098,556555,969267,722655.96,844017.05
Swap_USD,2030-08-05,14.496152,390085,158372,0,0,1481613,521958,969267,719242.15,846147.52
