#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,55265,0,0,0,55265,55265,55265,55265.18,55265.18
BermSwp,2016-05-06,0.248634,56174,909,0,0,103709,56458,56458,56458.24,56458.24
BermSwp,2016-08-05,0.497268,56588,1323,0,0,143223,57160,57160,56809.31,56809.31
BermSwp,2016-11-07,0.754098,56007,742,0,0,159490,56866,57160,56828.56,56928.88
BermSwp,2017-02-06,1.003002,55514,249,0,0,138895,56646,57160,56783.30,56986.33
BermSwp,2017-05-05,1.244098,55265,0,0,0,123050,56668,57160,56760.91,57020.06
BermSwp,2017-08-07,1.501632,55265,0,0,0,114476,56962,57160,56795.46,57044.12
BermSwp,2017-11-06,1.750947,55265,0,0,0,110285,57247,57247,56859.81,57073.07
BermSwp,2018-02-05,2.000262,55265,0,0,0,118012,57533,57533,56943.67,57130.35
BermSwp,2018-05-08,2.252317,55622,357,0,0,120181,58198,58198,57084.00,57249.78
BermSwp,2018-08-06,2.498892,55265,0,0,0,138313,58111,58198,57185.35,57343.31
BermSwp,2018-11-05,2.748207,55419,154,0,0,122743,58565,58565,57310.52,57454.15
BermSwp,2019-02-05,3.000262,55382,117,0,0,114935,58823,58823,57437.60,57569.16
BermSwp,2019-05-07,3.249577,55265,0,0,0,111998,58994,58994,57556.98,57678.44
BermSwp,2019-08-05,3.496152,55364,99,0,0,108818,59392,59392,57686.41,57799.31
BermSwp,2019-11-05,3.748207,55715,450,0,0,99456,60072,60072,57846.84,57952.14
BermSwp,2020-02-05,4.000000,55297,32,0,0,108405,59924,60072,57977.60,58085.58
BermSwp,2020-05-05,4.245902,55324,59,0,0,123391,60251,60251,58109.27,58211.00
BermSwp,2020-08-05,4.497268,55513,248,0,0,120259,60764,60764,58257.63,58353.67
BermSwp,2020-11-05,4.748634,55342,77,0,0,128976,60884,60884,58396.64,58487.60
BermSwp,2021-02-05,5.000262,55265,0,0,0,130855,61107,61107,58533.04,58619.42
BermSwp,2021-05-05,5.244098,55265,0,0,0,130490,61407,61407,58666.67,58749.03
BermSwp,2021-08-05,5.496152,55779,514,0,0,145228,62292,62292,58832.94,58911.53
BermSwp,2021-11-05,5.748207,55597,332,0,0,147112,62404,62404,58989.53,59064.67
BermSwp,2022-02-07,6.005741,55586,321,0,0,147598,62716,62716,59149.31,59221.23
BermSwp,2022-05-05,6.244098,55865,600,0,0,151908,63332,63332,59308.99,59378.17
BermSwp,2022-08-05,6.496152,55601,336,0,0,149659,63353,63353,59465.90,59532.39
BermSwp,2022-11-07,6.753687,55368,102,0,0,149610,63414,63414,59616.44,59680.39
BermSwp,2023-02-06,7.003002,55379,114,0,0,159775,63745,63745,59763.42,59825.10
BermSwp,2023-05-05,7.244098,55649,384,0,0,157022,64367,64367,59916.62,59976.25
BermSwp,2023-08-07,7.501632,55381,115,0,0,170464,64388,64388,60070.13,60127.71
BermSwp,2023-11-06,7.750947,55473,208,0,0,158590,64820,64820,60222.90,60278.63
BermSwp,2024-02-05,8.000000,55383,118,0,0,164927,65039,65039,60372.84,60426.83
BermSwp,2024-05-07,8.251366,55622,357,0,0,158199,65651,65651,60533.62,60585.97
BermSwp,2024-08-05,8.497268,55872,607,0,0,171275,66274,66274,60699.73,60750.56
BermSwp,2024-11-05,8.748634,55681,416,0,0,164520,66381,66381,60862.97,60912.34
BermSwp,2025-02-05,9.000262,55303,37,0,0,167028,66265,66381,61014.00,61065.25
BermSwp,2025-05-06,9.246837,55502,237,0,0,175041,66833,66833,61169.18,61219.06
BermSwp,2025-08-05,9.496152,55546,281,0,0,173548,67223,67223,61328.11,61376.69
BermSwp,2025-11-05,9.748207,55597,332,0,0,182969,67626,67626,61490.95,61538.26
BermSwp,2026-02-05,10.000262,55831,566,0,0,175842,68255,68255,61661.43,61707.56
BermSwp,2026-05-05,10.244098,55945,680,0,0,181538,68730,68730,61829.68,61874.71
BermSwp,2026-08-05,10.496152,56870,1605,0,0,182512,70220,70220,62031.17,62075.12
BermSwp,2026-11-05,10.748207,50871,1094,0,0,172097,63132,70220,62056.98,62266.12
BermSwp,2027-02-05,11.000262,51262,1484,0,0,172539,63939,70220,62100.12,62448.37
BermSwp,2027-05-05,11.244098,52158,1463,0,0,172329,65377,70220,62171.17,62616.91
BermSwp,2027-08-05,11.496152,52940,2244,0,0,172990,66693,70220,62270.30,62783.61
BermSwp,2027-11-05,11.748207,46494,2999,0,0,151114,58870,70220,62197.35,62943.15
BermSwp,2028-02-07,12.005464,46900,3405,0,0,151693,59692,70220,62143.67,63099.08
BermSwp,2028-05-05,12.245902,47705,2504,0,0,152911,61010,70220,62121.41,63238.90
BermSwp,2028-08-07,12.502732,47931,2730,0,0,154181,61617,70220,62111.05,63382.30
BermSwp,2028-11-06,12.751366,42262,4345,0,0,130266,54602,70220,61964.63,63515.63
BermSwp,2029-02-05,13.000262,42091,4174,0,0,130387,54654,70220,61824.68,63643.99
BermSwp,2029-05-08,13.252317,43198,3673,0,0,128959,56377,70220,61721.06,63769.06
BermSwp,2029-08-06,13.498892,44024,4499,0,0,127648,57739,70220,61648.32,63886.90
BermSwp,2029-11-05,13.748207,36031,4092,0,0,107890,47494,70220,61391.63,64001.75
BermSwp,2030-02-05,14.000262,35593,3653,0,0,114288,47154,70220,61135.31,64113.70
BermSwp,2030-05-07,14.249577,36936,2999,0,0,117359,49178,70220,60926.10,64220.54
BermSwp,2030-08-05,14.496152,36903,2967,0,0,123438,49379,70220,60729.69,64322.58
BermSwp,2030-11-05,14.748207,30390,4090,0,0,98814,40870,70220,60390.27,64423.38
BermSwp,2031-02-05,15.000262,30485,4185,0,0,100723,41206,70220,60067.91,64520.78
BermSwp,2031-05-06,15.246837,30961,2753,0,0,107355,42056,70220,59776.62,64612.95
BermSwp,2031-08-05,15.496152,30436,2229,0,0,114346,41551,70220,59483.39,64703.16
BermSwp,2031-11-05,15.748207,23434,2846,0,0,96828,32154,70220,59045.99,64791.46
BermSwp,2032-02-05,16.000000,23309,2722,0,0,93653,32146,70220,58622.65,64876.89
BermSwp,2032-05-05,16.245902,23765,1521,0,0,93363,32936,70220,58233.85,64957.76
BermSwp,2032-08-05,16.497268,24011,1767,0,0,89800,33447,70220,57856.18,65037.94
BermSwp,2032-11-05,16.748634,17301,2525,0,0,72251,24222,70220,57351.39,65115.72
BermSwp,2033-02-07,17.005741,17087,2312,0,0,72877,24047,70220,56847.86,65192.89
BermSwp,2033-05-05,17.244098,17666,1071,0,0,69680,24980,70220,56407.37,65262.38
BermSwp,2033-08-05,17.496152,17804,1209,0,0,70019,25302,70220,55959.26,65333.80
BermSwp,2033-11-07,17.753687,11256,2115,0,0,47134,16080,70220,55380.77,65404.68
BermSwp,2034-02-06,18.003002,11295,2154,0,0,52386,16216,70220,54838.39,65471.36
BermSwp,2034-05-05,18.244098,11868,892,0,0,47036,17122,70220,54339.97,65534.12
BermSwp,2034-08-07,18.501632,11961,985,0,0,46546,17345,70220,53825.03,65599.34
BermSwp,2034-11-06,18.750947,5715,2073,0,0,25551,8330,70220,53220.12,65660.78
BermSwp,2035-02-05,19.000262,5711,2069,0,0,26824,8366,70220,52631.55,65720.60
BermSwp,2035-05-08,19.252317,5882,550,0,0,22219,8659,70220,52055.86,65779.51
BermSwp,2035-08-06,19.498892,5930,598,0,0,21838,8774,70220,51508.53,65835.67
BermSwp,2035-11-05,19.748207,618,2432,0,0,4423,918,70220,50869.84,65891.02
BermSwp,2036-02-05,20.000000,645,2460,0,0,4504,965,70220,50241.56,65945.52
BermSwp,2036-05-06,20.248634,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2036-08-05,20.497268,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2036-11-05,20.748634,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2037-02-05,21.000262,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2037-05-05,21.244098,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2037-08-05,21.496152,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2037-11-05,21.748207,0,0,0,0,0,0,70220,0.00,0.00
BermSwp,2038-02-05,22.000262,0,0,0,0,0,0,70220,0.00,0.00
