#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
CAP_EUR,false,DiscountCurve/EUR/5/1Y,0.000100,,0.000000,EUR,-7179.57,0.00,0.00
CAP_EUR,false,DiscountCurve/EUR/6/2Y,0.000100,,0.000000,EUR,-7179.57,0.00,0.00
CAP_EUR,false,DiscountCurve/EUR/7/3Y,0.000100,,0.000000,EUR,-7179.57,0.02,0.00
CAP_EUR,false,DiscountCurve/EUR/8/4Y,0.000100,,0.000000,EUR,-7179.57,0.09,0.00
CAP_EUR,false,DiscountCurve/EUR/9/5Y,0.000100,,0.000000,EUR,-7179.57,0.45,0.00
CAP_EUR,false,DiscountCurve/EUR/10/7Y,0.000100,,0.000000,EUR,-7179.57,2.21,0.00
CAP_EUR,false,DiscountCurve/EUR/11/10Y,0.000100,,0.000000,EUR,-7179.57,2.84,0.00
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/3/6M,0.000100,,0.000000,EUR,-7179.57,0.00,0.00
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/5/1Y,0.000100,,0.000000,EUR,-7179.57,0.10,0.00
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/6/2Y,0.000100,,0.000000,EUR,-7179.57,1.22,-0.06
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/7/3Y,0.000100,,0.000000,EUR,-7179.57,4.68,-0.38
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/8/4Y,0.000100,,0.000000,EUR,-7179.57,7.92,-1.21
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/9/5Y,0.000100,,0.000000,EUR,-7179.57,18.47,-2.01
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/10/7Y,0.000100,,0.000000,EUR,-7179.57,35.23,-3.20
CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/11/10Y,0.000100,,0.000000,EUR,-7179.57,-137.61,-3.10
CAP_EUR,false,OptionletVolatility/EUR/4/1Y/0.04,0.000100,,0.000000,EUR,-7179.57,-0.22,-0.01
CAP_EUR,false,OptionletVolatility/EUR/11/2Y/0.04,0.000100,,0.000000,EUR,-7179.57,-2.25,-0.10
