#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,1037077.00,0.00,1037077.00,1037077.00,1037077.00,1037077.00,1037077.00,1037077.00
CPTY_A,2016-05-06,0.248634,1029231.46,0.00,1164148.00,0.00,1028640.79,1037077.00,1028640.79,1037077.00
CPTY_A,2016-08-05,0.497268,1020171.50,0.00,1184839.00,0.00,1018850.28,1037077.00,1023745.53,1037077.00
CPTY_A,2016-11-07,0.754098,515056.36,0.00,712136.00,0.00,513864.50,1037077.00,850090.40,1037077.00
CPTY_A,2017-02-06,1.003002,509255.45,0.00,678896.00,0.00,507639.32,1037077.00,765108.27,1037077.00
CPTY_A,2017-05-05,1.244098,505795.15,0.00,627726.00,0.00,503693.93,1037077.00,714448.32,1037077.00
CPTY_A,2017-08-07,1.501632,503255.68,0.00,579792.00,0.00,500717.90,1037077.00,677792.93,1037077.00
CPTY_A,2017-11-06,1.750947,0.00,0.00,0.00,0.00,0.00,1037077.00,581282.87,1037077.00
CPTY_A,2018-02-05,2.000262,0.00,0.00,0.00,0.00,0.00,1037077.00,508831.07,1037077.00
CPTY_A,2018-05-08,2.252317,0.00,0.00,0.00,0.00,0.00,1037077.00,451888.23,1037077.00
CPTY_A,2018-08-06,2.498892,0.00,0.00,0.00,0.00,0.00,1037077.00,407298.67,1037077.00
CPTY_A,2018-11-05,2.748207,0.00,0.00,0.00,0.00,0.00,1037077.00,370348.88,1037077.00
CPTY_A,2019-02-05,3.000262,0.00,0.00,0.00,0.00,0.00,1037077.00,339235.52,1037077.00
CPTY_A,2019-05-07,3.249577,0.00,0.00,0.00,0.00,0.00,1037077.00,313208.59,1037077.00
CPTY_A,2019-08-05,3.496152,0.00,0.00,0.00,0.00,0.00,1037077.00,291118.73,1037077.00
CPTY_A,2019-11-05,3.748207,0.00,0.00,0.00,0.00,0.00,1037077.00,271541.94,1037077.00
CPTY_A,2020-02-05,4.000000,0.00,0.00,0.00,0.00,0.00,1037077.00,254448.86,1037077.00
CPTY_A,2020-05-05,4.245902,0.00,0.00,0.00,0.00,0.00,1037077.00,239712.44,1037077.00
CPTY_A,2020-08-05,4.497268,0.00,0.00,0.00,0.00,0.00,1037077.00,226314.18,1037077.00
CPTY_A,2020-11-05,4.748634,0.00,0.00,0.00,0.00,0.00,1037077.00,214334.37,1037077.00
CPTY_A,2021-02-05,5.000262,0.00,0.00,0.00,0.00,0.00,1037077.00,203548.42,1037077.00
CPTY_A,2021-05-05,5.244098,0.00,0.00,0.00,0.00,0.00,1037077.00,194084.00,1037077.00
CPTY_A,2021-08-05,5.496152,0.00,0.00,0.00,0.00,0.00,1037077.00,185183.27,1037077.00
CPTY_A,2021-11-05,5.748207,0.00,0.00,0.00,0.00,0.00,1037077.00,177063.11,1037077.00
CPTY_A,2022-02-07,6.005741,0.00,0.00,0.00,0.00,0.00,1037077.00,169470.41,1037077.00
CPTY_A,2022-05-05,6.244098,0.00,0.00,0.00,0.00,0.00,1037077.00,163001.21,1037077.00
CPTY_A,2022-08-05,6.496152,0.00,0.00,0.00,0.00,0.00,1037077.00,156676.66,1037077.00
CPTY_A,2022-11-07,6.753687,0.00,0.00,0.00,0.00,0.00,1037077.00,150702.20,1037077.00
CPTY_A,2023-02-06,7.003002,0.00,0.00,0.00,0.00,0.00,1037077.00,145337.03,1037077.00
CPTY_A,2023-05-05,7.244098,0.00,0.00,0.00,0.00,0.00,1037077.00,140499.96,1037077.00
CPTY_A,2023-08-07,7.501632,0.00,0.00,0.00,0.00,0.00,1037077.00,135676.54,1037077.00
CPTY_A,2023-11-06,7.750947,0.00,0.00,0.00,0.00,0.00,1037077.00,131312.40,1037077.00
CPTY_A,2024-02-05,8.000000,0.00,0.00,0.00,0.00,0.00,1037077.00,127224.43,1037077.00
CPTY_A,2024-05-07,8.251366,0.00,0.00,0.00,0.00,0.00,1037077.00,123348.72,1037077.00
CPTY_A,2024-08-05,8.497268,0.00,0.00,0.00,0.00,0.00,1037077.00,119779.14,1037077.00
CPTY_A,2024-11-05,8.748634,0.00,0.00,0.00,0.00,0.00,1037077.00,116337.64,1037077.00
