#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
CVA,DiscountCurve/EUR/3/6M,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,DiscountCurve/EUR/4/1Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,DiscountCurve/EUR/5/2Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,DiscountCurve/EUR/6/3Y,Up,110660.54,0.000001,#N/A,110660.54,-0.01,EUR
CVA,DiscountCurve/EUR/7/5Y,Up,110660.54,0.000001,#N/A,110660.50,-0.05,EUR
CVA,DiscountCurve/EUR/8/10Y,Up,110660.54,0.000001,#N/A,110660.28,-0.26,EUR
CVA,DiscountCurve/EUR/9/15Y,Up,110660.54,0.000001,#N/A,110659.92,-0.62,EUR
CVA,DiscountCurve/EUR/10/20Y,Up,110660.54,0.000001,#N/A,110659.94,-0.61,EUR
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,110660.54,0.000001,#N/A,110660.55,0.00,EUR
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,110660.54,0.000001,#N/A,110660.55,0.01,EUR
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,110660.54,0.000001,#N/A,110660.57,0.02,EUR
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,110660.54,0.000001,#N/A,110660.57,0.03,EUR
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,110660.54,0.000001,#N/A,110660.40,-0.14,EUR
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,110660.54,0.000001,#N/A,110660.54,0.00,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,110660.54,0.000001,#N/A,110660.56,0.02,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,110660.54,0.000001,#N/A,110660.55,0.01,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,110660.54,0.000001,#N/A,110660.61,0.07,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,110660.54,0.000001,#N/A,110660.70,0.16,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,110660.54,0.000001,#N/A,110660.87,0.32,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,110660.54,0.000001,#N/A,110661.60,1.05,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,110660.54,0.000001,#N/A,110662.88,2.34,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,110660.54,0.000001,#N/A,110662.22,1.67,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,110660.54,0.000001,#N/A,110642.49,-18.05,EUR
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,110660.54,0.000001,#N/A,110660.55,0.00,EUR
CVA,SwaptionVolatility/EUR/8/1Y/15Y/ATM,Up,110660.54,0.000001,#N/A,110660.77,0.22,EUR
CVA,SwaptionVolatility/EUR/9/1Y/20Y/ATM,Up,110660.54,0.000001,#N/A,110661.43,0.89,EUR
CVA,SwaptionVolatility/EUR/19/2Y/15Y/ATM,Up,110660.54,0.000001,#N/A,110661.10,0.55,EUR
CVA,SwaptionVolatility/EUR/20/2Y/20Y/ATM,Up,110660.54,0.000001,#N/A,110661.37,0.83,EUR
CVA,SwaptionVolatility/EUR/30/3Y/15Y/ATM,Up,110660.54,0.000001,#N/A,110661.42,0.88,EUR
CVA,SwaptionVolatility/EUR/31/3Y/20Y/ATM,Up,110660.54,0.000001,#N/A,110661.13,0.59,EUR
