#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,191912.13,0.00,-191912.13,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,186362.02,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,185826.36,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,180781.11,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,0.00,180497.60,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-05-05,1.244098,0.00,175334.62,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-08-07,1.501632,0.00,175449.26,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-11-06,1.750947,0.00,169962.13,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2018-02-05,2.000262,0.00,169712.53,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2018-05-08,2.252317,0.00,164797.46,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2018-08-06,2.498892,0.00,164555.38,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2018-11-05,2.748207,0.00,159784.86,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2019-02-05,3.000262,0.00,160698.83,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2019-05-07,3.249577,0.00,155318.63,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2019-08-05,3.496152,0.00,155600.77,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2019-11-05,3.748207,0.00,150926.63,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2020-02-05,4.000000,0.00,150771.70,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2020-05-05,4.245902,0.00,145113.81,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2020-08-05,4.497268,0.00,145572.70,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2020-11-05,4.748634,0.00,139743.46,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2021-02-05,5.000262,0.00,139344.81,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2021-05-05,5.244098,0.00,134535.61,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2021-08-05,5.496152,0.00,133473.75,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2021-11-05,5.748207,0.00,127732.43,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2022-02-07,6.005741,0.00,127319.29,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2022-05-05,6.244098,0.00,122754.16,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2022-08-05,6.496152,0.00,122825.80,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2022-11-07,6.753687,0.00,117764.31,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2023-02-06,7.003002,0.00,117809.74,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2023-05-05,7.244098,0.00,113024.24,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2023-08-07,7.501632,0.00,113323.15,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2023-11-06,7.750947,0.00,108088.96,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2024-02-05,8.000000,0.00,108008.38,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2024-05-07,8.251366,0.00,103057.93,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2024-08-05,8.497268,0.00,103071.88,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2024-11-05,8.748634,0.00,98250.32,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2025-02-05,9.000262,0.00,98757.05,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2025-05-06,9.246837,0.00,93885.09,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2025-08-05,9.496152,0.00,93725.43,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2025-11-05,9.748207,0.00,88316.16,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2026-02-05,10.000262,0.00,88449.56,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2026-05-05,10.244098,0.00,83723.04,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2026-08-05,10.496152,0.00,83877.92,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2026-11-05,10.748207,0.00,78520.88,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2027-02-05,11.000262,0.00,78646.94,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2027-05-05,11.244098,0.00,73971.77,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2027-08-05,11.496152,0.00,73774.85,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2027-11-05,11.748207,0.00,69164.96,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2028-02-07,12.005464,0.00,68986.01,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2028-05-05,12.245902,0.00,64307.71,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2028-08-07,12.502732,0.00,64495.35,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2028-11-06,12.751366,0.00,60500.31,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2029-02-05,13.000262,0.00,61513.56,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2029-05-08,13.252317,0.00,57470.36,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2029-08-06,13.498892,0.00,57260.12,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2029-11-05,13.748207,0.00,53021.98,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2030-02-05,14.000262,0.00,52457.33,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2030-05-07,14.249577,0.00,47549.76,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2030-08-05,14.496152,0.00,47193.53,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2030-11-05,14.748207,0.00,42823.15,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2031-02-05,15.000262,0.00,42227.17,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2031-05-06,15.246837,0.00,37109.72,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2031-08-05,15.496152,0.00,36985.26,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2031-11-05,15.748207,0.00,32654.44,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2032-02-05,16.000000,0.00,32376.11,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2032-05-05,16.245902,0.00,28062.93,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2032-08-05,16.497268,0.00,28105.25,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2032-11-05,16.748634,0.00,24212.19,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2033-02-07,17.005741,0.00,23968.36,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2033-05-05,17.244098,0.00,19705.77,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2033-08-05,17.496152,0.00,19806.22,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2033-11-07,17.753687,0.00,15489.23,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2034-02-06,18.003002,0.00,15707.91,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2034-05-05,18.244098,0.00,11721.64,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2034-08-07,18.501632,0.00,11734.45,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2034-11-06,18.750947,0.00,7795.73,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2035-02-05,19.000262,0.00,7721.51,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2035-05-08,19.252317,0.00,3845.40,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2035-08-06,19.498892,0.00,3850.52,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2035-11-05,19.748207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2036-02-05,20.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
