#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_B,#N/A,#N/A,#N/A,#N/A,0.0000,#N/A,0.0000
CPTY_B,2016-05-06,0.2486,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2016-08-05,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2016-11-07,0.7541,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2017-02-06,1.0030,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2017-05-05,1.2441,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2017-08-07,1.5016,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2017-11-06,1.7509,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2018-02-05,2.0003,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2018-05-08,2.2523,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2018-08-06,2.4989,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2018-11-05,2.7482,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2019-02-05,3.0003,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2019-05-07,3.2496,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2019-08-05,3.4962,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2019-11-05,3.7482,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2020-02-05,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2020-05-05,4.2459,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2020-08-05,4.4973,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2020-11-05,4.7486,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2021-02-05,5.0003,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2021-05-05,5.2441,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2021-08-05,5.4962,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2021-11-05,5.7482,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2022-02-07,6.0057,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2022-05-05,6.2441,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2022-08-05,6.4962,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2022-11-07,6.7537,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2023-02-06,7.0030,0.0000,0.0000,0.0000,0.0000,0.0000
CPTY_B,2023-05-05,7.2441,0.0000,0.0000,0.0000,0.0000,0.0000
