#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_B,2016-02-05,0.000000,177161.77,0.00,177161.77,177161.77,177161.77,177161.77,177161.77,177161.77
CPTY_B,2016-05-06,0.248634,179434.29,0.00,235659.88,0.00,179331.31,179331.31,179331.31,179331.31
CPTY_B,2016-08-05,0.497268,182002.25,0.00,276492.69,0.00,181766.54,181766.54,180548.92,180548.92
CPTY_B,2016-11-07,0.754098,183175.71,0.00,293414.94,0.00,182751.83,182751.83,181299.19,181299.19
CPTY_B,2017-02-06,1.003002,183664.50,0.00,307677.31,0.00,183081.64,183081.64,181741.52,181741.52
CPTY_B,2017-05-05,1.244098,183582.63,0.00,375659.88,0.00,182819.98,183081.64,181950.52,182001.22
CPTY_B,2017-08-07,1.501632,186863.95,0.00,365611.19,0.00,185921.64,185921.64,182631.58,182673.59
CPTY_B,2017-11-06,1.750947,184680.34,0.00,355827.91,0.00,183585.03,185921.64,182767.34,183136.07
CPTY_B,2018-02-05,2.000262,184874.79,0.00,338616.47,0.00,183582.88,185921.64,182868.99,183483.27
CPTY_B,2018-05-08,2.252317,185136.29,0.00,322791.94,0.00,183725.48,185921.64,182964.84,183756.15
CPTY_B,2018-08-06,2.498892,186779.09,0.00,392202.06,0.00,185246.96,185921.64,183190.02,183969.82
CPTY_B,2018-11-05,2.748207,187115.51,0.00,388084.69,0.00,185470.48,185921.64,183396.90,184146.89
CPTY_B,2019-02-05,3.000262,187662.22,0.00,438383.19,0.00,185900.77,185921.64,183607.26,184295.99
CPTY_B,2019-05-07,3.249577,187394.28,0.00,444104.19,0.00,185599.39,185921.64,183760.10,184420.71
CPTY_B,2019-08-05,3.496152,185015.55,0.00,471986.97,0.00,183214.36,185921.64,183721.61,184526.57
CPTY_B,2019-11-05,3.748207,185906.72,0.00,462911.03,0.00,184066.98,185921.64,183744.83,184620.39
CPTY_B,2020-02-05,4.000000,187732.47,0.00,460948.69,0.00,185844.51,185921.64,183877.00,184702.30
CPTY_B,2020-05-05,4.245902,188612.10,0.00,459200.88,0.00,186765.91,186765.91,184044.31,184821.81
CPTY_B,2020-08-05,4.497268,190023.68,0.00,481288.09,0.00,188221.73,188221.73,184277.80,185011.84
CPTY_B,2020-11-05,4.748634,184587.12,0.00,445588.44,0.00,182893.14,188221.73,184204.51,185181.76
CPTY_B,2021-02-05,5.000262,183632.33,0.00,428083.20,0.00,182003.25,188221.73,184093.73,185334.74
CPTY_B,2021-05-05,5.244098,178482.43,0.00,472807.38,0.00,177099.06,188221.73,183768.50,185468.97
CPTY_B,2021-08-05,5.496152,177535.44,0.00,470152.88,0.00,176374.33,188221.73,183429.40,185595.22
CPTY_B,2021-11-05,5.748207,179517.66,0.00,474579.31,0.00,178561.18,188221.73,183215.93,185710.39
CPTY_B,2022-02-07,6.005741,176844.34,0.00,430328.19,0.00,176121.39,188221.73,182911.71,185818.08
CPTY_B,2022-05-05,6.244098,171407.15,0.00,406557.56,0.00,171015.46,188221.73,182457.60,185909.83
CPTY_B,2022-08-05,6.496152,167484.33,0.00,413372.06,0.00,167425.65,188221.73,181874.35,185999.54
CPTY_B,2022-11-07,6.753687,162703.09,0.00,423154.56,0.00,162968.36,188221.73,181153.42,186084.27
CPTY_B,2023-02-06,7.003002,160535.99,0.00,410855.34,0.00,161106.16,188221.73,180439.71,186160.37
CPTY_B,2023-05-05,7.244098,155862.18,0.00,374305.55,0.00,156791.57,188221.73,179652.66,186228.98
CPTY_B,2023-08-07,7.501632,157070.51,0.00,404492.31,0.00,158417.07,188221.73,178923.63,186297.39
CPTY_B,2023-11-06,7.750947,152030.31,0.00,402800.95,0.00,153718.79,188221.73,178112.90,186359.29
CPTY_B,2024-02-05,8.000000,148958.43,0.00,485938.77,0.00,150991.08,188221.73,177268.55,186417.27
CPTY_B,2024-05-07,8.251366,143188.79,0.00,476124.27,0.00,145580.86,188221.73,176303.23,186472.24
CPTY_B,2024-08-05,8.497268,142588.87,0.00,454654.20,0.00,145404.63,188221.73,175409.06,186522.87
CPTY_B,2024-11-05,8.748634,130892.14,0.00,403327.50,0.00,133885.13,188221.73,174215.99,186571.68
CPTY_B,2025-02-05,9.000262,127315.62,0.00,409748.06,0.00,130625.09,188221.73,172997.28,186617.81
CPTY_B,2025-05-06,9.246837,122183.67,0.00,377805.70,0.00,125797.04,188221.73,171738.65,186660.58
CPTY_B,2025-08-05,9.496152,120810.26,0.00,334108.65,0.00,124826.19,188221.73,170506.99,186701.57
CPTY_B,2025-11-05,9.748207,117879.91,0.00,325083.71,0.00,122237.18,188221.73,169258.90,186740.87
CPTY_B,2026-02-05,10.000262,115930.51,0.00,336593.91,0.00,120648.78,188221.73,168033.69,186778.20
CPTY_B,2026-05-05,10.244098,114228.27,0.00,357489.06,0.00,119294.37,188221.73,166873.57,186812.56
CPTY_B,2026-08-05,10.496152,114266.75,0.00,393465.98,0.00,119767.58,188221.73,165742.37,186846.40
CPTY_B,2026-11-05,10.748207,102320.18,0.00,316574.34,0.00,107635.08,188221.73,164379.70,186878.65
CPTY_B,2027-02-05,11.000262,99150.57,0.00,264018.90,0.00,104679.31,188221.73,163011.76,186909.42
CPTY_B,2027-05-05,11.244098,93250.73,0.00,317560.09,0.00,98796.06,188221.73,161619.20,186937.88
CPTY_B,2027-08-05,11.496152,92955.31,0.00,302541.40,0.00,98840.45,188221.73,160242.76,186966.03
CPTY_B,2027-11-05,11.748207,82999.16,0.00,284466.39,0.00,88574.21,188221.73,158705.13,186992.97
CPTY_B,2028-02-07,12.005464,84295.94,0.00,298121.31,0.00,90291.65,188221.73,157239.15,187019.30
CPTY_B,2028-05-05,12.245902,76082.21,0.00,243639.43,0.00,81796.71,188221.73,155757.90,187042.91
CPTY_B,2028-08-07,12.502732,74135.10,0.00,233384.56,0.00,80020.69,188221.73,154202.11,187067.13
CPTY_B,2028-11-06,12.751366,63917.70,0.00,199077.18,0.00,69258.04,188221.73,152545.82,187089.64
CPTY_B,2029-02-05,13.000262,65665.83,0.00,239248.57,0.00,71426.47,188221.73,150992.75,187111.31
CPTY_B,2029-05-08,13.252317,54068.79,0.00,183101.30,0.00,59041.24,188221.73,149243.86,187132.43
CPTY_B,2029-08-06,13.498892,52003.86,0.00,201760.05,0.00,57002.86,188221.73,147558.96,187152.33
CPTY_B,2029-11-05,13.748207,43009.84,0.00,172651.43,0.00,47325.97,188221.73,145741.30,187171.72
CPTY_B,2030-02-05,14.000262,41973.23,0.00,174989.19,0.00,46365.31,188221.73,143952.17,187190.63
CPTY_B,2030-05-07,14.249577,30617.36,0.00,128246.32,0.00,33951.51,188221.73,142027.57,187208.67
CPTY_B,2030-08-05,14.496152,29742.95,0.00,121891.18,0.00,33107.60,188221.73,140174.87,187225.90
CPTY_B,2030-11-05,14.748207,22114.63,0.00,88082.85,0.00,24712.25,188221.73,138201.55,187242.92
CPTY_B,2031-02-05,15.000262,21645.89,0.00,87261.14,0.00,24282.71,188221.73,136287.33,187259.37
CPTY_B,2031-05-06,15.246837,11390.98,0.00,41413.37,0.00,12823.74,188221.73,134290.65,187274.93
CPTY_B,2031-08-05,15.496152,11456.74,0.00,39391.49,0.00,12943.59,188221.73,132338.32,187290.16
CPTY_B,2031-11-05,15.748207,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2032-02-05,16.000000,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2032-05-05,16.245902,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2032-08-05,16.497268,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2032-11-05,16.748634,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2033-02-07,17.005741,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2033-05-05,17.244098,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2033-08-05,17.496152,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2033-11-07,17.753687,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2034-02-06,18.003002,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2034-05-05,18.244098,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2034-08-07,18.501632,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2034-11-06,18.750947,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2035-02-05,19.000262,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2035-05-08,19.252317,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2035-08-06,19.498892,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2035-11-05,19.748207,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
CPTY_B,2036-02-05,20.000000,0.00,0.00,0.00,0.00,0.00,188221.73,0.00,0.00
