#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
swap_02,2016-02-05,0.000000,88747,0,0,0,88747,88747,88747,88746.55,88746.55
swap_02,2016-05-06,0.248634,82085,0,0,0,112558,82038,88747,82038.16,88746.55
swap_02,2016-08-05,0.497268,79528,0,0,0,124959,79425,88747,80731.73,88746.55
swap_02,2016-11-07,0.754098,74576,571,0,0,139380,74404,88747,78576.58,88746.55
swap_02,2017-02-06,1.003002,74037,1605,0,0,146058,73802,88747,77391.75,88746.55
swap_02,2017-05-05,1.244098,69468,3173,0,0,142974,69180,88747,75800.35,88746.55
swap_02,2017-08-07,1.501632,68842,3697,0,0,149104,68495,88747,74547.49,88746.55
swap_02,2017-11-06,1.750947,66036,7570,0,0,147910,65644,88747,73279.77,88746.55
swap_02,2018-02-05,2.000262,64617,6865,0,0,149768,64166,88747,72143.76,88746.55
swap_02,2018-05-08,2.252317,61848,7779,0,0,150534,61376,88747,70938.78,88746.55
swap_02,2018-08-06,2.498892,61793,7669,0,0,135329,61286,88747,69986.34,88746.55
swap_02,2018-11-05,2.748207,57898,8680,0,0,143896,57389,88747,68843.51,88746.55
swap_02,2019-02-05,3.000262,60361,10493,0,0,167509,59795,88747,68083.32,88746.55
swap_02,2019-05-07,3.249577,60228,14112,0,0,155086,59651,88747,67436.37,88746.55
swap_02,2019-08-05,3.496152,63645,17263,0,0,154412,63025,88747,67125.27,88746.55
swap_02,2019-11-05,3.748207,60621,16447,0,0,159481,60021,88747,66647.54,88746.55
swap_02,2020-02-05,4.000000,61692,17726,0,0,169390,61071,88747,66296.52,88746.55
swap_02,2020-05-05,4.245902,56581,17565,0,0,156568,56027,88747,65701.77,88746.55
swap_02,2020-08-05,4.497268,57920,18804,0,0,173553,57371,88747,65236.14,88746.55
swap_02,2020-11-05,4.748634,51873,16718,0,0,150344,51397,88747,64503.59,88746.55
swap_02,2021-02-05,5.000262,51689,16937,0,0,138046,51231,88747,63835.65,88746.55
swap_02,2021-05-05,5.244098,51002,17202,0,0,135704,50607,88747,63220.54,88746.55
swap_02,2021-08-05,5.496152,49623,17167,0,0,122602,49298,88747,62582.06,88746.55
swap_02,2021-11-05,5.748207,45325,17004,0,0,115567,45084,88747,61814.76,88746.55
swap_02,2022-02-07,6.005741,44445,17583,0,0,119086,44263,88747,61062.13,88746.55
swap_02,2022-05-05,6.244098,42384,18400,0,0,133346,42287,88747,60345.43,88746.55
swap_02,2022-08-05,6.496152,43189,18173,0,0,126468,43174,88747,59679.16,88746.55
swap_02,2022-11-07,6.753687,41007,19129,0,0,130051,41073,88747,58969.68,88746.55
swap_02,2023-02-06,7.003002,42966,20454,0,0,138418,43118,88747,58405.35,88746.55
swap_02,2023-05-05,7.244098,40744,19810,0,0,139664,40987,88747,57825.63,88746.55
swap_02,2023-08-07,7.501632,42695,20412,0,0,135708,43061,88747,57318.75,88746.55
swap_02,2023-11-06,7.750947,40027,19755,0,0,133567,40471,88747,56776.85,88746.55
swap_02,2024-02-05,8.000000,41917,20222,0,0,116804,42489,88747,56332.04,88746.55
swap_02,2024-05-07,8.251366,38215,19968,0,0,122668,38854,88747,55799.58,88746.55
swap_02,2024-08-05,8.497268,39639,21479,0,0,126942,40422,88747,55354.56,88746.55
swap_02,2024-11-05,8.748634,38054,20818,0,0,118586,38924,88747,54882.47,88746.55
swap_02,2025-02-05,9.000262,39604,22491,0,0,121200,40633,88747,54484.08,88746.55
swap_02,2025-05-06,9.246837,37032,21419,0,0,134702,38127,88747,54047.91,88746.55
swap_02,2025-08-05,9.496152,36932,22174,0,0,147937,38159,88747,53630.77,88746.55
swap_02,2025-11-05,9.748207,32915,20641,0,0,153301,34132,88747,53126.59,88746.55
swap_02,2026-02-05,10.000262,34208,22091,0,0,171773,35601,88747,52684.85,88746.55
swap_02,2026-05-05,10.244098,33615,21501,0,0,149134,35105,88747,52266.42,88746.55
swap_02,2026-08-05,10.496152,33371,22635,0,0,153095,34977,88747,51851.23,88746.55
swap_02,2026-11-05,10.748207,30388,20004,0,0,140108,31967,88747,51384.92,88746.55
swap_02,2027-02-05,11.000262,32403,21201,0,0,146790,34210,88747,50991.39,88746.55
swap_02,2027-05-05,11.244098,31217,19250,0,0,123322,33074,88747,50602.83,88746.55
swap_02,2027-08-05,11.496152,31349,20047,0,0,118006,33334,88747,50224.22,88746.55
swap_02,2027-11-05,11.748207,30335,18166,0,0,130102,32373,88747,49841.22,88746.55
swap_02,2028-02-07,12.005464,29963,18271,0,0,121882,32094,88747,49460.92,88746.55
swap_02,2028-05-05,12.245902,27114,16957,0,0,113647,29150,88747,49062.14,88746.55
swap_02,2028-08-07,12.502732,26727,17247,0,0,128160,28849,88747,48646.93,88746.55
swap_02,2028-11-06,12.751366,26407,15794,0,0,132928,28613,88747,48256.29,88746.55
swap_02,2029-02-05,13.000262,29012,16104,0,0,143842,31557,88747,47936.57,88746.55
swap_02,2029-05-08,13.252317,27307,14962,0,0,137983,29818,88747,47591.97,88746.55
swap_02,2029-08-06,13.498892,26902,14597,0,0,150118,29488,88747,47261.27,88746.55
swap_02,2029-11-05,13.748207,26546,12672,0,0,117845,29210,88747,46933.92,88746.55
swap_02,2030-02-05,14.000262,24771,13723,0,0,114207,27364,88747,46581.58,88746.55
swap_02,2030-05-07,14.249577,22618,12842,0,0,115322,25081,88747,46205.40,88746.55
swap_02,2030-08-05,14.496152,20621,12511,0,0,109792,22954,88747,45809.90,88746.55
swap_02,2030-11-05,14.748207,18337,12532,0,0,101355,20491,88747,45377.18,88746.55
swap_02,2031-02-05,15.000262,17359,13363,0,0,101315,19474,88747,44941.91,88746.55
swap_02,2031-05-06,15.246837,14681,12170,0,0,90909,16527,88747,44482.38,88746.55
swap_02,2031-08-05,15.496152,13900,12362,0,0,96289,15704,88747,44019.37,88746.55
swap_02,2031-11-05,15.748207,12806,11795,0,0,84136,14520,88747,43547.23,88746.55
swap_02,2032-02-05,16.000000,12186,11665,0,0,84932,13867,88747,43080.15,88746.55
swap_02,2032-05-05,16.245902,10594,10008,0,0,74151,12098,88747,42611.19,88746.55
swap_02,2032-08-05,16.497268,10830,10516,0,0,71841,12412,88747,42151.05,88746.55
swap_02,2032-11-05,16.748634,10411,9385,0,0,65718,11974,88747,41698.14,88746.55
swap_02,2033-02-07,17.005741,10508,9440,0,0,59195,12130,88747,41251.10,88746.55
swap_02,2033-05-05,17.244098,8924,7792,0,0,46076,10337,88747,40823.79,88746.55
swap_02,2033-08-05,17.496152,8750,7666,0,0,41640,10172,88747,40382.20,88746.55
swap_02,2033-11-07,17.753687,6276,6238,0,0,35477,7322,88747,39902.63,88746.55
swap_02,2034-02-06,18.003002,6526,6093,0,0,37529,7641,88747,39455.86,88746.55
swap_02,2034-05-05,18.244098,4862,4610,0,0,29297,5713,88747,39009.94,88746.55
swap_02,2034-08-07,18.501632,5102,4725,0,0,28055,6016,88747,38550.69,88746.55
swap_02,2034-11-06,18.750947,3495,3195,0,0,19024,4135,88747,38093.10,88746.55
swap_02,2035-02-05,19.000262,3446,3288,0,0,18047,4092,88747,37646.95,88746.55
swap_02,2035-05-08,19.252317,1703,1662,0,0,8687,2029,88747,37180.63,88746.55
swap_02,2035-08-06,19.498892,1705,1657,0,0,9495,2040,88747,36736.26,88746.55
swap_02,2035-11-05,19.748207,0,0,0,0,0,0,88747,0.00,0.00
swap_02,2036-02-05,20.000000,0,0,0,0,0,0,88747,0.00,0.00
