#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
cap,CapFloor,1,0,2017-04-19,InterestProjected,666.6679,GBP,0.0004456663,0.4986301370,2016-10-19,2017-04-19,0.0000,2016-10-19,0.0093369250,3000000.0000,0.9933293411,662.2207633392,1.2316211336,815.6050872594,EUR,#N/A,0.0140000000,#N/A,0.0050858550,#N/A,#N/A
cap,CapFloor,2,0,2017-10-19,InterestProjected,1717.9114,GBP,0.0011421451,0.5013698630,2017-04-19,2017-10-19,0.0000,2017-04-19,0.0079903267,3000000.0000,0.9940408366,1707.6740550950,1.2316211336,2103.2074556124,EUR,#N/A,0.0140000000,#N/A,0.0063938847,#N/A,#N/A
cap,CapFloor,3,0,2018-04-19,InterestProjected,3760.1049,GBP,0.0026931678,0.4986301370,2017-10-19,2018-04-19,0.0000,2017-10-19,0.0084982538,2800000.0000,0.9938803937,3737.0945604067,1.2316211336,4602.6846389832,EUR,#N/A,0.0140000000,#N/A,0.0075885693,#N/A,#N/A
cap,CapFloor,4,0,2018-10-19,InterestProjected,6371.2681,GBP,0.0045384716,0.5013698630,2018-04-19,2018-10-19,0.0000,2018-04-19,0.0095335486,2800000.0000,0.9922907463,6322.1503868039,1.2316211336,7786.4940263959,EUR,#N/A,0.0140000000,#N/A,0.0083449726,#N/A,#N/A
cap,CapFloor,5,0,2019-04-23,InterestProjected,8155.1660,GBP,0.0061551605,0.5095890411,2018-10-19,2019-04-23,0.0000,2018-10-19,0.0102492812,2600000.0000,0.9904528757,8077.3076522910,1.2316211336,9948.1828074200,EUR,#N/A,0.0140000000,#N/A,0.0088203617,#N/A,#N/A
cap,CapFloor,6,0,2019-10-21,InterestProjected,10010.2001,GBP,0.0077639674,0.4958904110,2019-04-23,2019-10-21,0.0000,2019-04-23,0.0112615098,2600000.0000,0.9883141445,9893.2223893969,1.2316211336,12184.7017745159,EUR,#N/A,0.0140000000,#N/A,0.0090229073,#N/A,#N/A
cap,CapFloor,7,0,2020-04-20,InterestProjected,10708.8652,GBP,0.0089485710,0.4986301370,2019-10-21,2020-04-20,0.0000,2019-10-21,0.0119208040,2400000.0000,0.9857421443,10556.1797777993,1.2316211336,13001.2141047707,EUR,#N/A,0.0140000000,#N/A,0.0090527643,#N/A,#N/A
cap,CapFloor,8,0,2020-10-19,InterestProjected,12237.3831,GBP,0.0102258353,0.4986301370,2020-04-20,2020-10-19,0.0000,2020-04-20,0.0128615226,2400000.0000,0.9824972184,12023.1948964924,1.2316211336,14808.0209283127,EUR,#N/A,0.0140000000,#N/A,0.0090085345,#N/A,#N/A
cap,CapFloor,9,0,2021-04-19,InterestProjected,12820.3089,GBP,0.0116868450,0.4986301370,2020-10-19,2021-04-19,0.0000,2020-10-19,0.0140305971,2200000.0000,0.9784457566,12543.9768385457,1.2316211336,15449.4269741603,EUR,#N/A,0.0140000000,#N/A,0.0089841434,#N/A,#N/A
cap,CapFloor,10,0,2021-10-19,InterestProjected,15027.7106,GBP,0.0136242285,0.5013698630,2021-04-19,2021-10-19,0.0000,2021-04-19,0.0157778021,2200000.0000,0.9730502419,14622.7174539517,1.2316211336,18009.6478474362,EUR,#N/A,0.0140000000,#N/A,0.0089684234,#N/A,#N/A
