#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,Swap_EUR,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,38715.30,8.96,#N/A
CPTY_A,Swap_EUR,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,38715.30,-62.32,#N/A
CPTY_A,Swap_EUR,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,38715.30,0.06,#N/A
CPTY_A,Swap_EUR,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,38715.30,0.55,#N/A
CPTY_A,Swap_EUR,true,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,38715.30,-109.79,#N/A
CPTY_A,Swap_EUR,true,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,38715.30,533.59,#N/A
CPTY_A,Swap_EUR,true,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,38715.30,0.02,#N/A
CPTY_A,Swap_EUR,true,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,38715.30,-0.56,#N/A
CPTY_A,Swap_EUR,true,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.010000,,0.000000,EUR,38715.30,81354.74,#N/A
CPTY_A,Swap_EUR,true,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,38715.30,-18.40,#N/A
CPTY_A,Swap_EUR,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,38715.30,614.99,#N/A
CPTY_A,Swap_USD,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,50490.44,15.01,#N/A
CPTY_A,Swap_USD,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,50490.44,-74.12,#N/A
CPTY_A,Swap_USD,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,50490.44,-21.42,#N/A
CPTY_A,Swap_USD,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,50490.44,81.55,#N/A
CPTY_A,Swap_USD,true,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,50490.44,0.00,#N/A
CPTY_A,Swap_USD,true,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,50490.44,0.00,#N/A
CPTY_A,Swap_USD,true,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,50490.44,-117.58,#N/A
CPTY_A,Swap_USD,true,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,50490.44,512.28,#N/A
CPTY_A,Swap_USD,true,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.010000,,0.000000,EUR,50490.44,-99.30,#N/A
CPTY_A,Swap_USD,true,SwaptionVolatility/USD/3/5Y/5Y/ATM,0.010000,,0.000000,EUR,50490.44,1060.10,#N/A
CPTY_A,Swap_USD,true,FXSpot/USDEUR/0/spot,0.001000,,0.000000,EUR,50490.44,50.49,#N/A
CPTY_A,Swap_USD,true,FXVolatility/EURUSD/0/1Y/ATM,0.010000,,0.000000,EUR,50490.44,-3.94,#N/A
CPTY_A,Swap_USD,true,FXVolatility/EURUSD/1/10Y/ATM,0.010000,,0.000000,EUR,50490.44,5.24,#N/A
CPTY_A,Swap_USD,true,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,50490.44,-24.25,#N/A
CPTY_A,Swap_USD,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,50490.44,805.77,#N/A
CPTY_A,,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,66235.67,17.96,#N/A
CPTY_A,,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,66235.67,-101.43,#N/A
CPTY_A,,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,66235.67,-16.46,#N/A
CPTY_A,,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,66235.67,63.09,#N/A
CPTY_A,,true,IndexCurve/EUR-EURIBOR-6M/0/1Y,0.000100,,0.000000,EUR,66235.67,-123.20,#N/A
CPTY_A,,true,IndexCurve/EUR-EURIBOR-6M/1/5Y,0.000100,,0.000000,EUR,66235.67,596.79,#N/A
CPTY_A,,true,IndexCurve/USD-LIBOR-3M/0/1Y,0.000100,,0.000000,EUR,66235.67,-102.02,#N/A
CPTY_A,,true,IndexCurve/USD-LIBOR-3M/1/5Y,0.000100,,0.000000,EUR,66235.67,451.05,#N/A
CPTY_A,,true,SwaptionVolatility/EUR/3/5Y/5Y/ATM,0.010000,,0.000000,EUR,66235.67,72595.00,#N/A
CPTY_A,,true,SwaptionVolatility/USD/3/5Y/5Y/ATM,0.010000,,0.000000,EUR,66235.67,780.83,#N/A
CPTY_A,,true,FXSpot/USDEUR/0/spot,0.001000,,0.000000,EUR,66235.67,38.71,#N/A
CPTY_A,,true,FXVolatility/EURUSD/0/1Y/ATM,0.010000,,0.000000,EUR,66235.67,4.47,#N/A
CPTY_A,,true,FXVolatility/EURUSD/1/10Y/ATM,0.010000,,0.000000,EUR,66235.67,130.05,#N/A
CPTY_A,,true,SurvivalProbability/CPTY_A/0/1Y,0.000100,,0.000000,EUR,66235.67,-32.10,#N/A
CPTY_A,,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,66235.67,1054.83,#N/A
