#datumDate,datumId, datumValue 
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/10M,0.036
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/10Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/11M,0.035
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/11Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/12Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/15M,0.033
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/15Y,0.026
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/18M,0.032
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1M,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1W,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/1Y,0.035
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/20Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/21M,0.031
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/25Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2M,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2W,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/2Y,0.03
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/30Y,0.024
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3M,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3W,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/3Y,0.027
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/40Y,0.022
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/4M,0.039
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/4Y,0.026
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/50Y,0.021
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/5M,0.038
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/5Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/60Y,0.022
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/6M,0.038
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/6Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/7M,0.038
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/7Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/8M,0.037
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/8Y,0.025
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/9M,0.036
2024-03-05,IR_SWAP/RATE/EUR/ESTER/2D/1D/9Y,0.025
2024-03-05,MM/RATE/EUR/ESTER/0D/1D,0.039
