#Scenario,TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
BASE,,CPTY_A,92722.56,789261.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92722.56,789261.06,None,6451.29,6451.29
BASE,Swap_20y,CPTY_A,161580.69,364465.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76712.51,76712.51
BASE,Swap_20y_USD,CPTY_A,41820.72,535474.67,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1788.24,1788.24
IndexCurve/EUR-EURIBOR-6M/19,,CPTY_A,93803.76,786838.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93803.76,786838.36,None,6450.74,6450.74
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y,CPTY_A,163141.72,362506.67,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76702.02,76702.02
IndexCurve/EUR-EURIBOR-6M/19,Swap_20y_USD,CPTY_A,41827.59,535497.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1788.41,1788.41
IndexCurve/EUR-EURIBOR-6M/20,,CPTY_A,78558.02,842106.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78558.02,842106.44,None,5084.80,5084.80
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y,CPTY_A,137828.57,407825.65,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,59140.36,59140.36
IndexCurve/EUR-EURIBOR-6M/20,Swap_20y_USD,CPTY_A,41813.95,535365.29,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,1787.18,1787.18
SwaptionVolatility/EUR/41,,CPTY_A,92722.56,789261.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92722.56,789261.06,None,6451.29,6451.29
SwaptionVolatility/EUR/41,Swap_20y,CPTY_A,161580.69,364465.25,0.00,0.00,0.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,76712.51,76712.51
