#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CCSwap,2016-02-05,0.000000,0,1066150,0,0,0,0,0,0.00,0.00
CCSwap,2016-05-06,0.248634,52306,1285099,0,0,502448,52276,52276,52276.24,52276.24
CCSwap,2016-08-05,0.497268,81367,1374593,0,0,650422,81262,81262,66769.04,66769.04
CCSwap,2016-11-07,0.754098,244242,1476896,0,0,1334453,243677,243677,127020.16,127020.16
CCSwap,2017-02-06,1.003002,284318,1526639,0,0,1793491,283416,283416,165831.11,165831.11
CCSwap,2017-05-05,1.244098,254025,1718611,0,0,1600282,252970,283416,182717.93,188618.10
CCSwap,2017-08-07,1.501632,224933,1777273,0,0,1938188,223799,283416,189763.42,204876.22
CCSwap,2017-11-06,1.750947,277756,1828618,0,0,1601396,276109,283416,202058.04,216059.40
CCSwap,2018-02-05,2.000262,333543,1918866,0,0,2174906,331212,331212,218155.98,230412.20
CCSwap,2018-05-08,2.252317,299476,2098082,0,0,3176762,297194,331212,227001.10,241692.65
CCSwap,2018-08-06,2.498892,386610,2107164,0,0,4160367,383439,383439,242437.39,255679.26
CCSwap,2018-11-05,2.748207,438965,2128400,0,0,2960549,435106,435106,259916.08,271956.67
CCSwap,2019-02-05,3.000262,529875,2207410,0,0,4466081,524902,524902,282177.78,293206.82
CCSwap,2019-05-07,3.249577,476273,2348514,0,0,3549523,471711,524902,296719.20,310983.00
CCSwap,2019-08-05,3.496152,479769,2341455,0,0,3595202,475098,524902,309299.83,326070.18
CCSwap,2019-11-05,3.748207,539310,2442257,0,0,4193425,533973,533973,324408.34,340050.95
CCSwap,2020-02-05,4.000000,670261,2438048,0,0,4145929,663520,663520,345754.81,360412.74
CCSwap,2020-05-05,4.245902,669813,2618349,0,0,3834062,663257,663520,364142.97,377967.21
CCSwap,2020-08-05,4.497268,705523,2668787,0,0,4841378,698832,698832,382849.78,395901.34
CCSwap,2020-11-05,4.748634,843020,2683933,0,0,4956022,835283,835283,406799.07,419159.75
CCSwap,2021-02-05,5.000262,831036,2712542,0,0,4479471,823664,835283,427776.96,440100.32
CCSwap,2021-05-05,5.244098,870670,2907696,0,0,4809943,863922,863922,448056.45,459806.82
CCSwap,2021-08-05,5.496152,999555,2991735,0,0,6077812,993017,993017,473048.49,484259.97
CCSwap,2021-11-05,5.748207,935151,2958582,0,0,6019157,930169,993017,493092.88,506568.63
CCSwap,2022-02-07,6.005741,985581,2950742,0,0,5671745,981552,993017,514038.64,527428.20
CCSwap,2022-05-05,6.244098,783862,3009150,0,0,4339196,782070,993017,524270.22,545201.16
CCSwap,2022-08-05,6.496152,751184,2987491,0,0,3047617,750921,993017,533064.41,562576.71
CCSwap,2022-11-07,6.753687,875779,3017491,0,0,3533304,877207,993017,546187.37,578990.44
CCSwap,2023-02-06,7.003002,869158,3006654,0,0,3541972,872245,993017,557795.39,593730.29
