#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,All,All,2016-12-30,2017-01-17,-549708.988605
All,All,All,2017-01-03,2017-01-18,-640102.796473
All,All,All,2017-01-04,2017-01-19,-506796.410100
All,All,All,2017-01-05,2017-01-20,-246657.428637
All,All,All,2017-01-06,2017-01-23,-632387.810882
All,All,All,2017-01-09,2017-01-24,-415594.862315
All,All,All,2017-01-10,2017-01-25,-502162.877629
All,All,All,2017-01-11,2017-01-26,-275319.741670
All,All,All,2017-01-12,2017-01-27,-221061.708340
All,All,All,2017-01-13,2017-01-30,-135880.485455
All,All,All,2017-01-17,2017-01-31,-167427.121157
All,All,All,2017-01-18,2017-02-01,-347625.096593
All,All,All,2017-01-19,2017-02-02,-213823.229016
All,All,All,2017-01-20,2017-02-03,-185671.628815
All,All,All,2017-01-23,2017-02-06,91225.566852
All,All,All,2017-01-24,2017-02-07,151485.736895
All,All,All,2017-01-25,2017-02-08,142783.555566
All,All,All,2017-01-26,2017-02-09,103645.675068
All,All,All,2017-01-27,2017-02-10,177533.632961
All,All,All,2017-01-30,2017-02-13,280074.127182
All,All,All,2017-01-31,2017-02-14,618505.910827
All,All,All,2017-02-01,2017-02-15,489859.932099
All,All,All,2017-02-02,2017-02-16,249054.947319
All,All,All,2017-02-03,2017-02-17,462547.775239
All,All,All,2017-02-06,2017-02-21,596388.571970
All,All,All,2017-02-07,2017-02-22,355523.675154
All,All,All,2017-02-08,2017-02-23,343433.789667
All,All,All,2017-02-09,2017-02-24,246935.503660
All,All,All,2017-02-10,2017-02-27,185210.214153
All,All,All,2017-02-13,2017-02-28,105669.592500
All,All,All,2017-02-14,2017-03-01,141638.562985
All,All,All,2017-02-15,2017-03-02,383455.240946
All,All,All,2017-02-16,2017-03-03,240079.381102
All,All,All,2017-02-17,2017-03-06,185781.628921
All,All,All,2017-02-21,2017-03-07,23964.952528
All,All,All,2017-02-22,2017-03-08,158377.881503
All,All,All,2017-02-23,2017-03-09,129259.716856
All,All,All,2017-02-24,2017-03-10,-155922.788491
All,All,All,2017-02-27,2017-03-13,-54466.617618
All,All,All,2017-02-28,2017-03-14,3856.591622
