#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,All,All,2016-12-30,2017-01-17,-523963.737380
All,All,All,2017-01-03,2017-01-18,-614357.545241
All,All,All,2017-01-04,2017-01-19,-481051.158865
All,All,All,2017-01-05,2017-01-20,-220912.177407
All,All,All,2017-01-06,2017-01-23,-606642.559652
All,All,All,2017-01-09,2017-01-24,-389849.611086
All,All,All,2017-01-10,2017-01-25,-476417.626399
All,All,All,2017-01-11,2017-01-26,-249574.490441
All,All,All,2017-01-12,2017-01-27,-195316.457115
All,All,All,2017-01-13,2017-01-30,-110135.234233
All,All,All,2017-01-17,2017-01-31,-141681.869939
All,All,All,2017-01-18,2017-02-01,-321879.845372
All,All,All,2017-01-19,2017-02-02,-188077.977801
All,All,All,2017-01-20,2017-02-03,-159926.377603
All,All,All,2017-01-23,2017-02-06,116970.818059
All,All,All,2017-01-24,2017-02-07,177230.988100
All,All,All,2017-01-25,2017-02-08,168528.806767
All,All,All,2017-01-26,2017-02-09,129390.926270
All,All,All,2017-01-27,2017-02-10,203278.884165
All,All,All,2017-01-30,2017-02-13,305819.378386
All,All,All,2017-01-31,2017-02-14,644251.162030
All,All,All,2017-02-01,2017-02-15,515605.183302
All,All,All,2017-02-02,2017-02-16,274800.198524
All,All,All,2017-02-03,2017-02-17,488293.026445
All,All,All,2017-02-06,2017-02-21,622133.823174
All,All,All,2017-02-07,2017-02-22,381268.926361
All,All,All,2017-02-08,2017-02-23,369179.040875
All,All,All,2017-02-09,2017-02-24,272680.754868
All,All,All,2017-02-10,2017-02-27,210955.465358
All,All,All,2017-02-13,2017-02-28,131414.843706
All,All,All,2017-02-14,2017-03-01,167383.814189
All,All,All,2017-02-15,2017-03-02,409200.492143
All,All,All,2017-02-16,2017-03-03,265824.632307
All,All,All,2017-02-17,2017-03-06,211526.880128
All,All,All,2017-02-21,2017-03-07,49710.203735
All,All,All,2017-02-22,2017-03-08,184123.132712
All,All,All,2017-02-23,2017-03-09,155004.968071
All,All,All,2017-02-24,2017-03-10,-130177.537271
All,All,All,2017-02-27,2017-03-13,-28721.366399
All,All,All,2017-02-28,2017-03-14,29601.842839
All,All,All,2017-03-01,2017-03-15,-396067.268160
All,All,All,2017-03-02,2017-03-16,-733179.039193
All,All,All,2017-03-03,2017-03-17,-342062.172917
All,All,All,2017-03-06,2017-03-20,-444716.525125
