#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EQ_CALL_SP5,false,DiscountCurve/USD/2/2Y,0.000100,,0.000000,EUR,117318.31,-23.49,0.00
EQ_CALL_SP5,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,117318.31,1173.18,0.00
EQ_CALL_SP5,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,117318.31,7127.32,230.37
EQ_CALL_SP5,false,EquityVolatility/SP5/2/2Y/ATM,0.001712,,0.000000,EUR,117318.31,1346.74,-0.03
EQ_PUT_SP5,false,DiscountCurve/USD/2/2Y,0.000100,,0.000000,EUR,-155558.62,31.15,-0.01
EQ_PUT_SP5,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,-155558.62,-1555.59,0.00
EQ_PUT_SP5,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,-155558.62,6804.74,-230.37
EQ_PUT_SP5,false,EquityVolatility/SP5/2/2Y/ATM,0.001712,,0.000000,EUR,-155558.62,-1346.74,0.03
FX_CALL_OPTION,false,DiscountCurve/EUR/6/10Y,0.000100,,0.000000,EUR,302749.85,-701.81,1.21
FX_CALL_OPTION,false,DiscountCurve/EUR/7/15Y,0.000100,,0.000000,EUR,302749.85,-14.03,0.00
FX_CALL_OPTION,false,DiscountCurve/USD/6/10Y,0.000100,,0.000000,EUR,302749.85,403.46,0.12
FX_CALL_OPTION,false,DiscountCurve/USD/7/15Y,0.000100,,0.000000,EUR,302749.85,8.06,0.00
FX_CALL_OPTION,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,302749.85,-4058.03,52.90
FX_CALL_OPTION,false,FXVolatility/USDEUR/3/5Y/ATM,0.001459,,0.000000,EUR,302749.85,1826.63,0.69
FX_CALL_OPTION,false,DiscountCurve/EUR/6/10Y,0.000100,DiscountCurve/EUR/7/15Y,0.000100,EUR,302749.85,0.00,0.02
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,,0.000000,EUR,417384.56,-39.16,0.00
Swaption_CALL,false,DiscountCurve/EUR/2/2Y,0.000100,,0.000000,EUR,417384.56,-15.05,0.00
Swaption_CALL,false,DiscountCurve/EUR/3/3Y,0.000100,,0.000000,EUR,417384.56,-18.14,0.00
Swaption_CALL,false,DiscountCurve/EUR/4/5Y,0.000100,,0.000000,EUR,417384.56,-24.98,0.01
Swaption_CALL,false,DiscountCurve/EUR/5/7Y,0.000100,,0.000000,EUR,417384.56,-0.26,0.00
Swaption_CALL,false,DiscountCurve/EUR/6/10Y,0.000100,,0.000000,EUR,417384.56,58.32,-0.01
Swaption_CALL,false,DiscountCurve/EUR/7/15Y,0.000100,,0.000000,EUR,417384.56,113.27,0.00
Swaption_CALL,false,DiscountCurve/EUR/8/20Y,0.000100,,0.000000,EUR,417384.56,50.57,-0.02
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/1/1Y,0.000100,,0.000000,EUR,417384.56,385.24,0.24
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/2/2Y,0.000100,,0.000000,EUR,417384.56,56.68,-0.13
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/3/3Y,0.000100,,0.000000,EUR,417384.56,2.37,-0.24
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/4/5Y,0.000100,,0.000000,EUR,417384.56,-11.40,-0.47
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/5/7Y,0.000100,,0.000000,EUR,417384.56,-65.83,-0.77
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/6/10Y,0.000100,,0.000000,EUR,417384.56,-216.98,-0.92
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/7/15Y,0.000100,,0.000000,EUR,417384.56,-328.47,-1.43
Swaption_CALL,false,IndexCurve/EUR-EURIBOR-6M/8/20Y,0.000100,,0.000000,EUR,417384.56,-7125.25,87.25
Swaption_CALL,false,SwaptionVolatility/EUR/2/1Y/10Y/ATM,0.000000,,0.000000,EUR,417384.56,5245.67,2.81
Swaption_CALL,false,SwaptionVolatility/EUR/5/5Y/10Y/ATM,0.000000,,0.000000,EUR,417384.56,82.66,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/2/2Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/3/3Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/4/5Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/5/7Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/6/10Y,0.000100,EUR,417384.56,0.00,-0.01
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/7/15Y,0.000100,EUR,417384.56,0.00,-0.01
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,DiscountCurve/EUR/8/20Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/1/1Y,0.000100,EUR,417384.56,0.00,-0.05
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/2/2Y,0.000100,EUR,417384.56,0.00,0.01
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/3/3Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/4/5Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/5/7Y,0.000100,EUR,417384.56,0.00,0.01
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/6/10Y,0.000100,EUR,417384.56,0.00,0.02
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/7/15Y,0.000100,EUR,417384.56,0.00,0.03
Swaption_CALL,false,DiscountCurve/EUR/1/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/8/20Y,0.000100,EUR,417384.56,0.00,0.67
Swaption_CALL,false,DiscountCurve/EUR/2/2Y,0.000100,DiscountCurve/EUR/3/3Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/2/2Y,0.000100,DiscountCurve/EUR/4/5Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/2/2Y,0.000100,DiscountCurve/EUR/5/7Y,0.000100,EUR,417384.56,0.00,0.00
Swaption_CALL,false,DiscountCurve/EUR/2/2Y,0.000100,DiscountCurve/EUR/6/10Y,0.000100,EUR,417384.56,0.00,0.00
