#Scenario,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma,Currency(Trade),Base NPV(Trade),Delta(Trade),Gamma(Trade)
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/5/1Y,0.000100,,0.000000,EUR,-20158.37,0.00,0.00,EUR,-20158.37,0.00,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/6/2Y,0.000100,,0.000000,EUR,-20158.37,0.03,0.00,EUR,-20158.37,0.03,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/7/3Y,0.000100,,0.000000,EUR,-20158.37,0.14,0.00,EUR,-20158.37,0.14,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/8/4Y,0.000100,,0.000000,EUR,-20158.37,0.40,0.00,EUR,-20158.37,0.40,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/9/5Y,0.000100,,0.000000,EUR,-20158.37,1.50,0.00,EUR,-20158.37,1.50,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/10/7Y,0.000100,,0.000000,EUR,-20158.37,5.89,0.00,EUR,-20158.37,5.89,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/11/10Y,0.000100,,0.000000,EUR,-20158.37,7.16,-0.01,EUR,-20158.37,7.16,-0.01
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/12/15Y,0.000100,,0.000000,EUR,-20158.37,0.01,0.00,EUR,-20158.37,0.01,0.00
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/3/6M,0.000100,,0.000000,EUR,-20158.37,0.02,0.00,EUR,-20158.37,0.02,0.00
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/4/9M,0.000100,,0.000000,EUR,-20158.37,0.00,0.00,EUR,-20158.37,0.00,0.00
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/5/1Y,0.000100,,0.000000,EUR,-20158.37,1.34,-0.03,EUR,-20158.37,1.34,-0.03
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/6/2Y,0.000100,,0.000000,EUR,-20158.37,6.05,-0.30,EUR,-20158.37,6.05,-0.30
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/7/3Y,0.000100,,0.000000,EUR,-20158.37,12.50,-1.14,EUR,-20158.37,12.50,-1.14
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/8/4Y,0.000100,,0.000000,EUR,-20158.37,14.82,-2.63,EUR,-20158.37,14.82,-2.63
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/9/5Y,0.000100,,0.000000,EUR,-20158.37,27.44,-3.56,EUR,-20158.37,27.44,-3.56
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/10/7Y,0.000100,,0.000000,EUR,-20158.37,42.33,-4.47,EUR,-20158.37,42.33,-4.47
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/11/10Y,0.000100,,0.000000,EUR,-20158.37,-252.31,-3.84,EUR,-20158.37,-252.31,-3.84
parallel_rates,CAP_EUR,false,IndexCurve/EUR-EURIBOR-6M/12/15Y,0.000100,,0.000000,EUR,-20158.37,-0.81,0.00,EUR,-20158.37,-0.81,0.00
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/3/1Y/0.04,0.000000,,0.000000,EUR,-20158.37,-2.71,-0.08,EUR,-20158.37,-2.71,-0.08
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/8/2Y/0.04,0.000100,,0.000000,EUR,-20158.37,-11.77,-0.23,EUR,-20158.37,-11.77,-0.23
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/13/3Y/0.04,0.000000,,0.000000,EUR,-20158.37,-45.57,-0.48,EUR,-20158.37,-45.57,-0.48
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/18/5Y/0.04,0.000100,,0.000000,EUR,-20158.37,-109.03,-0.62,EUR,-20158.37,-109.03,-0.62
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/23/7Y/0.04,0.000100,,0.000000,EUR,-20158.37,-199.65,-0.60,EUR,-20158.37,-199.65,-0.60
parallel_rates,CAP_EUR,false,OptionletVolatility/EUR/28/10Y/0.04,0.000000,,0.000000,EUR,-20158.37,-111.90,-0.27,EUR,-20158.37,-111.90,-0.27
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/5/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/3/6M,0.000100,EUR,-20158.37,0.00,0.00,EUR,-20158.37,0.00,0.00
parallel_rates,CAP_EUR,false,DiscountCurve/EUR/5/1Y,0.000100,IndexCurve/EUR-EURIBOR-6M/5/1Y,0.000100,EUR,-20158.37,0.00,0.00,EUR,-20158.37,0.00,0.00
