#Key,Factor,BaseValue,ShiftSize
DiscountCurve/EUR/0,DiscountCurve/EUR/0/2W,-0.00123967,0.00010000
DiscountCurve/EUR/1,DiscountCurve/EUR/1/1M,-0.00175218,0.00010000
DiscountCurve/EUR/2,DiscountCurve/EUR/2/3M,-0.00232405,0.00010000
DiscountCurve/EUR/3,DiscountCurve/EUR/3/6M,-0.00258498,0.00010000
DiscountCurve/EUR/4,DiscountCurve/EUR/4/9M,-0.00307797,0.00010000
DiscountCurve/EUR/5,DiscountCurve/EUR/5/1Y,-0.00316062,0.00010000
DiscountCurve/EUR/6,DiscountCurve/EUR/6/2Y,-0.00350583,0.00010000
DiscountCurve/EUR/7,DiscountCurve/EUR/7/3Y,-0.00313652,0.00010000
DiscountCurve/EUR/8,DiscountCurve/EUR/8/4Y,-0.00251875,0.00010000
DiscountCurve/EUR/9,DiscountCurve/EUR/9/5Y,-0.00177368,0.00010000
DiscountCurve/EUR/10,DiscountCurve/EUR/10/7Y,0.00051430,0.00010000
DiscountCurve/EUR/11,DiscountCurve/EUR/11/10Y,0.00399723,0.00010000
DiscountCurve/EUR/12,DiscountCurve/EUR/12/15Y,0.00766476,0.00010000
DiscountCurve/EUR/13,DiscountCurve/EUR/13/20Y,0.00930413,0.00010000
DiscountCurve/EUR/14,DiscountCurve/EUR/14/25Y,0.00983332,0.00010000
DiscountCurve/EUR/15,DiscountCurve/EUR/15/30Y,0.01010109,0.00010000
DiscountCurve/GBP/0,DiscountCurve/GBP/0/2W,0.00728374,0.00010000
DiscountCurve/GBP/1,DiscountCurve/GBP/1/1M,0.00728374,0.00010000
DiscountCurve/GBP/2,DiscountCurve/GBP/2/3M,0.00728374,0.00010000
DiscountCurve/GBP/3,DiscountCurve/GBP/3/6M,0.00709485,0.00010000
DiscountCurve/GBP/4,DiscountCurve/GBP/4/9M,0.00678124,0.00010000
DiscountCurve/GBP/5,DiscountCurve/GBP/5/1Y,0.00693671,0.00010000
DiscountCurve/GBP/6,DiscountCurve/GBP/6/2Y,0.00277146,0.00010000
DiscountCurve/GBP/7,DiscountCurve/GBP/7/3Y,0.00289487,0.00010000
DiscountCurve/GBP/8,DiscountCurve/GBP/8/4Y,0.00325591,0.00010000
DiscountCurve/GBP/9,DiscountCurve/GBP/9/5Y,0.00392221,0.00010000
DiscountCurve/GBP/10,DiscountCurve/GBP/10/7Y,0.00594622,0.00010000
DiscountCurve/GBP/11,DiscountCurve/GBP/11/10Y,0.00925481,0.00010000
DiscountCurve/GBP/12,DiscountCurve/GBP/12/15Y,0.01230856,0.00010000
DiscountCurve/GBP/13,DiscountCurve/GBP/13/20Y,0.01442100,0.00010000
DiscountCurve/GBP/14,DiscountCurve/GBP/14/25Y,0.01449478,0.00010000
DiscountCurve/GBP/15,DiscountCurve/GBP/15/30Y,0.01454065,0.00010000
DiscountCurve/USD/0,DiscountCurve/USD/0/2W,0.00847740,0.00010000
DiscountCurve/USD/1,DiscountCurve/USD/1/1M,0.00847740,0.00010000
DiscountCurve/USD/2,DiscountCurve/USD/2/3M,0.00847740,0.00010000
DiscountCurve/USD/3,DiscountCurve/USD/3/6M,0.00916754,0.00010000
DiscountCurve/USD/4,DiscountCurve/USD/4/9M,0.00935826,0.00010000
DiscountCurve/USD/5,DiscountCurve/USD/5/1Y,0.00996056,0.00010000
DiscountCurve/USD/6,DiscountCurve/USD/6/2Y,0.01323783,0.00010000
DiscountCurve/USD/7,DiscountCurve/USD/7/3Y,0.01471446,0.00010000
DiscountCurve/USD/8,DiscountCurve/USD/8/4Y,0.01611421,0.00010000
DiscountCurve/USD/9,DiscountCurve/USD/9/5Y,0.01713324,0.00010000
DiscountCurve/USD/10,DiscountCurve/USD/10/7Y,0.01947633,0.00010000
DiscountCurve/USD/11,DiscountCurve/USD/11/10Y,0.02167782,0.00010000
DiscountCurve/USD/12,DiscountCurve/USD/12/15Y,0.02365110,0.00010000
DiscountCurve/USD/13,DiscountCurve/USD/13/20Y,0.02481164,0.00010000
DiscountCurve/USD/14,DiscountCurve/USD/14/25Y,0.02537985,0.00010000
DiscountCurve/USD/15,DiscountCurve/USD/15/30Y,0.02575820,0.00010000
IndexCurve/EUR-EONIA/0,IndexCurve/EUR-EONIA/0/2W,-0.00123967,0.00010000
IndexCurve/EUR-EONIA/1,IndexCurve/EUR-EONIA/1/1M,-0.00175218,0.00010000
IndexCurve/EUR-EONIA/2,IndexCurve/EUR-EONIA/2/3M,-0.00232405,0.00010000
IndexCurve/EUR-EONIA/3,IndexCurve/EUR-EONIA/3/6M,-0.00258498,0.00010000
IndexCurve/EUR-EONIA/4,IndexCurve/EUR-EONIA/4/9M,-0.00307797,0.00010000
IndexCurve/EUR-EONIA/5,IndexCurve/EUR-EONIA/5/1Y,-0.00316062,0.00010000
IndexCurve/EUR-EONIA/6,IndexCurve/EUR-EONIA/6/2Y,-0.00350583,0.00010000
IndexCurve/EUR-EONIA/7,IndexCurve/EUR-EONIA/7/3Y,-0.00313652,0.00010000
IndexCurve/EUR-EONIA/8,IndexCurve/EUR-EONIA/8/4Y,-0.00251875,0.00010000
IndexCurve/EUR-EONIA/9,IndexCurve/EUR-EONIA/9/5Y,-0.00177368,0.00010000
IndexCurve/EUR-EONIA/10,IndexCurve/EUR-EONIA/10/7Y,0.00051430,0.00010000
IndexCurve/EUR-EONIA/11,IndexCurve/EUR-EONIA/11/10Y,0.00399723,0.00010000
IndexCurve/EUR-EONIA/12,IndexCurve/EUR-EONIA/12/15Y,0.00766476,0.00010000
IndexCurve/EUR-EONIA/13,IndexCurve/EUR-EONIA/13/20Y,0.00930413,0.00010000
IndexCurve/EUR-EONIA/14,IndexCurve/EUR-EONIA/14/25Y,0.00983332,0.00010000
IndexCurve/EUR-EONIA/15,IndexCurve/EUR-EONIA/15/30Y,0.01010109,0.00010000
IndexCurve/EUR-EURIBOR-1M/0,IndexCurve/EUR-EURIBOR-1M/0/2W,-0.00046030,0.00010000
IndexCurve/EUR-EURIBOR-1M/1,IndexCurve/EUR-EURIBOR-1M/1/1M,-0.00038642,0.00010000
IndexCurve/EUR-EURIBOR-1M/2,IndexCurve/EUR-EURIBOR-1M/2/3M,-0.00014339,0.00010000
IndexCurve/EUR-EURIBOR-1M/3,IndexCurve/EUR-EURIBOR-1M/3/6M,-0.00094877,0.00010000
