#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
CAP_EUR,parallel_rates,-6881.951398,-19752.250402,-12870.299005
CAP_USD,parallel_rates,-12580.206366,-29965.944904,-17385.738538
CC_SWAP_EUR_USD,parallel_rates,397724.577654,309593.159542,-88131.418111
CC_SWAP_EUR_USD_RESET,parallel_rates,-19582998.606448,-17988117.036025,1594881.570424
CDS,parallel_rates,-7687.966303,-6623.363915,1064.602389
CPI_Swap,parallel_rates,1021768.347989,396188.740703,-625579.607285
CommodityOption,parallel_rates,2050680.111436,2073458.895967,22778.784531
Commodity_Swap,parallel_rates,-18310288.236698,-18018663.876385,291624.360313
EquityOption1,parallel_rates,2996203.315147,2825368.284109,-170835.031038
FLOOR_EUR,parallel_rates,78817.134537,31323.404616,-47493.729922
FLOOR_USD,parallel_rates,29624.753941,13671.764222,-15952.989719
FXFWD_EURUSD_10Y,parallel_rates,179397.791901,155144.058457,-24253.733444
FX_CALL_OPTION,parallel_rates,255094.068908,316142.888178,61048.819270
FX_PUT_OPTION,parallel_rates,74757.521752,160146.320066,85388.798314
INDEX_CDS,parallel_rates,9.556999,30.208833,20.651835
INDEX_CDS_OPTION,parallel_rates,1098.606030,1092.205059,-6.400971
INDEX_CDS_TRANCHE,parallel_rates,-109.743035,61.941214,171.684249
SWAPTION,parallel_rates,-3090531.675961,-2016367.903309,1074163.772652
SWAPTION,twist,-3090531.675961,-3145965.144196,-55433.468235
SWAP_1M_OIS_EUR,parallel_rates,-326621.045016,543446.299315,870067.344331
SWAP_1M_OIS_EUR_OISLEGBPS,parallel_rates,10107.746127,9582.010621,-525.735507
SWAP_EUR,parallel_rates,0.000000,-1678279.209338,-1678279.209338
SWAP_EUR_12Y,parallel_rates,180822.139017,-932853.741951,-1113675.880968
SWAP_USD,parallel_rates,8858.961805,-758835.124236,-767694.086042
YearOnYear_Swap,parallel_rates,590271.224568,80986.157902,-509285.066666
