#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility
Swap_20y,Swap,1,0,2017-03-01,Interest,212916.6667,EUR,0.0210000000,1.0138888889,2016-03-01,2017-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9787813644,208398.8655073281,1.0000000000,208398.8655073281,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,2,0,2018-03-01,Interest,212916.6667,EUR,0.0210000000,1.0138888889,2017-03-01,2018-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9593309479,204257.5476548850,1.0000000000,204257.5476548850,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,3,0,2019-03-01,Interest,212916.6667,EUR,0.0210000000,1.0138888889,2018-03-01,2019-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9402670515,200198.5263807520,1.0000000000,200198.5263807520,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,4,0,2020-03-02,Interest,214083.3333,EUR,0.0210000000,1.0194444444,2019-03-01,2020-03-02,0.0000,#N/A,#N/A,10000000.0000,0.9214806401,197273.6470284236,1.0000000000,197273.6470284236,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,5,0,2021-03-01,Interest,212333.3333,EUR,0.0210000000,1.0111111111,2020-03-02,2021-03-01,0.0000,#N/A,#N/A,10000000.0000,0.9032185765,191783.4110774190,1.0000000000,191783.4110774190,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,6,0,2022-03-01,Interest,212916.6667,EUR,0.0210000000,1.0138888889,2021-03-01,2022-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8852697494,188488.6841327362,1.0000000000,188488.6841327362,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,7,0,2023-03-01,Interest,212916.6667,EUR,0.0210000000,1.0138888889,2022-03-01,2023-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8676776026,184743.0228946956,1.0000000000,184743.0228946956,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,8,0,2024-03-01,Interest,213500.0000,EUR,0.0210000000,1.0166666667,2023-03-01,2024-03-01,0.0000,#N/A,#N/A,10000000.0000,0.8503882823,181557.8982724664,1.0000000000,181557.8982724664,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,9,0,2025-03-03,Interest,214083.3333,EUR,0.0210000000,1.0194444444,2024-03-01,2025-03-03,0.0000,#N/A,#N/A,10000000.0000,0.8333976368,178416.5440809428,1.0000000000,178416.5440809428,EUR,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,10,0,2026-03-02,Interest,212333.3333,EUR,0.0210000000,1.0111111111,2025-03-03,2026-03-02,0.0000,#N/A,#N/A,10000000.0000,0.8168812175,173451.1118535656,1.0000000000,173451.1118535656,EUR,#N/A,#N/A,#N/A,#N/A
