#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,1296922.25,100020.85,3090228.63,0.00,1296862.49,1296862.49,1296862.49,1296862.49
CPTY_A,2016-03-04,0.076503,1438049.38,237028.63,3840384.44,0.00,1437869.67,1437869.67,1367366.08,1367366.08
CPTY_A,2016-03-18,0.114754,1759221.75,308924.63,4733724.16,0.00,1758840.44,1758840.44,1497857.53,1497857.53
CPTY_A,2016-04-01,0.153005,1845853.00,395699.31,5032220.25,0.00,1845285.82,1845285.82,1584714.61,1584714.61
CPTY_A,2016-04-15,0.191257,1942996.75,494554.16,5383175.13,0.00,1942214.22,1942214.22,1656214.53,1656214.53
CPTY_A,2016-04-29,0.229508,1920890.00,635521.81,5817632.63,0.00,1919897.19,1942214.22,1700161.64,1703881.14
CPTY_A,2016-05-13,0.267760,1998361.38,711430.13,6048896.41,0.00,1997103.04,1997103.04,1742581.84,1745769.99
CPTY_A,2016-05-27,0.306011,2081492.13,788753.94,6627162.81,0.00,2079956.59,2079956.59,1784753.68,1787543.31
CPTY_A,2016-06-10,0.344262,2162447.00,864980.50,6798484.94,0.00,2160618.02,2160618.02,1826516.39,1828996.06
CPTY_A,2016-06-24,0.382514,2221826.50,924608.13,7218226.00,0.00,2219634.86,2219634.86,1865828.23,1868059.94
CPTY_A,2016-07-08,0.420765,2306346.75,1009990.50,7263265.56,0.00,2303747.44,2303747.44,1905639.07,1907667.89
CPTY_A,2016-07-22,0.459016,2247645.00,1087293.50,7450639.00,0.00,2244901.82,2303747.44,1933910.97,1940674.52
CPTY_A,2016-08-05,0.497268,2310011.75,1151357.88,7446762.81,0.00,2307020.10,2307020.10,1962611.67,1968854.95
CPTY_A,2016-08-19,0.535519,2360750.50,1199880.25,7695113.50,0.00,2357384.60,2357384.60,1990809.74,1996607.07
CPTY_A,2016-09-02,0.573770,2419557.25,1243625.13,8055107.00,0.00,2415715.74,2415715.74,2019136.80,2024547.65
CPTY_A,2016-09-16,0.612022,2438566.25,1334671.50,8424254.00,0.00,2434332.08,2434332.08,2045086.51,2050159.17
CPTY_A,2016-09-30,0.650273,2503902.00,1405883.38,8477262.75,0.00,2499265.54,2499265.54,2071802.92,2076577.19
CPTY_A,2016-10-14,0.688525,2538173.75,1444821.63,8503556.13,0.00,2533138.92,2533138.92,2097432.70,2101941.73
CPTY_A,2016-10-28,0.726776,2493675.50,1532437.75,8660070.88,0.00,2488248.36,2533138.92,2118001.94,2124636.32
CPTY_A,2016-11-14,0.773224,2567424.50,1610272.00,8767389.44,0.00,2561275.99,2561275.99,2144629.71,2150865.56
CPTY_A,2016-11-25,0.803279,2604130.75,1665530.63,8998392.17,0.00,2597612.01,2597612.01,2161578.03,2167580.56
CPTY_A,2016-12-09,0.841530,2627780.75,1686925.38,9179368.25,0.00,2620839.81,2620839.81,2182453.57,2188183.26
CPTY_A,2016-12-23,0.879781,2682814.25,1738958.38,9026287.81,0.00,2675368.88,2675368.88,2203884.67,2209365.24
CPTY_A,2017-01-06,0.918070,2714248.75,1762006.50,9311781.50,0.00,2706355.85,2706355.85,2224840.60,2230092.60
CPTY_A,2017-01-20,0.956426,2779535.50,1821820.25,9473189.50,0.00,2771113.04,2771113.04,2246748.10,2251789.48
CPTY_A,2017-02-03,0.994783,2734895.50,1894403.88,9422337.00,0.00,2726285.49,2771113.04,2265237.79,2271813.21
CPTY_A,2017-02-17,1.033139,2762991.75,1931191.50,9686639.75,0.00,2753912.10,2771113.04,2283380.24,2290350.15
CPTY_A,2017-03-03,1.071495,2794067.75,1955822.63,10023605.94,0.00,2784444.69,2784444.69,2301316.78,2308037.19
CPTY_A,2017-03-17,1.109851,2879233.75,1843015.25,9989798.00,0.00,2868862.91,2868862.91,2320931.03,2327419.18
CPTY_A,2017-03-31,1.148207,2930747.25,1893923.25,10563758.88,0.00,2919728.27,2919728.27,2340934.01,2347205.42
CPTY_A,2017-04-18,1.197522,2978992.00,1945158.00,10469387.00,0.00,2967187.12,2967187.12,2366723.69,2372736.84
CPTY_A,2017-04-28,1.224920,2911284.75,2006505.25,10414060.00,0.00,2899420.11,2967187.12,2378638.28,2386032.66
CPTY_A,2017-05-12,1.263276,2954843.25,2033023.00,10465372.50,0.00,2942346.23,2967187.12,2395753.85,2403677.94
CPTY_A,2017-05-26,1.301632,2984207.25,2051850.50,10659101.00,0.00,2971195.22,2971195.22,2412710.81,2420401.40
CPTY_A,2017-06-09,1.339988,2992397.25,2075148.50,10268019.81,0.00,2978957.84,2978957.84,2428919.21,2436389.66
CPTY_A,2017-06-23,1.378344,3018294.75,2105945.00,10090960.19,0.00,3004343.89,3004343.89,2444931.96,2452194.53
CPTY_A,2017-07-07,1.416700,3049759.75,2129048.50,10434330.58,0.00,3035264.34,3035264.34,2460914.80,2467980.73
CPTY_A,2017-07-21,1.455057,3104388.00,2191407.00,10974375.19,0.00,3089226.62,3089226.62,2477477.47,2484357.15
CPTY_A,2017-08-04,1.493413,3060477.00,2263997.25,10529258.75,0.00,3045129.63,3089226.62,2492056.81,2499892.35
CPTY_A,2017-08-18,1.531769,3081984.75,2291771.25,10426027.38,0.00,3066115.70,3089226.62,2506431.49,2514649.54
CPTY_A,2017-09-01,1.570125,3109880.25,2329139.00,11168451.13,0.00,3093441.95,3093441.95,2520771.41,2528788.71
CPTY_A,2017-09-15,1.608481,3036395.75,2328484.25,10889114.25,0.00,3019930.14,3093441.95,2532674.45,2542253.54
CPTY_A,2017-09-29,1.646837,3088664.00,2378246.00,11043440.50,0.00,3071492.33,3093441.95,2545223.95,2555091.16
CPTY_A,2017-10-13,1.685194,3128643.75,2409891.50,11022428.50,0.00,3110821.96,3110821.96,2558097.35,2567739.98
CPTY_A,2017-10-27,1.723550,3054047.00,2439426.25,10881408.66,0.00,3036232.34,3110821.96,2568737.85,2579825.82
CPTY_A,2017-11-13,1.770125,3101931.00,2453453.50,11005804.75,0.00,3083303.67,3110821.96,2582277.05,2593797.33
CPTY_A,2017-11-24,1.800262,3120313.75,2486466.00,10900506.50,0.00,3101174.22,3110821.96,2590963.56,2602452.49
CPTY_A,2017-12-08,1.838618,3134201.50,2521647.75,11023454.25,0.00,3114463.21,3114463.21,2601884.50,2613133.76
