#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Swap_3,2016-02-05,0.000000,1629089,0,0,0,1629089,1629089,1629089,1629089.38,1629089.38
Swap_3,2016-02-19,0.038251,1629461,4442,420559,2938545,2952710,1629386,1629386,1629386.33,1629386.33
Swap_3,2016-03-04,0.076503,1668941,40911,-1915878,-397454,3600510,1668732,1668732,1649059.33,1649059.33
Swap_3,2016-03-18,0.114754,1717126,89225,143118,-185020,3999080,1716753,1716753,1671624.03,1671624.03
Swap_3,2016-04-01,0.153005,1768587,138821,707027,-23070,4280878,1768044,1768044,1695728.99,1695728.99
Swap_3,2016-04-15,0.191257,1812105,181946,-852430,452337,4744311,1811375,1811375,1718858.15,1718858.15
Swap_3,2016-04-29,0.229508,1744248,273514,2501,493244,4817727,1743346,1811375,1722939.49,1734277.59
Swap_3,2016-05-13,0.267760,1794475,320921,-98626,-1784507,4904344,1793345,1811375,1732997.37,1745291.48
Swap_3,2016-05-27,0.306011,1844903,368464,292003,5153675,5410078,1843542,1843542,1746815.43,1757572.78
Swap_3,2016-06-10,0.344262,1891414,409867,-67648,570465,5510550,1889814,1889814,1762704.21,1772266.30
Swap_3,2016-06-24,0.382514,1928084,446806,29851,-2720730,5884758,1926182,1926182,1779052.02,1787657.90
Swap_3,2016-07-08,0.420765,1965602,484248,-547499,-275982,6099468,1963387,1963387,1795809.73,1803633.25
Swap_3,2016-07-22,0.459016,1895164,545506,448315,-370357,6120249,1892851,1963387,1803896.46,1816946.05
Swap_3,2016-08-05,0.497268,1925564,577969,350514,1242299,6217964,1923071,1963387,1813063.70,1828210.72
Swap_3,2016-08-19,0.535519,1957219,615579,21861,226222,6335577,1954429,1963387,1823161.20,1837866.16
Swap_3,2016-09-02,0.573770,1988143,642162,1049,157493,6515219,1984987,1984987,1833949.58,1847674.20
Swap_3,2016-09-16,0.612022,2029732,675360,64910,-11646765,6830605,2026208,2026208,1845965.73,1858832.57
Swap_3,2016-09-30,0.650273,2063261,705561,-482468,1586810,6873604,2059441,2059441,1858523.08,1870633.04
Swap_3,2016-10-14,0.688525,2093103,736319,-349269,413332,7010372,2088951,2088951,1871324.62,1882761.81
Swap_3,2016-10-28,0.726776,1996951,768918,67588,-210269,7058088,1992604,2088951,1877707.77,1893613.86
